gene	chrom	status
ARFGAP3	chr22	BAE
ARHGAP1	chr11	rMAE
ARHGEF11	chr1	BAE
ARHGEF18	chr19	BAE
ARHGEF2	chr1	BAE
ARL2BP	chr16	BAE
ARL3	chr10	rMAE
ARMC6	chr19	BAE
ARRB2	chr17	BAE
ARRDC1	chr9	BAE
ARRDC2	chr19	BAE
ARSB	chr5	BAE
ARSG	chr17	rMAE
ASAH1	chr8	BAE
ASB1	chr2	BAE
ASB2	chr14	rMAE
ATE1	chr10	BAE
ATF5	chr19	rMAE
ATF7IP	chr12	rMAE
ATG16L1	chr2	BAE
ATG2B	chr14	BAE
ATG4D	chr19	BAE
ATG9A	chr2	BAE
ATP11A	chr13	rMAE
ATP2A3	chr17	BAE
ATP5O	chr21	BAE
ATP6V0C	chr16	BAE
ATXN7	chr3	BAE
ATXN7L3	chr17	BAE
ATXN7L3B	chr12	BAE
AZIN1	chr8	BAE
BABAM1	chr19	BAE
BAIAP2L1	chr7	BAE
BAZ2A	chr12	BAE
BCKDHA	chr19	BAE
BCKDK	chr16	BAE
BCL2	chr18	BAE
BCL2A1	chr15	BAE
BCL2L13	chr22	rMAE
BCR	chr22	BAE
BET1L	chr11	rMAE
BFAR	chr16	BAE
BHLHE40	chr3	BAE
BICD2	chr9	BAE
BIRC6	chr2	BAE
BMF	chr15	BAE
BRCA1	chr17	BAE
BRD1	chr22	BAE
BRD9	chr5	BAE
BRI3BP	chr12	BAE
BTBD2	chr19	BAE
BTG1	chr12	BAE
BTN2A1	chr6	BAE
BTN2A3	chr6	rMAE
BTN3A1	chr6	BAE
BTN3A2	chr6	rMAE
BUB1B	chr15	BAE
BZRAP1	chr17	BAE
C11orf17	chr11	BAE
C11orf24	chr11	BAE
C11orf41	chr11	BAE
C11orf48	chr11	BAE
C11orf57	chr11	BAE
C12orf43	chr12	BAE
C12orf49	chr12	BAE
C12orf65	chr12	BAE
C13orf18	chr13	rMAE
C13orf23	chr13	BAE
C14orf101	chr14	BAE
C14orf132	chr14	rMAE
C14orf159	chr14	BAE
C14orf169	chr14	BAE
C14orf43	chr14	BAE
C16orf5	chr16	rMAE
C16orf75	chr16	rMAE
C17orf56	chr17	BAE
C17orf62	chr17	BAE
C17orf65	chr17	BAE
C17orf90	chr17	BAE
C17orf99	chr17	BAE
C18orf10	chr18	rMAE
C19orf12	chr19	BAE
C19orf22	chr19	BAE
C19orf28	chr19	BAE
C19orf6	chr19	BAE
C1D	chr2	BAE
C1orf123	chr1	BAE
C1orf43	chr1	BAE
C1QTNF1	chr17	rMAE
C20orf43	chr20	BAE
C21orf33	chr21	BAE
C22orf28	chr22	BAE
C22orf34	chr22	rMAE
C22orf40	chr22	rMAE
C4orf10	chr4	BAE
C4orf43	chr4	BAE
C6orf129	chr6	BAE
C7orf44	chr7	BAE
C7orf50	chr7	BAE
C8orf31	chr8	rMAE
C8orf73	chr8	BAE
C9orf78	chr9	BAE
C9orf86	chr9	BAE
CABIN1	chr22	BAE
CAD	chr2	BAE
CALHM2	chr10	BAE
CANX	chr5	BAE
CAPN1	chr11	BAE
CAPN10	chr2	BAE
CAPN2	chr1	BAE
CAPRIN2	chr12	BAE
CARD11	chr7	BAE
CARHSP1	chr16	BAE
CARS2	chr13	BAE
CAST	chr5	BAE
CAV2	chr7	rMAE
CBARA1	chr10	BAE
CBLN3	chr14	rMAE
CBS	chr21	rMAE
CBX1	chr17	BAE
CBX3	chr7	rMAE
CBX7	chr22	BAE
CCDC101	chr16	BAE
CCDC124	chr19	BAE
CCDC137	chr17	BAE
CCDC50	chr3	BAE
CCDC6	chr10	BAE
CCDC88B	chr11	BAE
CCDC9	chr19	BAE
CCDC90B	chr11	BAE
CCDC93	chr2	rMAE
CCDC94	chr19	BAE
CCDC99	chr5	BAE
CCL22	chr16	BAE
CCNB1	chr5	BAE
CCND2	chr12	BAE
CCND3	chr6	BAE
CD19	chr16	BAE
CD27	chr12	BAE
CD300A	chr17	BAE
CD37	chr19	BAE
CD47	chr3	BAE
CD52	chr1	BAE
CD53	chr1	BAE
CD59	chr11	BAE
CD6	chr11	rMAE
CD74	chr5	BAE
CD79B	chr17	BAE
CD82	chr11	BAE
CDC123	chr10	BAE
CDCA8	chr1	BAE
CDHR1	chr10	rMAE
CDK5RAP1	chr20	BAE
CDK6	chr7	BAE
CDT1	chr16	BAE
CELF2	chr10	BAE
CELSR1	chr22	rMAE
CEND1	chr11	rMAE
CENPF	chr1	BAE
CENPT	chr16	BAE
CEP110	chr9	BAE
CEP164	chr11	BAE
CEPT1	chr1	rMAE
CERKL	chr2	rMAE
CFLAR	chr2	BAE
CGGBP1	chr3	BAE
CHAF1A	chr19	rMAE
CHCHD5	chr2	BAE
CHD8	chr14	rMAE
CHERP	chr19	BAE
CHI3L2	chr1	rMAE
CHKB	chr22	BAE
CHMP1B	chr18	BAE
CHPF2	chr7	BAE
CHRAC1	chr8	rMAE
CHST11	chr12	BAE
CHSY1	chr15	BAE
CHTF18	chr16	BAE
CIITA	chr16	BAE
CINP	chr14	BAE
CIRH1A	chr16	BAE
CIT	chr12	BAE
CIZ1	chr9	BAE
CKAP5	chr11	BAE
CLASRP	chr19	rMAE
CLCN7	chr16	rMAE
CLEC17A	chr19	BAE
CLIC4	chr1	BAE
CLIC6	chr21	BAE
CLINT1	chr5	rMAE
CLIP2	chr7	BAE
CLK2P	chr7	rMAE
CLPP	chr19	BAE
CLPTM1	chr19	BAE
CMTM6	chr3	BAE
CNN2	chr19	rMAE
CNOT1	chr16	BAE
CNP	chr17	BAE
CNPY3	chr6	BAE
CNTROB	chr17	BAE
COBRA1	chr9	BAE
COL24A1	chr1	BAE
COL4A3	chr2	rMAE
COL4A4	chr2	BAE
COL9A2	chr1	BAE
COMT	chr22	BAE
CORO1A	chr16	BAE
CORO1C	chr12	BAE
COX10	chr17	BAE
COX7A2L	chr2	BAE
CPNE1	chr20	rMAE
CPNE3	chr8	BAE
CPNE5	chr6	rMAE
CPNE7	chr16	rMAE
CPSF7	chr11	BAE
CR2	chr1	rMAE
CREB3L2	chr7	BAE
CRELD2	chr22	rMAE
CRKL	chr22	BAE
CRTAP	chr3	rMAE
CRTC2	chr1	BAE
CRTC3	chr15	BAE
CRYZ	chr1	rMAE
CSE1L	chr20	BAE
CSF1R	chr5	rMAE
CSNK1G1	chr15	BAE
CSRP1	chr1	BAE
CTDSP1	chr2	BAE
CTSB	chr8	BAE
CTSC	chr11	BAE
CTSZ	chr20	BAE
CTU2	chr16	BAE
CWC25	chr17	BAE
CWC27	chr5	BAE
CXCL9	chr4	rMAE
CYB5R3	chr22	BAE
CYBA	chr16	BAE
CYP1B1	chr2	rMAE
CYP2C8	chr10	rMAE
CYP51A1	chr7	BAE
CYS1	chr2	rMAE
CYTH1	chr17	BAE
CYTH3	chr7	BAE
CYTH4	chr22	BAE
DAD1	chr14	BAE
DAP	chr5	BAE
DAPP1	chr4	BAE
DCAF12	chr9	BAE
DCAKD	chr17	BAE
DCP2	chr5	BAE
DCPS	chr11	BAE
DCTD	chr4	BAE
DCXR	chr17	BAE
DDA1	chr19	BAE
DDHD1	chr14	BAE
DDIT4	chr10	BAE
DDX18	chr2	BAE
DDX21	chr10	BAE
DDX23	chr12	BAE
DDX24	chr14	BAE
DDX41	chr5	BAE
DDX42	chr17	BAE
DDX49	chr19	BAE
DDX51	chr12	BAE
DEF6	chr6	BAE
DENND1C	chr19	BAE
DENND2D	chr1	rMAE
DENND3	chr8	BAE
DENND4B	chr1	BAE
DENND5A	chr11	BAE
DFNA5	chr7	rMAE
DGCR2	chr22	BAE
DGCR8	chr22	BAE
DHCR24	chr1	BAE
DHCR7	chr11	BAE
DHFRL1	chr3	rMAE
DHRS1	chr14	rMAE
DHRS13	chr17	BAE
DHTKD1	chr10	BAE
DHX57	chr2	BAE
DIDO1	chr20	BAE
DIP2B	chr12	BAE
DLAT	chr11	BAE
DLG5	chr10	BAE
DMTF1	chr7	BAE
DMWD	chr19	BAE
DNAH17	chr17	rMAE
DNAJA4	chr15	rMAE
DNAJB12	chr10	BAE
DNAJB6	chr7	BAE
DNAJC5	chr20	BAE
DNASE1L3	chr3	BAE
DNM1L	chr12	BAE
DNM2	chr19	BAE
DNMBP	chr10	BAE
DOCK10	chr2	BAE
DOCK2	chr5	BAE
DOCK6	chr19	BAE
DPAGT1	chr11	BAE
DPH3	chr3	BAE
DPP3	chr11	BAE
DPYSL2	chr8	BAE
DPYSL3	chr5	rMAE
DSE	chr6	BAE
DTL	chr1	BAE
DUSP10	chr1	BAE
DUSP15	chr20	rMAE
DUSP2	chr2	BAE
DUSP5	chr10	BAE
DVL2	chr17	BAE
DVL3	chr3	rMAE
DYRK2	chr12	BAE
E2F1	chr20	BAE
EAPP	chr14	BAE
EBF1	chr5	rMAE
EBI3	chr19	BAE
EDEM1	chr3	BAE
EDEM3	chr1	rMAE
EEF1G	chr11	BAE
EEF2	chr19	BAE
EFHD2	chr1	BAE
EGFEM1P	chr3	rMAE
EHBP1L1	chr11	BAE
EHD3	chr2	rMAE
EHD4	chr15	BAE
EHMT1	chr9	BAE
EIF2AK1	chr7	BAE
EIF2C2	chr8	BAE
EIF3L	chr22	BAE
EIF4A3	chr17	BAE
EIF4EBP2	chr10	BAE
EIF5A	chr17	BAE
EIF6	chr20	BAE
ELAVL1	chr19	BAE
ELF1	chr13	BAE
ELP2	chr18	BAE
EMR1	chr19	rMAE
EMR4P	chr19	rMAE
ENGASE	chr17	BAE
ENPP2	chr8	rMAE
ENTPD1	chr10	BAE
ENTPD2	chr9	rMAE
EP400	chr12	BAE
EP400NL	chr12	rMAE
EPB41L2	chr6	BAE
EPS15	chr1	BAE
EPT1	chr2	BAE
ERAP1	chr5	BAE
ERGIC1	chr5	rMAE
ERI3	chr1	BAE
ERO1LB	chr1	BAE
ESD	chr13	BAE
ETS1	chr11	BAE
ETV7	chr6	rMAE
EVC	chr4	rMAE
EXOC3	chr5	BAE
EXOC7	chr17	BAE
EXOSC8	chr13	BAE
EYA2	chr20	rMAE
FAF2	chr5	BAE
FAIM3	chr1	BAE
FAM100B	chr17	BAE
FAM107B	chr10	BAE
FAM110A	chr20	BAE
FAM113A	chr20	BAE
FAM114A2	chr5	BAE
FAM116B	chr22	BAE
FAM126A	chr7	BAE
FAM160A2	chr11	BAE
FAM160B1	chr10	BAE
FAM160B2	chr8	BAE
FAM193B	chr5	BAE
FAM38A	chr16	BAE
FAM38B	chr18	rMAE
FAM49A	chr2	rMAE
FAM83H	chr8	rMAE
FANCA	chr16	BAE
FASN	chr17	BAE
FBRS	chr16	BAE
FBXL14	chr12	BAE
FBXL18	chr7	BAE
FBXL6	chr8	BAE
FBXO34	chr14	BAE
FBXO44	chr1	BAE
FBXO46	chr19	BAE
FBXO6	chr1	BAE
FCHO1	chr19	BAE
FCRLA	chr1	BAE
FDFT1	chr8	BAE
FECH	chr18	BAE
FGD3	chr9	BAE
FHIT	chr3	rMAE
FHL3	chr1	rMAE
FHOD3	chr18	rMAE
FKBP15	chr9	BAE
FLI1	chr11	BAE
FLNB	chr3	BAE
FLOT2	chr17	BAE
FMNL1	chr17	BAE
FMNL2	chr2	rMAE
FNBP1	chr9	BAE
FRG1	chr4	BAE
FRMD6	chr14	rMAE
FRMD8	chr11	rMAE
FSTL3	chr19	rMAE
FTL	chr19	BAE
FTSJ3	chr17	BAE
FUCA2	chr6	BAE
FUS	chr16	BAE
FXR1	chr3	BAE
FXYD5	chr19	BAE
FYCO1	chr3	BAE
G3BP2	chr4	BAE
GAA	chr17	rMAE
GAK	chr4	BAE
GALNT2	chr1	BAE
GAPDH	chr12	BAE
GAR1	chr4	rMAE
GATA4	chr8	rMAE
GBAP1	chr1	rMAE
GBP2	chr1	rMAE
GBP4	chr1	rMAE
GCC1	chr7	BAE
GCN1L1	chr12	BAE
GDI2	chr10	BAE
GEMIN4	chr17	BAE
GET4	chr7	BAE
GFM1	chr3	rMAE
GFPT1	chr2	BAE
GGH	chr8	BAE
GIMAP1	chr7	rMAE
GIMAP2	chr7	BAE
GINS2	chr16	rMAE
GIPR	chr19	rMAE
GLCCI1	chr7	BAE
GLO1	chr6	BAE
GLTSCR2	chr19	BAE
GM2A	chr5	BAE
GMPR	chr6	rMAE
GNG7	chr19	BAE
GOLGA5	chr14	BAE
GPAM	chr10	BAE
GPATCH8	chr17	BAE
GPR108	chr19	BAE
GPR133	chr12	BAE
GPR183	chr13	BAE
GPS2	chr17	BAE
GRN	chr17	BAE
GSDMD	chr8	BAE
GSTM4	chr1	rMAE
GSTP1	chr11	BAE
GSTT1	chr22	rMAE
GTF3C5	chr9	BAE
GTPBP4	chr10	BAE
GTPBP5	chr20	BAE
GTSF1	chr12	rMAE
GYPC	chr2	BAE
H2AFJ	chr12	rMAE
H2AFX	chr11	BAE
HAAO	chr2	BAE
HAGH	chr16	BAE
HCLS1	chr3	BAE
HDAC10	chr22	rMAE
HDAC5	chr17	BAE
HDAC7	chr12	BAE
HDHD3	chr9	rMAE
HDLBP	chr2	BAE
HECTD1	chr14	BAE
HECTD3	chr1	BAE
HERC1	chr15	BAE
HEXIM1	chr17	BAE
HGS	chr17	BAE
HIPK1	chr1	BAE
HIPK2	chr7	BAE
HIST1H2BF	chr6	BAE
HIVEP2	chr6	BAE
HMG20B	chr19	BAE
HMGXB4	chr22	BAE
HMHA1	chr19	BAE
HNRNPAB	chr5	BAE
HNRNPH3	chr10	BAE
HNRNPUL1	chr19	BAE
HOMER3	chr19	rMAE
HOXB2	chr17	rMAE
HPS1	chr10	BAE
HS1BP3	chr2	BAE
HSD17B11	chr4	BAE
HSD17B4	chr5	BAE
HSP90B3P	chr1	rMAE
HSPA6	chr1	rMAE
HSPA9	chr5	BAE
HSPD1	chr2	BAE
HSPH1	chr13	BAE
HTT	chr4	BAE
IBTK	chr6	BAE
ICAM1	chr19	BAE
ICAM3	chr19	BAE
ICOSLG	chr21	BAE
IER2	chr19	BAE
IFFO1	chr12	BAE
IFI16	chr1	BAE
IFI30	chr19	BAE
IFI44L	chr1	BAE
IFITM2	chr11	rMAE
IFNAR2	chr21	rMAE
IGF2BP1	chr17	rMAE
IGF2R	chr6	BAE
IGSF3	chr1	rMAE
IGSF8	chr1	BAE
IKBKE	chr1	BAE
IKZF1	chr7	rMAE
IKZF2	chr2	BAE
IKZF3	chr17	BAE
IL16	chr15	BAE
IL1A	chr2	BAE
IL1R1	chr2	BAE
IL21R	chr16	BAE
IL2RB	chr22	BAE
IL4R	chr16	BAE
ILF3	chr19	BAE
ILK	chr11	BAE
IMP3	chr15	BAE
INA	chr10	rMAE
INPP5B	chr1	BAE
IPO4	chr14	BAE
IPO5	chr13	BAE
IPO9	chr1	BAE
IQCE	chr7	BAE
IQGAP1	chr15	rMAE
IQSEC1	chr3	BAE
IRF4	chr6	BAE
IRF8	chr16	rMAE
ITGA4	chr2	BAE
ITGA7	chr12	rMAE
ITGAL	chr16	rMAE
ITGB2	chr21	BAE
ITGB5	chr3	rMAE
ITPK1	chr14	BAE
ITPR1	chr3	BAE
ITPR2	chr12	rMAE
ITSN2	chr2	BAE
JAK1	chr1	BAE
JDP2	chr14	rMAE
JMJD8	chr16	BAE
JUP	chr17	rMAE
KANK2	chr19	BAE
KCNMB2	chr3	rMAE
KCNMB3	chr3	rMAE
KCNN3	chr1	BAE
KCNQ1OT1	chr11	rMAE
KCTD10	chr12	rMAE
KDM1A	chr1	rMAE
KDM3B	chr5	BAE
KDM4B	chr19	BAE
KDM4C	chr9	rMAE
KDM5B	chr1	rMAE
KEAP1	chr19	BAE
KIAA0090	chr1	BAE
KIAA0195	chr17	BAE
KIAA0922	chr4	BAE
KIAA1267	chr17	BAE
KIAA1429	chr8	BAE
KIAA1430	chr4	BAE
KIF11	chr10	BAE
KIF20B	chr10	BAE
KIF21B	chr1	BAE
KIF2C	chr1	BAE
KLF10	chr8	rMAE
KLHDC4	chr16	BAE
KLHDC7A	chr1	rMAE
KLHDC7B	chr22	rMAE
KLHL36	chr16	BAE
KLHL6	chr3	BAE
KRAS	chr12	BAE
KRI1	chr19	BAE
L3MBTL2	chr22	BAE
L3MBTL3	chr6	rMAE
LAMC1	chr1	rMAE
LAPTM5	chr1	BAE
LARGE	chr22	rMAE
LARP1	chr5	BAE
LARS	chr5	BAE
LASP1	chr17	BAE
LASS4	chr19	BAE
LASS5	chr12	BAE
LBH	chr2	rMAE
LCP1	chr13	BAE
LDHA	chr11	BAE
LDLR	chr19	BAE
LDOC1L	chr22	rMAE
LEF1	chr4	rMAE
LEPREL1	chr3	rMAE
LETMD1	chr12	BAE
LGALS3	chr14	BAE
LGMN	chr14	BAE
LILRB1	chr19	rMAE
LILRB4	chr19	rMAE
LIMD1	chr3	BAE
LITAF	chr16	BAE
LMAN1	chr18	BAE
LMNA	chr1	BAE
LMNB1	chr5	BAE
LOC100129361	chr12	BAE
LOC150776	chr2	rMAE
LOC253039	chr9	rMAE
LOC348761	chr2	rMAE
LOC388152	chr15	rMAE
LOC401397	chr7	BAE
LOC642852	chr21	BAE
LOC643387	chr2	rMAE
LOC644649	chr16	rMAE
LOC654433	chr2	rMAE
LOC729603	chr6	rMAE
LOC730101	chr6	BAE
LPCAT1	chr5	BAE
LPGAT1	chr1	BAE
LPPR2	chr19	rMAE
LPXN	chr11	BAE
LRBA	chr4	BAE
LRCH4	chr7	BAE
LRDD	chr11	rMAE
LRMP	chr12	BAE
LRP2BP	chr4	BAE
LRP5	chr11	BAE
LRPAP1	chr4	BAE
LRPPRC	chr2	BAE
LRRC33	chr3	BAE
LRRK1	chr15	BAE
LSS	chr21	BAE
LYN	chr8	rMAE
LYRM4	chr6	BAE
MACC1	chr7	BAE
MAD1L1	chr7	BAE
MAML1	chr5	BAE
MAN2A1	chr5	BAE
MANBAL	chr20	BAE
MAP2K2	chr19	BAE
MAPK1	chr22	BAE
MAPK6	chr15	BAE
MAPK8IP3	chr16	BAE
MAPK9	chr5	BAE
MAPKBP1	chr15	BAE
MARCH2	chr19	BAE
MATR3	chr5	rMAE
MBNL1	chr3	BAE
MBOAT7	chr19	rMAE
MBP	chr18	BAE
MCAT	chr22	BAE
MCL1	chr1	BAE
MCM10	chr10	BAE
MCM7	chr7	BAE
MDN1	chr6	BAE
MED16	chr19	BAE
MED24	chr17	BAE
MEF2A	chr15	BAE
MEI1	chr22	BAE
METTL13	chr1	BAE
METTL22	chr16	BAE
METTL3	chr14	BAE
MFAP1	chr15	BAE
MFAP3	chr5	BAE
MGAT1	chr5	rMAE
MGRN1	chr16	BAE
MIA3	chr1	BAE
MICAL3	chr22	rMAE
MINA	chr3	BAE
MKI67	chr10	BAE
MKL1	chr22	BAE
MKNK2	chr19	rMAE
MLEC	chr12	BAE
MLX	chr17	BAE
MMS19	chr10	BAE
MOBKL2A	chr19	BAE
MOV10	chr1	BAE
MOXD1	chr6	rMAE
MPEG1	chr11	BAE
MPRIP	chr17	BAE
MPV17L2	chr19	BAE
MR1	chr1	BAE
MRM1	chr17	BAE
MRPL10	chr17	BAE
MRPL12	chr17	BAE
MRPL14	chr6	BAE
MRPL19	chr2	BAE
MRPL23	chr11	BAE
MRPL28	chr16	BAE
MRPL4	chr19	BAE
MRPS24	chr7	BAE
MRPS30	chr5	BAE
MRPS6	chr21	BAE
MRS2	chr6	BAE
MSC	chr8	BAE
MSH6	chr2	BAE
MSRB2	chr10	BAE
MTDH	chr8	BAE
MTERFD2	chr2	BAE
MTFP1	chr22	BAE
MTG1	chr10	BAE
MTHFD1	chr14	BAE
MTHFR	chr1	rMAE
MTHFSD	chr16	BAE
MTRR	chr5	BAE
MUT	chr6	BAE
MVD	chr16	BAE
MVK	chr12	BAE
MX1	chr21	BAE
MXD4	chr4	BAE
MYH9	chr22	BAE
MYO15B	chr17	rMAE
MYO19	chr17	BAE
MYO1E	chr15	BAE
MYO9B	chr19	BAE
NACA	chr12	BAE
NAGK	chr2	rMAE
NANS	chr9	BAE
NAPA	chr19	BAE
NAT15	chr16	BAE
NBEAL2	chr3	BAE
NBN	chr8	BAE
NCALD	chr8	BAE
NCAPD2	chr12	BAE
NCBP2	chr3	BAE
NCK2	chr2	BAE
NCKAP1L	chr12	BAE
NCLN	chr19	BAE
NCOA3	chr20	BAE
NCOA4	chr10	BAE
NCOA5	chr20	BAE
NCOR1	chr17	BAE
NCOR2	chr12	BAE
NDST1	chr5	BAE
NDUFA10	chr2	BAE
NDUFA3	chr19	BAE
NDUFA7	chr19	BAE
NDUFS1	chr2	BAE
NDUFS2	chr1	rMAE
NDUFV2	chr18	BAE
NDUFV3	chr21	BAE
NEAT1	chr11	BAE
NEDD9	chr6	BAE
NEFH	chr22	rMAE
NEURL4	chr17	BAE
NFE2L1	chr17	BAE
NFKB1	chr4	BAE
NFKBIA	chr14	BAE
NFKBIB	chr19	BAE
NFYC	chr1	BAE
NHP2L1	chr22	rMAE
NID1	chr1	rMAE
NIN	chr14	BAE
NINJ2	chr12	rMAE
NIP7	chr16	BAE
NIPA1	chr15	BAE
NIPSNAP1	chr22	rMAE
NLRC5	chr16	BAE
NLRP2	chr19	rMAE
NLRP7	chr19	rMAE
NMT1	chr17	BAE
NOD2	chr16	BAE
NOP56	chr20	BAE
NOTCH1	chr9	BAE
NPLOC4	chr17	BAE
NQO2	chr6	rMAE
NRCAM	chr7	rMAE
NT5C2	chr10	BAE
NTAN1	chr16	BAE
NUAK2	chr1	rMAE
NUBP2	chr16	BAE
NUCB1	chr19	BAE
NUDT5	chr10	BAE
NUP107	chr12	BAE
NUP214	chr9	BAE
NUP62	chr19	BAE
NUP93	chr16	BAE
NUSAP1	chr15	BAE
OGDHL	chr10	rMAE
OMA1	chr1	BAE
OPA1	chr3	BAE
ORAI2	chr7	BAE
ORMDL1	chr2	BAE
OSBPL7	chr17	BAE
OSGEP	chr14	BAE
OSTF1	chr9	BAE
OXA1L	chr14	BAE
P2RX4	chr12	BAE
PACS1	chr11	BAE
PACSIN2	chr22	BAE
PAICS	chr4	BAE
PAK1	chr11	BAE
PAK2	chr3	rMAE
PAPLN	chr14	BAE
PARP1	chr1	BAE
PARP14	chr3	BAE
PARP15	chr3	rMAE
PARP3	chr3	BAE
PARP4	chr13	rMAE
PARP9	chr3	BAE
PARVB	chr22	BAE
PASK	chr2	BAE
PBXIP1	chr1	BAE
PCGF3	chr4	BAE
PCM1	chr8	BAE
PCNXL3	chr11	BAE
PDCD11	chr10	BAE
PDCD6IP	chr3	BAE
PDDC1	chr11	BAE
PDIA3P	chr1	BAE
PDIA5	chr3	BAE
PDLIM1	chr10	BAE
PDLIM5	chr4	BAE
PDPK1	chr16	BAE
PDPR	chr16	BAE
PDXDC1	chr16	BAE
PDXK	chr21	BAE
PDZD8	chr10	rMAE
PEG10	chr7	rMAE
PEMT	chr17	BAE
PERP	chr6	rMAE
PES1	chr22	BAE
PEX26	chr22	BAE
PEX6	chr6	rMAE
PFKFB3	chr10	BAE
PFKM	chr12	BAE
PFKP	chr10	BAE
PGAP3	chr17	BAE
PGD	chr1	BAE
PGM2	chr4	BAE
PGPEP1	chr19	BAE
PGS1	chr17	BAE
PHF15	chr5	BAE
PI4K2A	chr10	BAE
PI4KA	chr22	BAE
PICALM	chr11	BAE
PIF1	chr15	BAE
PIGY	chr4	rMAE
PIGZ	chr3	BAE
PIH1D1	chr19	BAE
PIK3AP1	chr10	BAE
PIK3R6	chr17	BAE
PIN1P1	chr1	rMAE
PINX1	chr8	BAE
PIP4K2A	chr10	BAE
PIP4K2B	chr17	BAE
PIP5K1A	chr1	rMAE
PITRM1	chr10	BAE
PJA2	chr5	BAE
PKN3	chr9	rMAE
PLBD2	chr12	BAE
PLCB2	chr15	rMAE
PLCG2	chr16	BAE
PLEK	chr2	BAE
PLEKHM2	chr1	BAE
PLIN3	chr19	BAE
PLK1	chr16	BAE
PLK3	chr1	BAE
PLXNA1	chr3	BAE
PLXNB2	chr22	BAE
PMAIP1	chr18	BAE
PMM2	chr16	BAE
PNKD	chr2	BAE
PNPLA2	chr11	BAE
PNPLA6	chr19	BAE
PNPO	chr17	BAE
PODXL2	chr3	rMAE
POFUT2	chr21	BAE
POLD3	chr11	BAE
POLDIP2	chr17	BAE
POLR2B	chr4	BAE
POLR2E	chr19	BAE
POLR2L	chr11	BAE
POMC	chr2	rMAE
POMT1	chr9	BAE
PPARD	chr6	BAE
PPHLN1	chr12	BAE
PPIF	chr10	BAE
PPIL2	chr22	BAE
PPIP5K2	chr5	rMAE
PPP1CC	chr12	BAE
PPP1R13B	chr14	rMAE
PPP1R15A	chr19	rMAE
PPP1R9B	chr17	BAE
PPP5C	chr19	BAE
PPP6R1	chr19	BAE
PQLC1	chr18	BAE
PRAME	chr22	rMAE
PRCP	chr11	BAE
PRDM15	chr21	BAE
PRDX3	chr10	BAE
PREX1	chr20	BAE
PRKAR1A	chr17	BAE
PRKCB	chr16	BAE
PRKCH	chr14	BAE
PRKRIP1	chr7	BAE
PRPF31	chr19	BAE
PRPSAP2	chr17	BAE
PRR14L	chr22	BAE
PRRC1	chr5	BAE
PRRC2B	chr9	BAE
PRRT3	chr3	BAE
PSAP	chr10	BAE
PSD4	chr2	BAE
PSIP1	chr9	BAE
PSMC4	chr19	BAE
PSMC5	chr17	BAE
PSMD13	chr11	BAE
PSMD3	chr17	BAE
PSMD5	chr9	rMAE
PSMD9	chr12	BAE
PSMF1	chr20	BAE
PSMG4	chr6	rMAE
PSPC1	chr13	BAE
