gene	expression
RPL13AP6	204.21
RAN	203.98
HNRNPA2B1	202.12
EIF3L	202.09
RHOA	199.22
ATP5I	198.46
MIR564	196.51
SNORD116-17	196.51
SNORD116-18	196.51
SNORD116-22	196.51
HNRNPC	196.42
ARF1	196
SNORA3	195.12
RPS23	194.91
FSCN1	194.79
FCER2	193.99
ISG20	193.89
MYL12A	193.52
C1QBP	192.72
VDAC1	192.68
PSMB8	190.94
ATF4	190.29
HNRNPA1P10	189.81
SRRM2	189.67
ARPC5	188.48
SSR2	187.27
HSPD1	187.23
NDUFA13	184.83
COX5B	184.19
CD52	182.83
ZNFX1-AS1	181.6
PGAM1	179.16
MIR3662	176.68
SNRPB	175.32
PTPRCAP	175.09
MKI67	173.83
RPL22	173.35
SOD1	171.84
SHFM1	170.82
ATP1A1	170.03
GNAI2	167.64
RPS21	167.61
RPL15	167.47
ATP5A1	166.93
GPX1	166.58
ANP32B	165.8
CCT8	163.6
CSDE1	162.17
SNORA18	161.77
RGS1	161.51
CD27	160.65
ALDOC	160.29
MYL12B	159.81
SNORA63	159.65
MYH9	159.25
TUBA1C	158.53
RAC2	157.54
RPL34	156.64
RPL23A	156.37
HLA-DQA1	155.52
PNN	155.31
BCL2A1	154.88
CALM2	154.76
DYNLL1	154.65
SMARCB1	154.55
HLA-H	154.37
SET	154.23
GSTP1	152.89
BST2	152.56
EIF5A	150.99
PDIA3P	150.89
CCT7	149.82
IRF4	149.58
POLR1D	148.76
PHB2	146.85
MAP2K2	146.57
HNRNPA1L2	145.41
DDIT4	145.38
SNORD88A	144.81
NSA2	144.26
CYTIP	143.39
TPM4	142.22
PPIA	142.18
SUMO2	141.94
ARGLU1	141.65
SF3B1	140.61
LGALS1	140.33
RPS28	140.11
RPL21P28	139.42
PPP1CA	138.67
SLC25A3	138.64
CCT3	137.49
HNRNPF	136.99
RPS26	135.96
APEX1	135.68
SF3B2	135.36
MZB1	135.26
GADD45B	134.51
ANKRD37	132.93
SNRPD2	132.36
FKBP8	132.33
BUD31	132.28
NDUFV1	132.19
CHCHD2	131.86
MZT2A	131.76
MRFAP1	131.5
MKNK2	131.29
MIR1307	131.26
IFI16	131.21
CHMP4B	130.67
CKS2	130.01
CDC37	129.9
EIF3E	128.21
HNRNPK	128.16
PSAP	127.64
PABPC4	127.39
EIF4A1	126.6
ANXA6	126.04
EIF4B	125.95
SNORA20	125.82
COX6A1	125.64
GNL3	125.58
SNORA62	125.39
GADD45GIP1	124.44
TPM3	124.1
MRPS21	123.51
HLA-DQB1	122
NCF1C	121.74
RBM39	121.28
EIF3M	120.97
MIR636	120.94
ATP5E	120.63
MIR637	120.6
MTFP1	120.48
YWHAZ	120.42
MYO1G	119.8
MDH2	119.46
BSG	119.13
TXNL4A	118.87
C19orf53	118.75
ATP5F1	118.7
SNORD94	118.36
NME1	117.03
COX6B1	116.43
ARPC2	116.33
SNORA16A	116.19
MRPL51	116.1
TNIP1	115.42
ANP32C	115.35
LSP1	115.34
UQCRH	115.23
PRDX1	114.63
C7orf59	113.73
SPTBN1	113.68
CD53	113.57
LONP1	113.15
LOC729862	112.99
SNORA45	112.33
TAF7	112.26
ARHGDIA	112.07
PSIP1	111.93
NEK6	111.84
GPSM3	111.71
STAT1	111.43
PDIA6	110.89
MIR612	110.63
PNISR	110.35
CD79A	109.88
CTSH	109.22
DDX5	109.17
CHMP2A	109.1
C12orf57	108.97
PRKCB	108.9
TRIM22	108.9
PTK2B	108.19
FAM162A	108.1
SNORD23	107.32
CLIC1	107.21
PRMT1	106.96
ATP5EP2	106.52
FBL	106.42
C19orf43	105.98
EIF3B	105.79
SYNGR2	104.71
PSME1	104.29
SDF4	104.27
MRPS34	104.1
IFNGR1	104
CCT5	103.79
COX17	103.75
SNORA9	103.6
CLTA	103.41
SMARCA2	103.17
HLA-DRB5	102.88
PRPF8	102.79
CTSC	102.76
FDPS	102
GDI2	101.95
EZR	101.66
WSB1	101.55
HIST1H4C	101.51
EIF3F	101.43
CCNI	100.93
EIF3C	100.9
EIF4H	100.46
HNRNPD	100.46
P4HA1	99.69
NFKBIA	99.57
EIF4G1	99.53
GOLGA8A	99.29
CDKN1A	98.74
EIF3A	98.7
HDLBP	98.62
CNBP	98.27
MS4A1	98.09
NDUFB9	97.75
SNHG6	97.41
CD70	97.35
GPR15	97.18
NAP1L1	97.12
SARS	97.07
TUBA1A	96.69
NEAT1	96.47
PLEK	96.33
SLAMF7	96.31
PPIG	95.93
C7orf50	95.8
LRRFIP1	95.78
CALM3	94.31
ARPC5L	94.16
HCLS1	94.1
CCL3	93.94
PCNA-AS1	93.86
ERP29	93.75
PFKL	93.73
HNRNPAB	93.56
NIN	93.02
SON	93.02
TFRC	93.01
GPI	92.86
RBM38	92.79
SNAR-B2	92.29
XRCC6	92.24
CCR7	91.62
ZNF318	91.59
SRSF5	91.57
GOLGA8B	91.54
PSMB4	91.32
PPIAL4G	91.21
PHPT1	91.01
IMPDH2	90.92
ACTN4	90.84
RPN1	90.46
BATF	90.37
GABARAP	90.31
MRPL33	90.24
PPM1G	90.03
HADHA	89.95
PARVB	89.87
BLK	89.66
IL4I1	89.23
ODC1	89.16
ANP32A	88.92
SNORA67	88.77
COX6C	88.08
PPA1	88.06
ACTR3	87.83
ERGIC3	87.8
GRB2	87.78
FDFT1	87.55
PDCD5	87.41
CAP1	87.24
LY6E	87.18
SFPQ	87.05
EBI3	86.91
IGLL1	86.82
HNRNPL	86.55
ATP5H	86.51
HINT1	85.94
U2AF2	85.87
COX5A	85.8
TRMT112	85.07
GUK1	84.93
TBCA	84.86
CCL22	84.66
SNORD89	84.61
EIF3K	84.41
CIRBP	84.38
ADAR	84.29
AIP	84.13
PDIA3	84.1
YWHAB	83.89
EIF4A2	83.75
CENPW	83.58
NFKB2	83.35
NDUFB1	82.79
CD22	82.54
RNF181	82.49
SNORA8	82.44
MDH1	82.23
EIF4G2	82.22
COX8A	81.94
SNRPG	81.55
PSMC5	81.35
IFITM2	81.18
KPNB1	81.17
CD37	81.05
EIF3G	81.01
HNRNPA1	80.86
NDUFB7	80.8
PRELID1	80.77
RHOC	80.74
SRSF9	80.71
PSMA7	80.4
PLCG2	80.28
CANX	80.27
MRPL32	80.06
MYC	80.04
SCD	79.88
WDR1	79.77
CLNS1A	79.65
ST6GAL1	79.58
PPP1R15A	79.41
ATP6V0E1	79.36
HLA-DRB6	79.07
CLEC2D	79.05
ATP1A1OS	78.85
MCM7	78.82
PSMB1	78.65
DDX39B	78.32
ATF5	78.24
MRPL36	78.14
ID3	77.98
FLJ39653	77.83
ATP5L2	77.81
SAFB	77.39
DNAJB11	77.34
CSNK2B	77.23
SND1	77.21
CAPZB	77.06
IFIT3	76.88
SNORA65	76.82
LAMTOR2	76.68
VCP	76.65
LOC649330	76.3
HLA-DMA	76.1
CCNB1IP1	76
NDUFB10	75.83
JUNB	75.81
ENO2	75.32
MCM5	75.19
NOP10	75.11
ARPC3	75.06
SNORA24	74.88
MRPL16	74.71
RPL27A	74.69
BAX	74.65
LMAN2	74.61
NDUFAB1	74.51
HNRNPU	74.49
UBXN1	74.37
HLA-DPB1	74.32
WARS	74.32
ENSA	74.28
PCBP2	74.06
HLA-DMB	73.87
PDCD4	73.79
AHCY	73.64
FLOT1	73.55
BHLHE40	73.53
OST4	73.22
DDX17	73.16
PLIN3	73.11
BUB3	73.03
LOC284889	72.91
CCT4	72.9
BNIP3	72.8
CSK	72.52
XBP1	72.51
RSRC2	72.41
UCP2	72.02
SSRP1	72
TANK	71.87
ICAM3	71.67
ATIC	71.65
BZW1	71.5
DAD1	71.17
TMEM66	70.88
ATP5C1	70.87
IK	70.7
TNFRSF13C	70.62
NSRP1	70.6
SEC61G	70.3
SF3B5	70.22
MATR3	70.2
ATP5L	70.08
ATP5J2	70.01
C17orf62	69.97
SNHG5	69.81
GLTSCR2	69.74
SEC61B	69.56
IDH2	69.49
SRSF4	69.42
PFKP	69.35
HDAC1	69.15
PRR13	69.14
TMED9	68.97
NDUFB8	68.88
CCT6A	68.78
PCNA	68.69
GRN	68.64
SERBP1	68.58
HSPB1	68.48
SRSF2	68.44
CAPRIN1	68.42
SNORA57	68.36
SREBF2	68.3
LTA	68.24
MRPL53	68.11
GNB1	68.08
SF1	67.9
SNX5	67.85
SNORD17	67.77
SRSF11	67.67
EVL	67.1
USF2	66.99
IGJ	66.94
LUC7L2	66.9
TAX1BP1	66.87
LOC407835	66.81
SRSF6	66.65
ANAPC11	66.6
MIR155HG	66.51
AARS	66.41
DDX24	66.41
TLN1	66.39
TNFRSF17	66.25
PRPF6	66.2
TXN2	66.1
PSMB10	66.09
GARS	65.81
TXNDC5	65.76
ATP6V1F	65.64
YWHAQ	65.64
GPX4	65.6
MCL1	65.58
ARF5	65.57
CYTH1	65.56
ILF3	65.49
NAP1L4	65.38
PRKCSH	65.33
MRPL54	64.97
TUFM	64.86
HNRNPR	64.67
ARL6IP4	64.64
WNT10A	64.5
RHOG	64.4
SEC61A1	64.31
CCNG1	64.16
MCM3	63.97
ATP6V0C	63.78
CCNL1	63.67
ISCU	63.45
FAIM3	63.42
NUDC	63.4
PIK3R6	63.4
H3F3B	63.11
LRMP	63.03
HNRPDL	62.97
CNN2	62.95
TALDO1	62.92
NHP2	62.91
TKT	62.9
COX7A2L	62.57
POU2AF1	62.44
OS9	62.41
C12orf45	62.37
APP	62.28
ATP5G2	62.17
CD44	62.17
FLOT2	62.16
ATOX1	61.88
SRSF1	61.82
CNPY3	61.78
C17orf49	61.75
ERH	61.72
TRAF1	61.55
VOPP1	61.51
GPR183	61.46
CORO1C	61.17
MEA1	61.17
CIB1	61.09
PFKFB4	61.07
LITAF	61.02
EHD1	60.95
YWHAG	60.95
PDIA4	60.79
OSTC	60.71
COPE	60.65
HSPA9	60.53
MCM2	60.51
ECH1	60.39
MAZ	60.38
NEDD8	60.38
SH3BGRL3	60.36
MIR941-4	60.25
PTGES3	60.24
SLC1A5	60.24
YARS	60.13
TOP1	60.09
IRF8	60.04
RFTN1	59.99
HNRNPM	59.91
SHMT2	59.85
PMAIP1	59.73
PCM1	59.62
EBNA1BP2	59.61
MYO9B	59.58
ZC3H15	59.57
RPL13AP20	59.5
TNFRSF13B	59.42
LAP3	59.37
CDV3	59.31
SNORA55	59.31
IFI30	59.12
RBM6	58.91
EIF5B	58.86
HMGA1	58.85
PGD	58.73
UQCRC1	58.57
SNAR-A11	58.56
SNORA32	58.56
NUP62	58.5
IMP4	58.41
PARP1	58.33
DDX39A	58.29
PPP1R9B	58.19
RABGAP1L	58.09
CSNK1A1	58.08
BLOC1S1	57.87
SMAP2	57.86
SNHG8	57.77
NUMA1	57.75
TSPAN33	57.62
MAPRE1	57.57
WDR6	57.38
DFNA5	57.33
PAIP2	57.17
TCEB2	57.16
SNORA71A	57.02
PSMD6	56.89
BTG1	56.85
CDC42	56.81
TRAP1	56.74
ADA	56.72
CTDNEP1	56.64
DNAJC7	56.6
OAS2	56.47
THRAP3	56.34
IFI44	56.31
ACTR2	56.27
PSMB3	56.24
DDX21	56.15
TCP1	56.03
KTN1	55.97
NFKBIE	55.91
SLC16A3	55.9
PRDX5	55.87
LSM3	55.76
ANXA2P2	55.75
EXOC3	55.75
PTBP1	55.65
C14orf166	55.64
HIST1H2BK	55.56
BRD2	55.41
CTBP1	55.37
TMED2	55.35
LOC644936	55.34
MYBL2	55.31
CFDP1	55.3
NPC2	55.06
C11orf2	54.93
NDUFA12	54.9
HMGCS1	54.87
RNASET2	54.85
NDNL2	54.83
AES	54.81
STAT3	54.78
HIGD2A	54.76
SRSF7	54.74
PSMB5	54.71
EIF1B	54.68
XRCC5	54.68
RAD21	54.62
SQSTM1	54.58
TNFAIP3	54.49
QARS	54.47
MED28	54.45
MGEA5	54.34
SNRNP200	54.22
NOP56	54.17
DHX15	53.89
CFLAR	53.84
TOMM5	53.73
SYNCRIP	53.68
MIR181B1	53.66
PRRC2C	53.63
PPDPF	53.61
SPTAN1	53.59
NCAPD2	53.43
H3F3C	53.36
PPP2R1A	53.36
ZNF622	53.31
KARS	53.28
ETFB	53.15
GTF2E2	52.97
DARS	52.94
UQCRFS1	52.89
SF3B14	52.75
DCTN1	52.73
AKR1A1	52.7
IMMT	52.63
SRPR	52.62
MLST8	52.59
GRHPR	52.52
SRSF3	52.39
PPP1CC	52.37
ACAP1	52.3
STAT6	52.3
EID1	52.29
PSPC1	52.24
RPN2	52.2
CHMP4A	52.11
ADRM1	52.05
RALY	52.01
ICAM1	51.98
TRIP10	51.97
LMNB1	51.84
SNORA10	51.8
SNORA66	51.8
PPP5C	51.75
ANXA11	51.74
CD82	51.61
NDUFV2	51.61
PSMA6	51.58
TMBIM6	51.58
EVI2B	51.54
NUCB1	51.52
MYD88	51.49
PACSIN2	51.44
CDK4	51.15
VIM	51.14
AGPAT5	51.12
SERF2-C15ORF63	51.03
CD79B	50.96
CHD4	50.96
B3GNT2	50.95
SSB	50.9
PPP4C	50.77
SMC3	50.74
PSMC4	50.67
SUPT5H	50.64
CCM2	50.6
SNAP23	50.57
MANF	50.52
ARHGAP30	50.51
SNORD67	50.45
SAFB2	50.39
CBX3	50.35
SLC3A2	50.35
FAM32A	50.31
MSC	50.27
FYN	50.03
PFDN6	50.03
SWAP70	50
PLEKHO1	49.94
VPS72	49.89
HSP90AB4P	49.81
APOL1	49.8
SNORA52	49.8
MRFAP1L1	49.6
IP6K2	49.53
HIST1H1C	49.52
EPRS	49.44
POLR2A	49.39
TTC1	49.34
DDX23	49.3
PFDN2	49.3
LOC654342	49.17
PTPN2	49.17
HNRNPA0	49.15
RNH1	49.15
KPNA2	49.02
ATP5D	49.01
ARHGAP17	48.92
KHDRBS1	48.91
CXXC5	48.88
SLMO2-ATP5E	48.86
SNORA6	48.83
GRINA	48.81
H2AFX	48.8
THOP1	48.76
ITGB7	48.71
UBE2V1	48.65
SP100	48.64
RBM25	48.62
NIPSNAP1	48.59
CD164	48.57
RAP1A	48.57
C11orf31	48.55
PPP6R1	48.51
RCSD1	48.46
ADD1	48.41
PTDSS1	48.39
HIST2H2AA3	48.37
PDCD6	48.36
AATF	48.27
HMGN1	48.17
XPO1	48.17
HDGF	48.15
EXOSC9	48.09
HAUS4	47.96
NDUFS6	47.96
RNU11	47.9
ARCN1	47.86
CD81	47.86
MRPS28	47.84
UBE2D3	47.82
MRPL41	47.77
ANAPC5	47.71
TMPO	47.7
CCT2	47.68
EIF2S2	47.62
PAICS	47.61
AP2M1	47.58
IQGAP1	47.54
UBE2L6	47.47
TSTD1	47.4
TAP1	47.38
ACP1	47.34
COPA	47.34
TCF3	47.34
EWSR1	47.26
NCKAP1L	47.19
TFDP1	47.07
FEN1	47
RPS19BP1	46.98
TAF1D	46.95
PEBP1	46.94
SERF2	46.88
PRDX2	46.84
TRAPPC5	46.83
DDX19B	46.71
C6orf108	46.67
CSNK2A1P	46.64
UBL5	46.61
ZBTB1	46.51
C11orf51	46.45
ZNF207	46.44
TRIM28	46.4
BCKDHA	46.37
SEMA7A	46.37
NAT10	46.33
C1orf43	46.24
GLRX	46.23
FCRLA	46.21
PSMD4	46.18
UBR5	46.17
PTP4A2	46.1
STOML2	46.07
CSTB	46.05
EIF6	45.98
ATP5J	45.97
H1FX	45.95
TPR	45.93
SLBP	45.92
ACO2	45.72
SCARNA9	45.72
HERPUD1	45.71
SEC11C	45.63
MITD1	45.54
ST13	45.53
SSU72	45.52
SLIRP	45.5
SEPHS2	45.47
MAN2B1	45.45
DOCK2	45.32
GTF3A	45.32
RILPL2	45.32
GTF2F1	45.28
EIF4A3	45.26
STARD7	45.24
AKAP2	45.2
DDOST	45.15
NOB1	45.13
C6orf106	45.11
ACAT2	45.08
FAM96A	45
CARD11	44.99
TYMS	44.95
TCEA1	44.84
TOMM6	44.82
SURF4	44.78
CDK5RAP3	44.76
DUSP2	44.76
TARS	44.74
DUSP22	44.73
LMNA	44.66
SCP2	44.66
TXNL1	44.66
C1orf63	44.55
SP140	44.54
OXA1L	44.51
UQCRC2	44.5
RSL1D1	44.48
ADSL	44.38
RAB7A	44.28
ADRBK1	44.26
MRRF	44.22
WBP11	44.19
HK1	44.13
U2AF1	44.08
FH	43.93
MAP2K1	43.85
SART3	43.84
TAOK3	43.74
IMP3	43.67
CDC42SE2	43.64
MSH6	43.57
SIT1	43.47
LY86	43.45
TIMM8B	43.44
RBM5	43.42
USP48	43.38
LGMN	43.36
MFAP1	43.29
ZWINT	43.22
SLTM	43.21
ACADVL	43.2
TNFRSF19	43.2
POLD4	43.18
TMEM219	43.12
ARL6IP5	43.08
PRPF38B	43.05
KDM3A	43.02
PRPF31	43.01
CTNNA1	42.99
METTL3	42.99
HNRNPH3	42.88
TRABD	42.88
LASP1	42.83
GNG5	42.82
HN1	42.74
FKBP1A	42.71
SLAMF1	42.7
APOBEC3C	42.69
NKTR	42.67
MRPL9	42.61
GOLGB1	42.46
PTTG1	42.44
LSM6	42.38
ATP5O	42.37
CD300A	42.36
ACP5	42.31
NCBP2	42.3
TNIK	42.28
EPSTI1	42.26
G3BP2	42.26
SUPT6H	42.26
CLTC	41.96
VEGFB	41.9
RAPGEF1	41.85
ITGB2	41.84
MRPL18	41.74
SMARCA4	41.72
TADA3	41.72
GCET2	41.68
PKN1	41.52
RABEP1	41.52
E2F4	41.49
SMARCE1	41.49
ALKBH5	41.45
STK24	41.41
RAD23A	41.37
CAPNS1	41.35
MRPL21	41.35
DDB2	41.33
PSMA4	41.31
SP110	41.3
TOP2A	41.27
IFI6	41.12
MCM4	41.12
PPP1R7	41.12
TNIP2	41.09
DDX41	41.05
FGFR1OP2	41.03
EFHD2	40.98
JTB	40.95
PSMD14	40.94
TNFRSF14	40.89
MRPL20	40.85
VAMP8	40.84
SKP1	40.78
ARL6IP1	40.72
CXXC1	40.67
DDT	40.6
COPB1	40.57
SNRPD1	40.57
FIS1	40.53
DENND2D	40.5
ZC3H13	40.5
ORMDL3	40.48
YPEL3	40.36
DDX42	40.33
PML	40.29
MAP4	40.28
PRC1	40.26
MLF2	40.25
CPNE1	40.16
RASSF5	40.15
CINP	40.14
MED8	40.04
MTA2	40.03
SEC24C	40.02
MIR454	40
PHF3	39.99
STIP1	39.96
BAZ1B	39.81
TOP2B	39.78
DNM2	39.74
TRIP12	39.7
WNK1	39.7
APOL2	39.69
PIH1D1	39.63
RBM42	39.62
RAB1A	39.6
SNX3	39.58
PPP1R14B	39.57
MTHFD2	39.56
LOC644961	39.54
TGOLN2	39.44
JAK1	39.42
LOC100129148	39.34
DHPS	39.31
DAZAP1	39.22
NDUFS2	39.22
RELA	39.19
MRPL39	39.18
FADS2	39.1
HNRNPUL1	39.1
DIDO1	39.06
NFE2L1	39.06
NUB1	39.06
NT5C	39.04
SNORA1	39.02
C14orf118	38.99
SUPT16H	38.94
CHD2	38.89
CENPF	38.86
NOLC1	38.85
SNRPF	38.85
SRP9	38.85
PSMD13	38.78
IER5	38.67
CLIP2	38.65
EIF5AL1	38.65
BID	38.59
SRI	38.56
EHD4	38.54
UFC1	38.49
IPO5	38.47
NOP58	38.46
TNFRSF8	38.42
IL10RB	38.36
FUS	38.34
MEF2C	38.33
SDHAP3	38.33
FBXW7	38.31
UQCR11	38.28
HMG20B	38.22
CHCHD3	38.2
PA2G4	38.14
UBA2	38.11
IARS	38.08
SEC31A	38.08
MRPS22	38.05
PMPCA	38.03
ZBTB32	38
POLR2B	37.98
IKBIP	37.93
POLR2L	37.93
STRAP	37.93
EHMT1	37.92
IWS1	37.9
LENG8	37.9
NHP2L1	37.9
ODF2	37.9
SPAG7	37.89
UBE2M	37.82
UBA52	37.81
IL32	37.78
C20orf43	37.75
NDUFB3	37.75
LEO1	37.73
PMPCB	37.7
ANXA7	37.69
C9orf123	37.69
MACF1	37.69
GRPEL1	37.68
POLE3	37.67
RPL13	37.64
C6orf48	37.62
YY1AP1	37.62
LMNB2	37.6
UQCRB	37.56
FAM107B	37.52
TRUB2	37.5
C14orf2	37.45
KIFC1	37.43
SETD5	37.43
APRT	37.41
COX7A2	37.4
PGM1	37.36
NDUFA10	37.31
PPP1R16B	37.27
FAM96B	37.26
CCDC124	37.16
BCAS2	37.15
ANKZF1	37.07
DDB1	37.05
EXOSC10	37.04
MRPL23	37.04
NUP210	37.04
UBE2MP1	36.94
THAP7	36.93
PSMB9	36.86
RRP1	36.86
RPL21	36.8
ARID5A	36.77
IFI44L	36.77
SDHA	36.76
IFITM3	36.74
TMED3	36.73
CD19	36.69
ATP6V1E1	36.67
SPCS1	36.63
PIPSL	36.62
ETS1	36.61
ARAP1	36.59
PDAP1	36.59
KDM1A	36.58
NDUFB2	36.58
SDHB	36.54
LYN	36.5
PSMD7	36.47
ZNF330	36.44
MAEA	36.26
RBBP6	36.25
KLC1	36.17
MRPL46	36.13
LLPH	36.12
RNF187	36.11
ERCC5	36.03
MRPL27	36.03
DCTN2	36
POTEF	35.99
EIF4E2	35.98
IRF7	35.97
SNORA38B	35.95
MAP1LC3B2	35.88
RPA1	35.84
GNB2	35.7
AUP1	35.66
C1orf144	35.65
SIVA1	35.65
OAS1	35.63
RNF19A	35.61
TRIM34	35.59
NDUFS4	35.54
PNRC2	35.49
RWDD1	35.49
GABARAPL2	35.45
SERP1	35.45
NR1H2	35.38
CD69	35.29
NOP14	35.29
WTAP	35.29
DCTD	35.28
LSM4	35.28
PRDX3	35.28
TFG	35.14
TRAPPC1	35.01
RUVBL1	34.99
STK10	34.97
MBD1	34.91
SHKBP1	34.9
MAGOH	34.87
MRPS18B	34.86
LOC100129034	34.83
PCK2	34.81
ZNF395	34.81
HYOU1	34.8
TUBA4A	34.76
IER3	34.73
INPP5D	34.7
MRPL14	34.7
MGAT1	34.69
FADD	34.65
BCCIP	34.58
CRIP1	34.56
FMNL1	34.54
DTD1	34.45
SEL1L3	34.41
CCDC28B	34.36
C11orf48	34.33
ITM2C	34.3
DEK	34.28
NARF	34.28
DST	34.2
AMZ2	34.17
VDAC2	34.17
PJA2	34.11
PSMA3	34.11
TERF2IP	34.1
PSMD3	34.09
POP7	34.07
STX4	34.07
ALOX5	34.06
NOP16	34.06
RUNX3	34.06
TNFRSF1B	34.05
CLPTM1	33.99
RBM4	33.98
TRADD	33.97
GOLGA5	33.95
SAT2	33.82
NDUFA8	33.78
TAF9	33.75
RNPS1	33.72
SKAP1	33.71
NDUFB4	33.68
SYNE2	33.67
DPP7	33.66
CS	33.65
CCDC47	33.64
DRAM2	33.57
MTERFD2	33.57
COPB2	33.56
IRF3	33.55
ACBD6	33.54
CD40	33.54
VTI1B	33.5
APOBEC3G	33.49
NSUN2	33.49
TACC3	33.49
ECHS1	33.47
RAB5C	33.47
SART1	33.45
MPHOSPH10	33.44
HNRNPUL2-BSCL2	33.36
TCF25	33.34
PRRC2A	33.33
CLPP	33.32
UBAP2L	33.29
