gene	length
1700025N23Rik	3708
1700026D11Rik	33330
1700026F02Rik	20028
1700026J14Rik	893
1700027A15Rik	923
1700027A15Rik	9473
1700027F06Rik	1205
1700027F09Rik	13130
1700027H10Rik	22726
1700027I24Rik	24334
1700027J07Rik	19679
1700028B04Rik	552
1700028D13Rik	3240
1700028D13Rik	3240
1700028E10Rik	45409
1700028E10Rik	27490
1700028I16Rik	12120
1700028J19Rik	6193
1700028K03Rik	13667
1700028K03Rik	16832
1700028M03Rik	18752
1700028P14Rik	94053
1700028P15Rik	5921
1700029B22Rik	4140
1700029F12Rik	12499
1700029F12Rik	12499
1700029F12Rik	12499
1700029F12Rik	13391
1700029H14Rik	11740
1700029H14Rik	11740
1700029I15Rik	686
1700029J03Rik	62058
1700029J07Rik	21647
1700029M20Rik	3544
1700029M20Rik	3544
1700029N11Rik	17841
1700029P11Rik	1024
1700030A11Rik	1507
1700030C10Rik	11388
1700030F04Rik	72563
1700030F18Rik	13311
1700030J22Rik	9345
1700030K09Rik	16662
1700030L20Rik	14080
1700030M09Rik	3265
1700030N03Rik	43905
1700030O20Rik	6111
1700031A10Rik	9641
1700031F05Rik	7167
1700031L13Rik	2287
1700031M16Rik	17691
1700031P21Rik	2339
1700034E13Rik	17512
1700034G24Rik	7061
1700034G24Rik	7061
1700034H15Rik	13456
1700034I23Rik	2345
1700034J05Rik	3121
1700034J05Rik	3121
1700034K08Rik	25818
1700034O15Rik	1287
1700034P13Rik	23609
1700036G14Rik	14509
1700037C18Rik	2892
1700037H04Rik	13696
1700037H04Rik	13767
1700039E22Rik	7446
1700040L02Rik	110920
1700041A01Rik	9663
1700041C23Rik	10836
1700041M19Rik	6654
1700042G07Rik	926
1700042G15Rik	4501
1700042G15Rik	4501
1700042O10Rik	17199
1700044C05Rik	32288
1700044K03Rik	1153
1700045H11Rik	26725
1700046C09Rik	38890
1700047A11Rik	13912
1700047E10Rik	21631
1700047G03Rik	3022
1700047I17Rik2	17555
1700047I17Rik2	17555
1700047L14Rik	5076
1700047M11Rik	2456
1700048M11Rik	3751
1700048O20Rik	9742
1700049E15Rik	12134
1700049E22Rik	6027
1700049L16Rik	806
1700051A21Rik	1713
1700052I22Rik	1016
1700052K11Rik	2413
1700054A03Rik	8141
1700054K19Rik	1811
1700054M17Rik	3253
1700055C04Rik	3001
1700056E22Rik	967
1700057G04Rik	48500
1700057H15Rik	36334
1700057H21Rik	16851
1700060C16Rik	57936
1700060C20Rik	3727
1700061F12Rik	7970
1700061G19Rik	13206
1700061I17Rik	17244
1700061J23Rik	14236
1700063A18Rik	31100
1700063D05Rik	11473
1700063O14Rik	1059
1700064J06Rik	10203
1700064M15Rik	1922
1700065D16Rik	2465
1700065D16Rik	2100
1700065I16Rik	2353
1700065I16Rik	2353
1700065J11Rik	5984
1700065J18Rik	1035
1700065L07Rik	34057
1700065O20Rik	14625
1700066B17Rik	4903
1700066B19Rik	3881
1700066J03Rik	2027
1700066M21Rik	7803
1700066N21Rik	70764
1700066O22Rik	29331
1700067G17Rik	6098
1700067K01Rik	3065
1700067P10Rik	1289
1700069L16Rik	32349
1700069P05Rik	1760
1700071K01Rik	1038
1700071M16Rik	3170
1700071M16Rik	3170
1700072B07Rik	3680
1700072I22Rik	10078
1700072I22Rik	10078
1700072O05Rik	19409
1700073E17Rik	4599
1700074H08Rik	1541
1700074P13Rik	20098
1700080E11Rik	1739
1700080N15Rik	9077
1700080O16Rik	4078
1700081H04Rik	6308
1700083H02Rik	1055
1700084D21Rik	7937
1700084E18Rik	434
1700084F23Rik	24299
1700084J12Rik	731
1700084M14Rik	701
1700085C21Rik	6636
1700086L19Rik	11675
1700086L19Rik	11675
1700086L19Rik	11675
1700086O06Rik	12161
1700086O06Rik	11794
1700086O06Rik	11794
1700088E04Rik	6597
1700088E04Rik	6597
1700088E04Rik	6597
1700088E04Rik	6597
1700091H14Rik	5528
1700092C02Rik	4785
1700092C10Rik	7045
1700092E19Rik	29248
1700092K14Rik	942
1700092M07Rik	508
1700093K21Rik	2993
1700093K21Rik	3740
1700094D03Rik	5552
1700094J05Rik	12493
1700094M24Rik	7635
1700095A21Rik	27835
1700095B10Rik	8410
1700095B10Rik	8410
1700095J12Rik	939
1700096J18Rik	6785
1700096K18Rik	1449
1700096P03Rik	6113
1700097N02Rik	4465
1700099I09Rik	1642
1700099I09Rik	1642
1700100I10Rik	5724
1700100I10Rik	5724
1700100I10Rik	5724
1700100I10Rik	5724
1700100L14Rik	2864
1700101I11Rik	1101
1700101O22Rik	8292
1700102H20Rik	2040
1700102H20Rik	2040
1700102P08Rik	4934
1700104L18Rik	8706
1700105P06Rik	555
1700108F19Rik	9541
1700108J01Rik	3734
1700109G14Rik	12352
1700109G15Rik	3457
1700109H08Rik	12626
1700109I08Rik	29631
1700109K24Rik	11917
1700110C19Rik	4711
1700110I01Rik	43430
1700110I01Rik	40239
1700110I01Rik	40238
1700110I07Rik	29227
1700110K17Rik	9866
1700111N16Rik	214329
1700112H15Rik	29851
1700112J05Rik	12422
1700112J16Rik	18377
1700112J16Rik	527
1700113A16Rik	6226
1700113B09Rik	2744
1700113H08Rik	172554
1700116B05Rik	683
1700116B05Rik	683
1700119H24Rik	3475
1700120C14Rik	10254
1700120E14Rik	35447
1700120G07Rik	4238
1700120K04Rik	543
1700121L16Rik	25680
1700121N20Rik	5015
1700122C19Rik	6574
1700122C19Rik	6574
1700122O11Rik	1549
1700123J17Rik	23992
1700123J17Rik	13358
1700123K08Rik	2855
1700123L14Rik	1703
1700123M08Rik	27722
1700123O12Rik	289772
1700123O20Rik	4572
1700123O21Rik	22910
1700124L16Rik	750
1700125G02Rik	3895
1700125G22Rik	2994
1700125H03Rik	3835
1700125H03Rik	7252
1700125H20Rik	10059
1700126H18Rik	24729
1700128A07Rik	69334
1700128F08Rik	20099
1700129C05Rik	9854
1810006J02Rik	13189
1810007C17Rik	3870
1810007D17Rik	23425
1810008I18Rik	2172
1810009A15Rik	1877
1810009A15Rik	1877
1810009J06Rik	3656
1810010D01Rik	2302
1810010H24Rik	2220
1810011H11Rik	32006
1810011O10Rik	1331
1810012K16Rik	871
1810013A23Rik	1456
1810013L24Rik	28825
1810014B01Rik	4428
1810018F18Rik	2407
1810019D21Rik	3323
1810019D21Rik	3323
1810019D21Rik	3323
1810020O05Rik	15255
1810021B22Rik	4657
1810022K09Rik	4968
1810022K09Rik	4933
1810024B03Rik	21926
1810026B05Rik	18598
1810030O07Rik	18759
1810032O08Rik	4139
1810032O08Rik	4139
1810032O08Rik	4139
1810034E14Rik	19446
1810037I17Rik	1798
1810041H14Rik	2548
1810041H14Rik	1410
1810041H14Rik	1694
1810041L15Rik	67895
1810041L15Rik	67408
1810043G02Rik	6789
1810044D09Rik	769
1810046K07Rik	39232
1810053B23Rik	10356
1810053B23Rik	12715
1810053B23Rik	9328
1810053B23Rik	14997
1810053B23Rik	13487
1810053B23Rik	9466
1810055G02Rik	9549
1810058I24Rik	9361
1810058I24Rik	9328
1810062G17Rik	6363
1810062O18Rik	24388
1810063I02Rik	391
1810064F22Rik	7075
1810065E05Rik	4913
2010001A14Rik	5969
2010003K11Rik	1796
2010005H15Rik	35866
2010009K17Rik	21434
2010010A06Rik	8658
2010010A06Rik	1655
2010016I18Rik	3928
2010106C02Rik	2012
2010106E10Rik	63070
2010106E10Rik	63070
2010107E04Rik	5602
2010107G23Rik	3358
2010109A12Rik	6957
2010109I03Rik	3369
2010111I01Rik	337985
2010111I01Rik	337985
2010111I01Rik	86068
2010111I01Rik	62849
2010204K13Rik	8944
2010204K13Rik	11172
2010300C02Rik	108136
2010308F09Rik	13093
2010308F09Rik	1643
2010310C07Rik	9888
2010315B03Rik	20891
2010315B03Rik	20891
2010315B03Rik	20891
2010320M18Rik	745
2200002D01Rik	947
2200002J24Rik	1609
2210010C04Rik	5242
2210011C24Rik	1493
2210013O21Rik	17743
2210016F16Rik	5180
2210016L21Rik	6339
2210039B01Rik	3504
2210404E10Rik	764
2210406O10Rik	17244
2210406O10Rik	9120
2210406O10Rik	6469
2210407C18Rik	5287
2210408F21Rik	117044
2210408F21Rik	117044
2210408F21Rik	117044
2210408F21Rik	117044
2210408F21Rik	117044
2210408F21Rik	117044
2210408I21Rik	478144
2210408I21Rik	58370
2210409D07Rik	6507
2210409E12Rik	377
2210414B05Rik	6603
2210416O15Rik	2050
2210417A02Rik	1300
2210418O10Rik	13766
2210418O10Rik	13766
2210418O10Rik	35308
2210418O10Rik	13766
2210418O10Rik	13766
2210418O10Rik	35306
2210420H20Rik	4535
2300002M23Rik	1461
2300003K06Rik	919
2300009A05Rik	4798
2310001H17Rik	5423
2310001H17Rik	5860
2310001H17Rik	5860
2310001K24Rik	459
2310002D06Rik	10749
2310002F09Rik	10471
2310002L09Rik	11476
2310002L09Rik	9268
2310003N18Rik	660
2310005A03Rik	2289
2310005E17Rik	10956
2310007B03Rik	9594
2310007B03Rik	9516
2310008N11Rik	9827
2310009A05Rik	3065
2310009B15Rik	4876
2310010J17Rik	5101
2310010J17Rik	4639
2310011J03Rik	2294
2310015A10Rik	12299
2310015D24Rik	6289
2310016D03Rik	56800
2310020H05Rik	11394
2310022A10Rik	21623
2310022A10Rik	28809
2310022B05Rik	27614
2310030A07Rik	26091
2310030G06Rik	6831
2310033P09Rik	2374
2310034C09Rik	943
2310034G01Rik	788
2310034O05Rik	7358
2310035C23Rik	91271
2310035C23Rik	91271
2310036O22Rik	3454
2310039H08Rik	773
2310039L15Rik	26941
2310040G24Rik	4852
2310040G24Rik	4852
2310043L19Rik	1402
2310043O21Rik	45591
2310050C09Rik	1847
2310057J18Rik	14019
2310057M21Rik	19981
2310057N15Rik	1026
2310061I04Rik	4702
2310061N02Rik	792
2310065F04Rik	7620
2310068J16Rik	1121
2310069B03Rik	3988
2310069G16Rik	18067
2310075C17Rik	787
2310079G19Rik	879
2310081J21Rik	1055
2310081J21Rik	1055
2400006E01Rik	27544
2410002F23Rik	5598
2410003L11Rik	24383
2410004B18Rik	6244
2410004I01Rik	5855
2410004P03Rik	6770
2410004P03Rik	6770
2410006H16Rik	1930
2410012E07Rik	21022
2410015M20Rik	2320
2410017I17Rik	17357
2410018L13Rik	56247
2410021H03Rik	1845
2410089E03Rik	102053
2410124H12Rik	18624
2410131K14Rik	17888
2410137M14Rik	3537
2410141K09Rik	10091
2410141K09Rik	23005
2500002B13Rik	916
2500002B13Rik	22300
2500002B13Rik	18768
2500004C02Rik	4654
2510002D24Rik	3534
2510003B16Rik	15002
2510009E07Rik	45621
2510039O18Rik	6420
2610001J05Rik	2410
2610002M06Rik	33583
2610005L07Rik	39033
2610008E11Rik	33227
2610016A17Rik	1106
2610020C07Rik	22414
2610027K06Rik	40729
2610028E06Rik	34460
2610028H24Rik	12138
2610035D17Rik	157933
2610035F20Rik	4823
2610037D02Rik	7501
2610042L04Rik	19925
2610044O15Rik8	17693
2610203C22Rik	70260
2610206C17Rik	86910
2610301B20Rik	24926
2610306M01Rik	1034
2610307P16Rik	425389
2610307P16Rik	425389
2610316D01Rik	97822
2610318N02Rik	11709
2610507B11Rik	28872
2610507I01Rik	4639
2610524H06Rik	1532
2610528A11Rik	7962
2610528J11Rik	2943
2700038G22Rik	4437
2700038G22Rik	4437
2700046A07Rik	4674
2700046G09Rik	1969
2700049A03Rik	106456
2700049A03Rik	106456
2700054A10Rik	67074
2700054A10Rik	67074
2700060E02Rik	12422
2700062C07Rik	6897
2700069I18Rik	43000
2700070H01Rik	3077
2700081O15Rik	8280
2700089I24Rik	66256
2700097O09Rik	34450
2700097O09Rik	34450
2700099C18Rik	25030
2810001G20Rik	3776
2810002D19Rik	4974
2810004N23Rik	23675
2810006K23Rik	12033
2810006K23Rik	13764
2810013P06Rik	2028
2810021J22Rik	17099
2810025M15Rik	7885
2810029C07Rik	2086
2810032G03Rik	39631
2810047C21Rik1	6991
2810049E08Rik	37503
2810403A07Rik	27140
2810403D21Rik	52419
2810404M03Rik	218936
2810405F15Rik	1549
2810408A11Rik	3629
2810408A11Rik	3629
2810408A11Rik	3629
2810408A11Rik	3629
2810408I11Rik	10791
2810410L24Rik	3207
2810428I15Rik	2444
2810429I04Rik	14096
2810433D01Rik	4910
2810442N19Rik	11517
2810454H06Rik	2825
2810459M11Rik	9594
2810459M11Rik	9594
2810468N07Rik	4233
2810471M01Rik	11713
2810474O19Rik	26250
2810474O19Rik	26250
2810474O19Rik	26250
2900005J15Rik	2033
2900009J06Rik	20438
2900011O08Rik	114858
2900026A02Rik	52263
2900026A02Rik	76991
2900041M22Rik	2171
2900052N01Rik	13764
2900055J20Rik	726
2900057B20Rik	6915
2900060B14Rik	597
2900076A07Rik	7949
2900079G21Rik	92352
2900079G21Rik	1638
2900079G21Rik	46057
2900079G21Rik	1742
2900092C05Rik	43771
2900092D14Rik	2841
2900097C17Rik	4917
3000002C10Rik	1278
3010001F23Rik	47675
3010001F23Rik	48131
3010003L21Rik	2273
3100003L05Rik	83266
3110002H16Rik	21240
3110009E18Rik	67003
3110009E18Rik	67003
3110009F21Rik	6420
3110015C05Rik	17963
3110021A11Rik	824
3110035E14Rik	25876
3110039I08Rik	55554
3110039I08Rik	111901
3110039I08Rik	213494
3110039I08Rik	117937
3110039I08Rik	140291
3110039I08Rik	11577
3110039M20Rik	17695
3110040N11Rik	7267
3110043O21Rik	34599
3110045C21Rik	2988
3110056K07Rik	6122
3110056K07Rik	24209
3110062M04Rik	6295
3110062M04Rik	6295
3110062M04Rik	6295
3110070M22Rik	1128
3110079O15Rik	5196
3110082I17Rik	100796
3110082J24Rik	2503
3110099E03Rik	18689
3200001D21Rik	12010
3300002I08Rik	51829
3300002P13Rik	1781
3300005D01Rik	4584
3300005D01Rik	3753
3300005D01Rik	3751
3425401B19Rik	26154
3632451O06Rik	101349
3632454L22Rik	8697
3632454L22Rik	37915
3632454L22Rik	14181
3830403N18Rik	16925
3830406C13Rik	19029
3830406C13Rik	19029
3830406C13Rik	19029
3830406C13Rik	19029
3830406C13Rik	19029
3830406C13Rik	19029
3830406C13Rik	19029
3830408C21Rik	10949
3830417A13Rik	5231
3830432H09Rik	6686
3930402G23Rik	4031
3930402G23Rik	4031
4430402I18Rik	41091
4631405J19Rik	4098
4632404H12Rik	5890
4632415L05Rik	4114
4632427E13Rik	754
4632428C04Rik	12764
4732416N19Rik	23376
4732471J01Rik	62718
4732471J01Rik	171705
4732471J01Rik	8916
4732490B19Rik	6355
4732491K20Rik	8398
4831407H17Rik	5247
4831440E17Rik	4677
4833411C07Rik	2413
4833412C05Rik	18959
4833415N18Rik	1800
4833417C18Rik	2230
4833418N02Rik	7929
4833419F23Rik	15399
4833420G17Rik	23359
4833420G17Rik	23359
4833422C13Rik	28265
4833422C13Rik	33971
4833422C13Rik	40208
4833422M21Rik	22815
4833423E24Rik	34844
4833427F10Rik	8238
4833427G06Rik	20766
4833428L15Rik	14607
4833439L19Rik	14165
4833439L19Rik	14165
4833439L19Rik	14165
4833439L19Rik	14165
4833439L19Rik	14165
4921501E09Rik	3916
4921504A21Rik	24188
4921504A21Rik	24188
4921504E06Rik	91074
4921507P07Rik	23287
4921508D12Rik	27759
4921509C19Rik	5610
4921509O07Rik	56557
4921511C10Rik	40995
4921511C20Rik	1606
4921511I17Rik	40954
4921511M17Rik	11051
4921511M17Rik	11048
4921511M17Rik	11054
4921511M17Rik	11053
4921513I03Rik	13155
4921513I03Rik	8754
4921515E04Rik	291491
4921517D22Rik	6700
4921518K17Rik	32628
4921524J17Rik	24083
4921524J17Rik	24083
4921524L21Rik	35334
4921525O09Rik	27420
4921529L05Rik	38693
4921530L21Rik	1510
4921531C22Rik	2161
4921531P14Rik	33093
4921533I20Rik	1000
4921534H16Rik	8756
4921536K21Rik	9039
4921539E11Rik	60419
4921539E11Rik	60419
4922502D21Rik	9617
4922502H24Rik	5710
4922502N22Rik	6980
4930401C15Rik	58124
4930401O10Rik	11652
4930401O12Rik	27677
4930402F06Rik	21613
4930402F06Rik	21613
4930402F11Rik	3596
4930402H24Rik	133946
4930402H24Rik	133488
4930402K13Rik	1781
4930404A05Rik	16237
4930404H11Rik	15527
4930404I05Rik	5255
4930404N11Rik	1797
4930405A10Rik	35625
4930405A21Rik	6371
4930405D11Rik	90462
4930405J17Rik	2608
4930405L22Rik	5588
4930405O22Rik	7528
4930406D18Rik	11350
4930407G08Rik	6790
4930407I10Rik	7388
4930407I19Rik	34219
4930412B13Rik	87209
4930412C18Rik	52827
4930412O13Rik	5522
4930413E15Rik	8923
4930413F20Rik	4132
4930413G21Rik	1402
4930413M19Rik	17175
4930414N06Rik	12434
4930415F15Rik	25925
4930415F15Rik	51447
4930415L06Rik	2756
4930415O20Rik	18585
4930417O13Rik	8253
4930417O22Rik	8154
4930419G24Rik	63831
4930423M02Rik	9957
4930425K10Rik	9470
4930425L21Rik	24479
4930425O10Rik	15450
4930426D05Rik	4543
4930426L09Rik	1486
4930427A07Rik	9038
4930428D20Rik	4241
4930428E07Rik	61713
4930428G15Rik	5764
4930428O21Rik	5269
4930429B21Rik	1950
4930429D17Rik	68655
4930429F11Rik	2262
4930429F24Rik	9595
4930430A15Rik	36347
4930430F08Rik	16986
4930430F21Rik	4206
4930430J02Rik	9295
4930431F12Rik	12605
4930431P03Rik	6408
4930432J09Rik	49515
4930432K21Rik	24560
4930432K21Rik	24560
4930432M17Rik	12220
4930433B08Rik	12193
4930433I11Rik	7225
4930433N12Rik	9545
4930434J06Rik	63730
4930435E12Rik	16545
4930438E09Rik	65701
4930440C22Rik	5031
4930440I19Rik	143254
4930441H08Rik	29497
4930441J16Rik	8778
4930442J19Rik	13965
4930442L01Rik	2245
4930443O20Rik	12848
4930444F02Rik	34632
4930444F02Rik	34632
4930444F02Rik	30845
4930444G20Rik	1771
4930444M15Rik	6298
4930444P10Rik	27347
4930444P10Rik	27347
4930445N18Rik	3266
4930447A16Rik	15091
4930447C04Rik	36657
4930447F24Rik	4850
4930447F24Rik	1713
4930447J18Rik	45326
4930447K03Rik	29118
4930447M23Rik	7935
4930447N08Rik	6890
4930448C13Rik	54001
4930448F12Rik	15256
4930448H16Rik	7757
4930448I06Rik	13693
4930448I18Rik	4760
4930448K20Rik	1433
4930449E01Rik	6841
4930449E18Rik	3093
4930449I24Rik	2785
4930451G09Rik	13767
4930451G09Rik	14674
4930451I11Rik	1023
4930452A19Rik	25115
4930452B06Rik	235119
4930452G13Rik	10011
4930452N14Rik	15386
4930453H23Rik	15086
4930453L07Rik	4382
4930453N24Rik	4835
4930455B14Rik	6989
4930455C13Rik	22968
4930455D15Rik	173646
4930455F16Rik	9205
4930455F16Rik	9205
4930455F16Rik	8147
4930455G09Rik	11098
4930455H04Rik	16140
4930455J16Rik	21238
4930456L15Rik	20874
4930459C07Rik	22502
4930459L07Rik	9759
4930461G14Rik	14451
4930463O16Rik	9384
4930465K10Rik	1262
4930465M20Rik	11746
4930467D21Rik	195710
4930467E23Rik	24027
4930467K11Rik	7971
4930469G21Rik	2472
4930470H14Rik	38338
4930470O06Rik	19073
4930470P17Rik	22600
4930471C04Rik	4941
4930471G03Rik	3752
4930471M09Rik	10395
4930473A02Rik	19959
4930473O22Rik	5948
4930474G06Rik	438013
4930474H20Rik	142870
4930474M22Rik	9836
4930474N05Rik	1891
4930474N09Rik	1532
4930477N07Rik	11629
4930477N07Rik	11629
4930478L05Rik	4554
4930478P22Rik	6125
4930479D17Rik	8186
4930480E11Rik	1486
4930480G23Rik	26295
4930480K15Rik	5934
4930480K23Rik	13086
4930480K23Rik	34280
4930480M12Rik	29441
4930481A15Rik	16033
4930481A15Rik	16033
4930482G09Rik	4166
4930483J18Rik	1905
4930483K19Rik	16356
4930483O08Rik	14207
4930484H19Rik	4860
4930486F22Rik	17732
4930486I03Rik	35847
4930486L24Rik	21805
4930487D11Rik	4809
4930487H11Rik	3815
4930488B22Rik	6493
4930488L21Rik	1862
4930500F04Rik	16534
4930500L23Rik	17589
4930502A04Rik	49299
4930502E09Rik	1691
4930502E18Rik	13392
4930503B20Rik	5059
4930503E14Rik	8205
4930503E24Rik	55415
4930503F20Rik	1524
4930503F20Rik	3212
4930503H13Rik	635
4930503L19Rik	19341
4930503O07Rik	10573
4930504C09Rik	4186
4930504O13Rik	6824
4930505A04Rik	45824
4930505G20Rik	13002
4930505K13Rik	9887
4930505K14Rik	5118
4930506A18Rik	53526
4930506A18Rik	53526
4930506C21Rik	17753
4930507D05Rik	2194
4930507D10Rik	7920
4930509E16Rik	13609
4930509J09Rik	130446
4930509K18Rik	4488
4930511A02Rik	6580
4930511A08Rik	104520
4930511E03Rik	7712
4930511M06Rik	6384
4930511M06Rik	6507
4930511M06Rik	6382
4930512B01Rik	51537
4930512J16Rik	16215
4930512M02Rik	38616
4930513D17Rik	141826
4930513N10Rik	14899
4930513O06Rik	7161
4930515B02Rik	5365
4930515G01Rik	1251
4930515G16Rik	466
4930515L03Rik	95049
4930515L19Rik	61353
4930517E11Rik	6321
4930517M08Rik	2498
