chrom	start	end	size	num_data	min	max	mean	median	sum	name	norm_sum	percentile
chr15	65204101	65251042	46941	41074	0.04	10.24	2.74	2.12	112534.76	ANKDD1A	2.51564268788841	0.41588785046729
chr15	79575146	79590582	15436	15436	1	18.68	8.96	8.84	138312.04	ANKRD34C	10.1031439006574	0.952102803738318
chr15	79484049	79576288	92239	89114	0.08	28.88	8.36	7.92	744727.96	ANKRD34C-AS1	8.56866015440728	0.910046728971963
chr15	40570573	40574788	4215	4215	1.92	26.32	11.74	11.48	49480.2	ANKRD63	13.5553278688525	0.982476635514019
chr15	69070875	69113262	42387	38550	0.04	10	2.66	2.08	102490	ANP32A	2.26122448979592	0.293224299065421
chr15	69096160	69099441	3281	2431	0.04	4.72	1.89	2	4604	ANP32A-IT1	1.12686260304282	0.0455607476635514
chr15	35529527	35530265	738	663	0.32	4.36	2.89	3.4	1916.8	ANP32AP1	3.45369369369369	0.581775700934579
chr15	90328126	90358073	29947	28097	0.04	28.12	4.84	4.2	135863.88	ANPEP	5.82649663697322	0.767523364485981
chr15	60639350	60690186	50836	42425	0.04	9.76	2.72	2.24	115325	ANXA2	2.14869950812342	0.226635514018692
chr15	83328033	83378661	50628	48478	0.08	19.72	5.46	4.8	264586.48	AP3B2	7.23210277436108	0.841121495327103
chr15	90373831	90437618	63787	51819	0.04	9	2.42	2	125632	AP3S2	2.32294977937598	0.332943925233645
chr15	51200869	51298098	97229	80100	0.04	9	2.46	2	197395	AP4E1	2.13574831202364	0.213785046728972
chr15	29213840	29410517	196677	193027	0.04	21.64	5.38	5	1037559.12	APBA2	6.31372156705247	0.803738317757009
chr15	63569749	63601326	31577	30476	0.04	11	2.92	2.76	88881.24	APH1B	2.50910809339804	0.413551401869159
chr15	58430368	58478111	47743	47468	0.08	26.6	8.4	8	398746.04	AQP9	7.95344649446494	0.886682242990654
chr15	35148552	35261996	113444	95723	0.04	9.6	2.42	2	232054	AQR	2.40732403132943	0.371495327102804
chr15	32907345	32932151	24806	22401	0.04	7.6	2.51	2.16	56279.76	ARHGAP11A	2.19825638621983	0.248831775700935
chr15	30918879	30931014	12135	10685	0.04	8.08	2.57	2	27481.68	ARHGAP11B	2.09208891595615	0.192757009345794
chr15	74833518	74890473	56955	51180	0.04	9.2	2.76	2.32	141098.92	ARID3B	2.41086102057261	0.373831775700935
chr15	72766667	72878897	112230	97400	0.04	15	2.49	2	242165	ARIH1	2.30709357559729	0.322429906542056
chr15	80696692	80890278	193586	192236	0.04	31.52	7.97	7.48	1533047.44	ARNT2	8.25150675493837	0.901869158878505
chr15	90439764	90456223	16459	15584	0.04	15.28	5.16	4.96	80337.44	ARPIN	5.16830929012933	0.713785046728972
chr15	52839242	52861644	22402	20052	0.04	9.6	2.73	2.2	54786.4	ARPP19	2.11604032289212	0.200934579439252
chr15	98503933	98517069	13136	12461	0.04	14	3.82	3.2	47647.36	ARRDC4	4.00970798619877	0.61214953271028
chr15	101142755	101191905	49150	43600	0.04	13	2.57	2.08	111850	ASB7	2.253858864305	0.289719626168224
chr15	93338714	93340339	1625	1625	1	7	4.02	4	6530.04	ASB9P1	2.65271932532783	0.455607476635514
chr15	25923860	26108350	184490	174015	0.04	23.4	3.5	3	609649	ATP10A	4.12278779763716	0.623831775700935
chr15	50150435	50411420	260985	249385	0.04	23.48	5.19	4.68	1293839	ATP8B4	5.88459036972015	0.776869158878505
chr15	34158428	34331304	172876	149526	0.04	10	2.53	2	378996	AVEN	2.56195120262909	0.436915887850467
chr15	45003685	45010358	6673	6598	0.04	12.68	3.96	3.92	26096.6	B2M	3.11736683167371	0.535046728971963
chr15	40731920	40760442	28522	22972	0.04	27.48	3.34	2.6	76644.24	BAHD1	2.86870129578477	0.5
chr15	72978520	73030818	52298	44348	0.04	9	2.35	2	104133.88	BBS4	1.98583857886916	0.139018691588785
chr15	80253232	80263644	10412	9737	0.04	9.16	3.03	2.88	29512.44	BCL2A1	2.05361074385916	0.167056074766355
chr15	52401466	52404973	3507	3309	0.32	9.84	3.12	2.92	10323.16	BCL2L10	2.32440781770693	0.335280373831776
chr15	91260558	91358693	98135	84560	0.04	11.72	2.53	2	214026.76	BLM	2.06443671074106	0.174065420560748
chr15	45879321	45901915	22594	18444	0.04	7.56	2.46	2	45317.32	BLOC1S6	2.19898603862137	0.251168224299065
chr15	40380091	40401086	20995	19509	0.04	8.04	2.81	2.64	54820.04	BMF	1.65886277504966	0.0759345794392523
chr15	83924655	83953469	28814	28539	0.16	25.96	8.28	7.36	236336.4	BNC1	8.13690480289206	0.894859813084112
chr15	59951345	59981734	30389	27289	0.04	9.56	2.55	2	69719.64	BNIP2	2.19880282578529	0.25
chr15	83685181	83736107	50926	43919	0.04	9.36	2.42	2	106203.68	BTBD1	2.25127037625861	0.286214953271028
chr15	40453210	40513338	60128	51628	0.04	7.96	2.67	2.28	137634.12	BUB1B	2.42668879295814	0.386682242990654
chr15	40509629	40569689	60060	55685	0.04	28.76	5.14	4	286438.96	BUB1B-PAK6	5.14413766598542	0.712616822429907
chr15	93014907	93044348	29441	26516	0.16	26.4	7.41	7	196552.44	C15orf32	7.3518773143819	0.848130841121495
chr15	90373831	90456223	82392	69392	0.04	15.28	3.04	2.48	210945.44	C15orf38-AP3S2	2.97089516083601	0.517523364485981
chr15	75494221	75504511	10290	9840	0.04	11.2	3.23	3	31797.56	C15orf39	3.26061936013126	0.551401869158878
chr15	83657715	83680394	22679	16610	0.08	9	2.32	2	38617	C15orf40	2.14134412775868	0.224299065420561
chr15	36871804	37102462	230658	201937	0.04	11	2.54	2.04	513215.72	C15orf41	2.37193566575773	0.351635514018692
chr15	45722727	45725648	2921	2921	1.24	14.68	5.76	5.56	16838	C15orf48	6.92636774989716	0.829439252336449
chr15	40623653	40633169	9516	9041	0.12	11.72	3.59	3	32471.4	C15orf52	4.30141740627898	0.643691588785047
chr15	38988799	38992240	3441	3441	0.2	7	3.03	3	10412.92	C15orf53	1.84292945382464	0.110981308411215
chr15	39542870	39547044	4174	4174	1	9.28	4.43	4.04	18477.8	C15orf54	2.93876836948915	0.509345794392523
chr15	40542866	40545111	2245	2245	5.56	28.76	14.65	13.48	32893.88	C15orf56	29.6341261261261	0.997663551401869
chr15	40823540	40857257	33717	30610	0.04	10.96	2.97	2.76	90899	C15orf57	2.22480847835132	0.266355140186916
chr15	74027772	74044712	16940	16515	0.04	20.84	6.56	6	108316.72	C15orf59	6.89541217122937	0.825934579439252
chr15	74060427	74062144	1717	1717	1	13.68	6.25	6	10732.44	C15orf59-AS1	6.17161587119034	0.792056074766355
chr15	67813522	67819642	6120	5770	0.08	8.04	2.55	2.04	14698.8	C15orf61	2.73008915304606	0.47196261682243
chr15	41062159	41064649	2490	1990	0.04	7.32	2.36	1.4	4695.72	C15orf62	2.29019294172731	0.311915887850467
chr15	55700723	55710911	10188	8711	0.04	8.8	2.41	2	20960	C15orf65	3.37635392436709	0.573598130841122
chr15	62359176	62363117	3941	3941	0.72	30.4	11.74	10.12	46260.28	C2CD4A	14.2132902369482	0.983644859813084
chr15	62455737	62457483	1746	1746	1.52	19.48	11.7	12.12	20422.56	C2CD4B	14.8311982570806	0.98481308411215
chr15	63613577	63674366	60789	60539	0.08	33.72	7.76	7	469603.56	CA12	7.64591539279127	0.873831775700935
chr15	68483043	68498449	15406	12406	0.04	6.12	2.15	2	26721.12	CALML4	1.69572633951689	0.0876168224299065
chr15	42651698	42704516	52818	46868	0.04	10.96	2.8	2.28	131196.64	CAPN3	2.50816205894791	0.412383177570093
chr15	44580909	44707960	127051	102826	0.04	12	2.27	2	233848.12	CASC4	2.22852998747782	0.271028037383178
chr15	43922760	43941044	18284	16140	0.04	12.08	3.26	3	52547.8	CATSPER2	2.61820011758727	0.449766355140187
chr15	44028146	44038497	10351	9326	0.08	9	2.88	2.72	26816.12	CATSPER2P1	3.15520884809978	0.539719626168224
chr15	74528630	74628483	99853	97728	0.04	23.8	7.81	7.52	762832.28	CCDC33	8.05355025337838	0.891355140186916
chr15	59397284	59417245	19961	17961	0.04	10	2.74	2.44	49282	CCNB2	2.53545271016959	0.426401869158879
chr15	43477466	43489376	11910	10685	0.08	8	2.68	2.24	28643	CCNDBP1	2.06763877860391	0.178738317757009
chr15	55647421	55700709	53288	44975	0.04	8.32	2.21	2	99530	CCPG1	2.08527131782946	0.190420560747664
chr15	73976622	74006860	30238	29713	0.08	23.76	6.08	5.28	180803.32	CD276	5.96454722396332	0.77803738317757
chr15	43015760	43029418	13658	12108	0.08	6	2.16	2	26154	CDAN1	1.93046944198406	0.121495327102804
chr15	72577068	72612526	35458	33133	0.08	12.4	3.75	3	124349.76	CELF6	3.67898698224852	0.594626168224299
chr15	81071684	81244004	172320	169695	0.04	29.64	7.81	7.32	1324551.16	CEMIP	7.93538800721317	0.885514018691589
chr15	49030135	49103344	73209	64834	0.04	11.24	2.68	2.16	173711.44	CEP152	2.51646298710705	0.418224299065421
chr15	100940600	101084926	144326	133126	0.04	16.8	4.36	4	580422.12	CERS3	5.08361830523319	0.706775700934579
chr15	100913144	100978120	64976	57426	0.04	13.44	3.62	3.12	208000.64	CERS3-AS1	4.6846990990991	0.668224299065421
chr15	81426644	81441517	14873	14423	0.2	22.4	7.92	7	114254.24	CFAP161	7.0987412239826	0.83411214953271
chr15	57668703	57842926	174223	172648	0.04	28.72	7.54	7.04	1302062.64	CGNL1	7.90614269233105	0.882009345794392
chr15	41245636	41248718	3082	3082	0.48	10.2	4.17	3.64	12845.24	CHAC1	5.34105613305613	0.73481308411215
chr15	93443551	93571238	127687	114025	0.04	11	2.67	2.32	304140	CHD2	2.1384426085428	0.217289719626168
chr15	20487997	20496812	8815	8290	0.24	10.92	3.8	3.64	31524.24	CHEK2P2	3.07583569128695	0.530373831775701
chr15	41523437	41574084	50647	40797	0.04	8.8	2.17	2	88632.44	CHP1	1.94112102292488	0.125
chr15	30653443	30685865	32422	31072	0.04	11.16	3.7	3.08	115044.52	CHRFAM7A	5.86662519122897	0.774532710280374
chr15	34260515	34357296	96781	86381	0.04	12	2.7	2.16	233495	CHRM5	2.77664146429056	0.483644859813084
chr15	78885395	78913638	28243	23113	0.04	31.84	4.09	2.56	94471.72	CHRNA3	4.20697007481297	0.636682242990654
chr15	78857862	78887612	29750	24150	0.04	8.44	2.36	2	56906	CHRNA5	1.944507090381	0.126168224299065
chr15	32322686	32462385	139699	130299	0.04	21.16	4.54	4	591600.28	CHRNA7	5.46856482594147	0.742990654205608
chr15	78916636	78933588	16952	16677	0.16	15.4	6.18	6	103133.48	CHRNB4	6.75841939711664	0.822429906542056
chr15	40763160	40765358	2198	1858	0.36	7.28	3.4	2.8	6323	CHST14	3.31505326734334	0.563084112149533
chr15	101715928	101792138	76210	70260	0.04	10.2	2.87	2.64	201584	CHSY1	2.22540653323471	0.267523364485981
chr15	90773477	90808992	35515	31115	0.04	21.72	4.48	3	139489.12	CIB1	3.71309165210595	0.598130841121495
chr15	78396948	78423878	26930	24280	0.04	11.28	3.01	2.84	73085	CIB2	2.33981316070868	0.337616822429907
chr15	65488337	65503841	15504	15479	0.4	15.48	6	5.64	92849.68	CILP	6.64392720778068	0.816588785046729
chr15	43984984	43991421	6437	6437	3.36	29.08	14.32	13.76	92161.04	CKMT1A	12.3573397693752	0.974299065420561
chr15	43885055	43891605	6550	6550	2	26.92	13.13	12.72	85994.6	CKMT1B	16.0857837635615	0.990654205607477
chr15	74900713	74922543	21830	19555	0.04	12.48	3.33	3	65084.36	CLK3	2.66520720720721	0.460280373831776
chr15	68499330	68522081	22751	17900	0.04	8	2.21	2	39590	CLN6	1.95496518690435	0.128504672897196
chr15	65440558	65477759	37201	28642	0.04	8.88	2.21	2	63303.6	CLPX	2.04160377723596	0.158878504672897
chr15	75628337	75634269	5932	5332	0.04	5.92	2.33	2	12445.92	COMMD4	3.04599118942731	0.524532710280374
chr15	49417471	49447855	30384	27734	0.08	10.48	2.73	2.32	75604.6	COPS2	2.29188189644719	0.313084112149533
chr15	68810712	69020145	209433	206583	0.04	49.6	7.61	7	1571546.84	CORO2B	9.11464354483239	0.929906542056075
chr15	75212617	75230496	17879	14558	0.04	7.96	2	1.88	29154.16	COX5A	1.76978046926788	0.0981308411214953
chr15	83211951	83316768	104817	102867	0.04	25.68	6.96	6.24	716136.76	CPEB1	8.21872648756937	0.897196261682243
chr15	83316521	83361573	45052	43852	0.08	21.88	6.01	5.4	263420.68	CPEB1-AS1	7.454950615537	0.860981308411215
chr15	75118951	75124137	5186	5149	0.52	21.8	10.41	9.88	53600.6	CPLX3	13.1696805896806	0.978971962616822
chr15	78632666	78640573	7907	7907	1	29.96	11.06	10.68	87469.8	CRABP1	12.1858177765394	0.973130841121495
chr15	92006569	92038081	31512	31062	0.16	17	5.51	5	171150.24	CRAT37	5.62254402102497	0.753504672897196
chr15	91073118	91188578	115460	99178	0.04	9	2.44	2	242350.96	CRTC3	1.85290691540196	0.115654205607477
chr15	91163241	91260372	97131	83706	0.04	11.6	2.69	2.04	224877.04	CRTC3-AS1	2.21488269477002	0.261682242990654
chr15	75074425	75095540	21115	17740	0.04	11	3.01	2.64	53366	CSK	2.00322822822823	0.146028037383178
chr15	37091301	37110708	19407	18082	0.04	7.44	2.79	2.68	50397.56	CSNK1A1P1	2.64450284087928	0.453271028037383
chr15	64457716	64648459	190743	158018	0.04	11.92	2.42	2	383002.68	CSNK1G1	2.26082994899887	0.292056074766355
chr15	75966663	76005190	38527	36877	0.04	16	3.93	3.6	144838.76	CSPG4	4.55052813471991	0.655373831775701
chr15	71402583	71407840	5257	5257	1.04	14.04	6.34	6.04	33319.8	CT62	4.56535679052943	0.657710280373832
chr15	44719579	44819430	99851	79976	0.04	10	2.36	2	189053.8	CTDSPL2	2.2757276644919	0.301401869158879
chr15	79214092	79237441	23349	20399	0.04	9	2.37	2	48437	CTSH	1.7001404001404	0.088785046728972
chr15	48483867	48495952	12085	12085	0.32	17	6.59	6.12	79641.84	CTXN2	7.14340658355009	0.838785046728972
chr15	22014420	22016879	2459	2455	0.28	12.84	4.46	3.56	10949	CXADRP2	5.38034398034398	0.73714953271028
chr15	22892170	23003604	111434	88559	0.04	11.12	2.24	2	198513.6	CYFIP1	1.96792531238798	0.133177570093458
chr15	74630103	74660082	29979	29804	0.16	32.96	6.51	5.84	194144	CYP11A1	9.28534806663657	0.936915887850467
chr15	51500254	51630796	130542	128967	0.12	36.44	9.29	8.64	1198378.32	CYP19A1	9.4181034564059	0.939252336448598
chr15	75011883	75017952	6069	6069	1.92	21.44	8.38	7.28	50840.28	CYP1A1	7.4078799358881	0.852803738317757
chr15	75041184	75048942	7758	7608	0.08	20	5.53	5	42073.8	CYP1A2	5.88197958898364	0.775700934579439
chr15	64199235	64338522	139287	127022	0.04	10.52	3.23	3	410216.8	DAPK2	2.59387915117485	0.446261682242991
chr15	51236326	51238763	2437	2262	0.08	5	2.61	2.72	5897.28	DCAF13P3	2.77258110014104	0.482476635514019
chr15	102516761	102519297	2536	2536	1	9.76	4.46	4.28	11302.12	DDX11L9	3.36464746299582	0.56892523364486
chr15	65951461	66084632	133171	116739	0.04	10	2.49	2	291171.32	DENND4A	1.98694953278885	0.14018691588785
chr15	89045155	89089935	44780	38610	0.04	9.84	2.62	2.08	101241	DET1	2.38208512740877	0.357476635514019
chr15	66585595	66626237	40642	35142	0.04	11	2.52	2	88657	DIS3L	2.14023271533411	0.223130841121495
chr15	40650436	40663258	12822	12797	0.16	20.68	8.35	7.16	106828.24	DISP2	7.99732295253781	0.889018691588785
chr15	30488239	30506744	18505	17705	0.16	13.52	4.54	4	80330.68	DKFZP434L187	6.41875189772273	0.807242990654206
chr15	41221531	41231259	9728	9353	0.12	48.16	6.97	4.4	65165.68	DLL4	7.42798130628063	0.855140186915888
chr15	51739921	51914968	175047	150522	0.04	14.76	2.62	2.08	394530	DMXL2	2.42012181028277	0.384345794392523
chr15	78556487	78574539	18052	16977	0.12	12.56	4.03	3.68	68462.24	DNAJA4	3.2363793823946	0.549065420560748
chr15	41060067	41099677	39610	30960	0.04	9.92	2.2	2	68217	DNAJC17	1.95197059840173	0.127336448598131
chr15	76020011	76032419	12408	11944	0.04	24.88	4.96	4.04	59293.4	DNM1P35	4.79409767141009	0.676401869158878
chr15	85045806	85050250	4444	3644	0.04	4.64	1.55	1	5652.12	DNM1P41	3.26334872979215	0.553738317757009
chr15	100330361	100347133	16772	15189	0.04	6.92	2.42	2	36806.48	DNM1P46	3.61734447174447	0.589953271028037
chr15	35663170	35838405	175235	154585	0.04	11.36	2.5	2	385897	DPH6	2.50587349104203	0.411214953271028
chr15	35838396	36151203	312807	300707	0.04	16.4	4.02	3.72	1208779.92	DPH6-AS1	4.46378623101438	0.65303738317757
chr15	65734801	65810052	75251	60326	0.04	9	2.24	2	135346.16	DPP8	2.25216586794462	0.288551401869159
chr15	69854059	69863780	9721	9471	0.12	35.12	7.26	6.16	68719.32	DRAIC	9.86246943063481	0.948598130841122
chr15	49913226	49937334	24108	21233	0.04	10	2.47	2	52431	DTWD1	2.33269681837434	0.336448598130841
chr15	45422192	45457777	35585	31835	0.04	36.84	5.62	3.96	178827.2	DUOX1	5.30514794008824	0.731308411214953
chr15	45384852	45406360	21508	21183	0.2	41.96	8.81	7.12	186567.52	DUOX2	11.4600340052482	0.968457943925234
chr15	45409564	45422076	12512	12512	0.6	32.36	11.83	11	147993.4	DUOXA1	11.2057806234326	0.966121495327103
chr15	45406523	45410302	3779	3779	9.64	30.24	19.06	18.88	72015.96	DUOXA2	16.3680076367108	0.991822429906542
chr15	48623621	48635571	11950	10500	0.04	9.04	2.54	2	26700.44	DUT	1.99346274451247	0.143691588785047
chr15	55709954	55800433	90479	74879	0.04	13.4	2.98	2.52	222910.2	DYX1C1	3.64321647462613	0.592289719626168
chr15	55647421	55790783	143362	120650	0.04	13.4	2.62	2	315610	DYX1C1-CCPG1	2.9517635760923	0.51285046728972
chr15	74922899	74988387	65488	54538	0.04	11	2.41	2	131259	EDC3	1.97381954887218	0.135514018691589
chr15	82422561	82555105	132544	121364	0.04	11	2.98	2.8	361663	EFL1	2.84868224137116	0.495327102803738
chr15	84748939	84795354	46415	45490	0.08	19.08	5.29	5	240651.48	EFTUD1P1	5.28910861320491	0.727803738317757
chr15	42191639	42264756	73117	62236	0.04	10	2.59	2	161332.08	EHD4	2.01692832764505	0.150700934579439
chr15	42213615	42221485	7870	7170	0.08	9	2.69	2	19285.6	EHD4-AS1	1.84427656115521	0.113317757009346
chr15	49170290	49172381	2091	1831	0.04	10.56	3.94	3	7207	EID1	3.53277386717907	0.586448598130841
chr15	40226325	40327798	101473	89273	0.04	12.72	2.58	2	230617	EIF2AK4	2.20178344678779	0.252336448598131
chr15	44829266	44855002	25736	22311	0.04	25	2.71	2	60378.52	EIF3J	2.28110317730175	0.308411214953271
chr15	44826703	44829122	2419	2297	0.28	8	3.02	3	6948.28	EIF3J-AS1	2.8918392488513	0.505841121495327
chr15	44064798	44069503	4705	4105	0.08	5	1.93	2	7934.52	ELL3	1.70217531213798	0.0899532710280374
chr15	34517198	34522367	5169	4269	0.04	6	2.2	2	9388.8	EMC4	2.12512449071978	0.20911214953271
chr15	34376224	34394054	17830	14405	0.04	7.48	2.2	2	31702.6	EMC7	1.78505630630631	0.0992990654205607
chr15	43489426	43513324	23898	22148	0.08	17.92	5.29	4.92	117260.48	EPB42	5.83356449927864	0.768691588785047
chr15	76508629	76603811	95182	81332	0.04	9	2.45	2	199634.36	ETFA	2.18576170976854	0.244158878504673
chr15	69373190	69388164	14974	14974	0.6	20.68	8.58	8.4	128427.4	EWSAT1	9.03273315515544	0.924065420560748
chr15	41474931	41522956	48025	44475	0.04	21.24	4.23	3.4	188322.56	EXD1	5.26420045731281	0.720794392523365
chr15	80445233	80478925	33692	29017	0.04	25.52	2.81	2.08	81414.36	FAH	2.1336118245191	0.212616822429907
chr15	83654955	83659810	4855	4270	0.16	10.6	2.58	2	11029.8	FAM103A1	2.38533737024221	0.358644859813084
chr15	102495088	102496559	1471	1471	4.48	24.92	13.3	14.16	19561.44	FAM138E	12.4357533375715	0.976635514018692
chr15	98980391	99057612	77221	72271	0.04	14.64	4.04	3.44	292122.68	FAM169B	5.00235765535901	0.697429906542056
chr15	93160679	93199032	38353	33978	0.04	12.36	3.24	3	110089.84	FAM174B	2.5276631308261	0.422897196261682
chr15	29412455	29862928	450473	420798	0.04	89.56	3.66	3	1541273.4	FAM189A1	3.97872213000705	0.610981308411215
chr15	52873518	52970832	97314	86864	0.04	9	2.54	2	220483.32	FAM214A	2.14309075533869	0.225467289719626
chr15	75192328	75199236	6908	6333	0.08	11	2.99	2.64	18956.52	FAM219B	1.830062557924	0.106308411214953
chr15	49620592	49913119	292527	263633	0.04	21.48	3.64	3	959077	FAM227B	4.13124590785347	0.626168224299065
chr15	59063391	59154099	90708	77208	0.04	9.52	2.35	2	181223	FAM63B	2.11665789899077	0.202102803738318
chr15	59730372	59815752	85380	72453	0.04	14.68	2.89	2.48	209264	FAM81A	2.36442925084074	0.34696261682243
chr15	64364758	64386208	21450	17450	0.04	7	2.34	2	40823.08	FAM96A	1.80115703033587	0.102803738317757
chr15	38746328	38779912	33584	30584	0.04	22.36	2.76	2	84524.2	FAM98B	2.46053213786679	0.398364485981308
chr15	31196076	31235311	39235	34785	0.04	12.96	2.55	2	88577.52	FAN1	1.9767761355511	0.13785046728972
chr15	89787194	89860363	73169	64894	0.04	10.6	2.46	2	159486.92	FANCI	2.30505737823385	0.320093457943925
chr15	48700503	48937986	237483	218811	0.04	18.64	2.78	2.44	607595	FBN1	2.4159035195662	0.377336448598131
chr15	63889552	63894621	5069	4494	0.12	6.44	2.72	2.64	12202.52	FBXL22	1.99884025684707	0.144859813084112
chr15	76196200	76227609	31409	27884	0.04	9.36	2.67	2.16	74322	FBXO22	2.13783978138933	0.216121495327103
chr15	76225024	76225472	448	448	1	3.4	2.3	2.08	1032.32	FBXO22-AS1	1.31841634738186	0.0537383177570093
chr15	68570141	68588204	18063	16638	0.04	11.36	3.26	3	54285	FEM1B	2.70316701523753	0.464953271028037
chr15	91427665	91439007	11342	10092	0.04	8.24	2.62	2.32	26476.56	FES	2.98221253052434	0.518691588785047
chr15	49715375	49779524	64149	62299	0.04	19.6	4.71	4	293568.16	FGF7	5.43473647185145	0.741822429906542
chr15	50641135	50647077	5942	5792	0.04	7	2.65	2.68	15337.4	FLJ10038	2.41641931194424	0.378504672897196
chr15	33057745	33486935	429190	422565	0.04	30.8	7.71	7.08	3259262.2	FMN1	8.0617935367377	0.892523364485981
chr15	60296421	60298143	1722	1722	9.52	31.72	18.51	18.36	31879.2	FOXB1	29.1155518211376	0.996495327102804
chr15	44162959	44487493	324534	306509	0.04	39.68	4.83	4	1480732.12	FRMD5	5.30549606942464	0.732476635514019
chr15	83424117	83474823	50706	45981	0.04	22.8	4.55	3.76	209277.6	FSD2	4.93684036705905	0.688084112149533
chr15	39892232	40075040	182808	177758	0.04	22.88	5.41	5	962285.64	FSIP1	5.67234896401309	0.760514018691589
chr15	91411822	91426689	14867	12917	0.08	8.64	2.47	2	31968	FURIN	2.23802856342761	0.27803738317757
chr15	90889763	90892680	2917	2642	0.08	12.2	4.71	4.84	12432	GABARAPL3	5.42408376963351	0.740654205607477
chr15	50569389	50647627	78238	67588	0.04	10	2.35	2	158557.88	GABPB1	2.20238242737569	0.254672897196262
chr15	50646371	50650504	4133	3858	0.24	8.28	3.02	2.92	11662	GABPB1-AS1	1.69308943089431	0.0864485981308411
chr15	27111866	27194358	82492	72192	0.04	10.84	2.41	2	173653.96	GABRA5	2.59018778992587	0.44392523364486
chr15	26788694	27018936	230242	199356	0.04	9	2.33	2	465037.36	GABRB3	2.54682417371779	0.432242990654206
chr15	27216429	27778374	561945	481595	0.04	13	2.32	2	1116229.12	GABRG3	2.57708691958184	0.441588785046729
chr15	27402882	27406467	3585	3035	0.04	5.64	1.96	1.84	5952.52	GABRG3-AS1	2.22026109660574	0.264018691588785
chr15	49447956	49622003	174047	150022	0.04	25	2.54	2	381329.28	GALK2	2.45093858662467	0.396028037383178
chr15	42566366	42645865	79499	66774	0.04	10.36	2.38	2	158773.48	GANC	2.13603544796701	0.214953271028037
chr15	45653322	45694516	41194	37269	0.04	10	2.82	2.36	105129	GATM	2.15892802135743	0.228971962616822
chr15	41056285	41059912	3627	3452	0.04	6.64	2.41	2	8311.4	GCHFR	1.50350940665702	0.0654205607476635
chr15	59903982	59912211	8229	8129	0.36	14.68	5.85	5.48	47559	GCNT3	4.86039856923863	0.682242990654206
chr15	57884102	58009756	125654	121854	0.04	21.4	7.09	6.64	863773	GCOM1	8.03188492045043	0.89018691588785
chr15	90777487	90785313	7826	5688	0.08	6.8	2.08	2	11852.8	GDPGP1	1.30782301666115	0.0525700934579439
chr15	35044642	35046783	2141	2141	5.04	22.6	12.15	11.4	26007.68	GJD2	11.4911455940052	0.969626168224299
chr15	69452936	69564545	111609	107959	0.04	27.12	4.2	3.88	453132.4	GLCE	4.70350814476012	0.670560747663551
