#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	score	name2	cdsStartStat	cdsEndStat
77	NM_001159750	chr1	+	4847774	4887990	4847994	4886445	10	0	Tcea1	cmpl	cmpl
77	NM_011541	chr1	+	4847774	4887990	4847994	4886445	10	0	Tcea1	cmpl	cmpl
77	NM_001159751	chr1	+	4848408	4887990	4848488	4886445	10	0	Tcea1	cmpl	cmpl
77	NM_001290372	chr1	-	4899656	5008815	4900554	4914046	5	0	Rgs20	cmpl	cmpl
77	NM_021374	chr1	-	4899656	5009620	4900554	5009460	5	0	Rgs20	cmpl	cmpl
77	NM_001177795	chr1	-	4899656	5060366	4900554	5060258	6	0	Rgs20	cmpl	cmpl
77	NM_001310442	chr1	+	5073166	5152630	5074531	5152246	13	0	Atp6v1h	cmpl	cmpl
77	NM_133826	chr1	+	5073166	5152630	5074531	5152246	14	0	Atp6v1h	cmpl	cmpl
79	NM_001244692	chr1	+	6477311	6851021	6758978	6848681	24	0	St18	cmpl	cmpl
79	NM_001244693	chr1	+	6477311	6851021	6758978	6848681	23	0	St18	cmpl	cmpl
79	NM_173868	chr1	+	6720131	6851021	6758978	6848681	22	0	St18	cmpl	cmpl
79	NR_045188	chr1	+	6720131	6851021	6851021	6851021	24	0	St18	unk	unk
79	NR_045189	chr1	+	6720131	6851021	6851021	6851021	23	0	St18	unk	unk
82	NR_015470	chr1	-	9550913	9621173	9621173	9621173	5	0	2610203C22Rik	unk	unk
82	NM_133220	chr1	+	9788210	9892649	9855333	9888971	18	0	Sgk3	cmpl	cmpl
82	NM_177547	chr1	+	9788210	9892649	9855333	9888971	17	0	Sgk3	cmpl	cmpl
82	NM_145692	chr1	-	9958702	9999217	9958900	9993444	9	0	Ppp1r42	cmpl	cmpl
82	NR_110971	chr1	-	9958702	9999217	9999217	9999217	7	0	Ppp1r42	unk	unk
82	NM_026493	chr1	+	10028298	10126849	10035166	10126226	30	0	Cspp1	cmpl	cmpl
83	NM_029525	chr1	+	10983545	11293763	10983873	11287834	40	0	Prex2	cmpl	cmpl
83	NM_001033636	chr1	+	11254043	11293763	11256052	11287834	6	0	Prex2	cmpl	cmpl
85	NM_001198565	chr1	+	12682510	12850453	12776607	12848923	22	0	Sulf1	cmpl	cmpl
85	NM_001198566	chr1	+	12682510	12850453	12776607	12848923	21	0	Sulf1	cmpl	cmpl
85	NM_172294	chr1	+	12708625	12850453	12776607	12848923	22	0	Sulf1	cmpl	cmpl
85	NM_172841	chr1	-	12856630	12981216	12861948	12980576	9	0	Slco5a1	cmpl	cmpl
85	NM_001081209	chr1	-	13103508	13117244	13104340	13115916	8	0	Prdm14	cmpl	cmpl
85	NM_001302702	chr1	-	13129185	13362510	13132841	13214775	22	0	Ncoa2	cmpl	cmpl
85	NM_008678	chr1	-	13129185	13364164	13132841	13214775	23	0	Ncoa2	cmpl	cmpl
86	NM_001252192	chr1	-	14159038	14300280	14160996	14294530	17	0	Eya1	cmpl	cmpl
86	NM_001310459	chr1	-	14159038	14300280	14160996	14292974	18	0	Eya1	cmpl	cmpl
86	NM_010164	chr1	-	14159038	14300280	14160996	14292974	18	0	Eya1	cmpl	cmpl
87	NM_001098528	chr1	+	15302532	15704295	15302532	15701710	2	0	Kcnb2	cmpl	cmpl
88	NM_001033288	chr1	-	15843942	15882803	15845825	15882733	5	0	Sbspon	cmpl	cmpl
88	NM_133832	chr1	+	16095962	16122631	16096098	16121498	6	0	Rdh10	cmpl	cmpl
88	NM_001111272	chr1	-	16218890	16509383	16219853	16499440	13	0	Stau2	cmpl	cmpl
88	NM_025303	chr1	-	16218890	16509383	16219853	16476214	14	0	Stau2	cmpl	cmpl
88	NM_001310470	chr1	-	16631805	16647200	16633368	16638039	5	0	Tceb1	cmpl	cmpl
88	NM_026456	chr1	-	16632845	16646946	16633368	16638039	4	0	Tceb1	cmpl	cmpl
89	NM_020604	chr1	-	16985020	17087970	16987559	17087685	5	0	Jph1	cmpl	cmpl
89	NR_130314	chr1	-	17666107	17717727	17717727	17717727	7	0	Gm16070	unk	unk
91	NM_153154	chr1	+	19093102	19156413	19093336	19156259	8	0	Tfap2d	cmpl	cmpl
92	NM_153179	chr1	-	20047859	20608138	20048378	20605404	67	0	Pkhd1	cmpl	cmpl
93	NM_001077353	chr1	+	21230665	21255656	21239852	21255043	8	0	Gsta3	cmpl	cmpl
93	NM_001288617	chr1	+	21230665	21255656	21248939	21255043	8	0	Gsta3	cmpl	cmpl
93	NM_010356	chr1	+	21230665	21255656	21239852	21255043	7	0	Gsta3	cmpl	cmpl
93	NM_001310477	chr1	-	21388479	21952731	21392243	21951662	13	0	Kcnq5	cmpl	cmpl
93	NM_001160139	chr1	-	21388483	21952023	21392243	21951662	15	0	Kcnq5	cmpl	cmpl
93	NM_023872	chr1	-	21388483	21952023	21392243	21951662	14	0	Kcnq5	cmpl	cmpl
94	NM_001012623	chr1	-	22278502	22812563	22278502	22812563	30	0	Rims1	cmpl	cmpl
94	NM_001012624	chr1	-	22278502	22812563	22278502	22812563	29	0	Rims1	cmpl	cmpl
94	NM_001012625	chr1	-	22278502	22812563	22278502	22812563	27	0	Rims1	cmpl	cmpl
94	NM_053270	chr1	-	22278502	22812563	22278502	22812563	32	0	Rims1	cmpl	cmpl
94	NM_183018	chr1	-	22278502	22812563	22278502	22812563	31	0	Rims1	cmpl	cmpl
95	NR_110972	chr1	-	23851663	23916575	23916575	23916575	11	0	Smap1	unk	unk
95	NM_001290683	chr1	-	23852463	23916575	23853267	23884630	10	0	Smap1	cmpl	cmpl
95	NM_028534	chr1	-	23852463	23929220	23853267	23928994	10	0	Smap1	cmpl	cmpl
96	NM_007740	chr1	+	24184448	24259577	24184693	24258700	38	0	Col9a1	cmpl	cmpl
96	NM_001290691	chr1	+	24202041	24259577	24202218	24258700	32	0	Col9a1	cmpl	cmpl
96	NM_007733	chr1	-	24264521	24594276	24271528	24582262	51	0	Col19a1	cmpl	cmpl
96	NM_026719	chr1	+	24685382	24823146	24685595	24819581	16	0	Lmbrd1	cmpl	cmpl
96	NM_001310483	chr1	+	24685756	24823144	24742391	24819581	16	0	Lmbrd1	cmpl	cmpl
98	NM_001033764	chr1	-	26738645	26744305	26738796	26744271	2	0	4931408C20Rik	cmpl	cmpl
100	NM_001013750	chr1	-	28832966	28837097	28833103	28837043	2	0	Gm597	cmpl	cmpl
105	NM_177235	chr1	-	33908896	33964466	33910198	33940405	7	0	Bend6	cmpl	cmpl
105	NM_001310484	chr1	-	33908896	33964612	33910198	33935216	6	0	Bend6	cmpl	cmpl
105	NM_001276764	chr1	+	33965069	34365507	33965116	34364437	103	0	Dst	cmpl	cmpl
105	NM_133833	chr1	+	34068669	34365507	34068669	34364437	93	0	Dst	cmpl	cmpl
105	NM_134448	chr1	+	34068669	34365507	34068669	34364437	98	0	Dst	cmpl	cmpl
106	NM_183019	chr1	+	34858566	34869599	34861812	34868674	10	0	Arhgef4	cmpl	cmpl
107	NM_001277076	chr1	+	36429135	36478955	36429135	36478754	53	0	Fer1l5	cmpl	cmpl
107	NM_001039551	chr1	+	36568720	36585082	36568755	36580928	9	0	Cnnm3	cmpl	cmpl
107	NM_053186	chr1	+	36568720	36585082	36568755	36582075	8	0	Cnnm3	cmpl	cmpl
108	NM_009539	chr1	+	36818642	36839665	36827655	36839429	13	0	Zap70	cmpl	cmpl
108	NM_001289766	chr1	+	36821359	36839665	36821449	36839429	13	0	Zap70	cmpl	cmpl
108	NM_001289765	chr1	+	36823778	36839665	36827655	36839429	13	0	Zap70	cmpl	cmpl
108	NM_018872	chr1	-	36849033	36996372	36849765	36996190	41	0	Tmem131	cmpl	cmpl
108	NM_198006	chr1	-	37473929	37486948	37477430	37486812	3	0	Coa5	cmpl	cmpl
109	NM_207228	chr1	-	37811416	37921927	37812341	37898080	20	0	Tsga10	cmpl	cmpl
109	NM_001290721	chr1	-	37817668	37912218	37817789	37898080	18	0	Tsga10	cmpl	cmpl
109	NM_001290720	chr1	-	37817668	37922143	37817789	37898080	18	0	Tsga10	cmpl	cmpl
109	NR_110976	chr1	-	37858307	37912218	37912218	37912218	13	0	Tsga10	unk	unk
109	NM_027111	chr1	-	38003582	38014604	38003729	38009627	6	0	Lyg1	cmpl	cmpl
109	NM_019570	chr1	-	38109630	38186507	38109931	38165302	23	0	Rev1	cmpl	cmpl
109	NM_001290814	chr1	-	38232835	38684089	38236293	38683986	22	0	Aff3	cmpl	cmpl
110	NM_145142	chr1	-	38920717	38955005	38922342	38952803	7	0	Chst10	cmpl	cmpl
110	NM_008719	chr1	+	39251116	39420085	39320188	39418852	21	0	Npas2	cmpl	cmpl
110	NM_018775	chr1	-	39428341	39535592	39429193	39535411	20	0	Tbc1d8	cmpl	cmpl
111	NM_001252200	chr1	+	39957757	40083155	39958074	40081557	32	0	Map4k4	cmpl	cmpl
111	NM_001252201	chr1	+	39957757	40083155	39958074	40081557	31	0	Map4k4	cmpl	cmpl
111	NM_001252202	chr1	+	39957757	40083155	39958074	40081557	30	0	Map4k4	cmpl	cmpl
111	NM_008696	chr1	+	39957757	40083155	39958074	40081557	31	0	Map4k4	cmpl	cmpl
111	NM_008362	chr1	+	40281924	40373022	40282148	40370238	11	0	Il1r1	cmpl	cmpl
111	NM_001123382	chr1	+	40323430	40373022	40339083	40370238	11	0	Il1r1	cmpl	cmpl
111	NM_001294171	chr1	+	40486414	40505256	40497594	40503549	8	0	Il1rl1	cmpl	cmpl
111	NM_010743	chr1	+	40496473	40505256	40497594	40503549	8	0	Il1rl1	cmpl	cmpl
111	NM_001025602	chr1	+	40496473	40522259	40497594	40519014	11	0	Il1rl1	cmpl	cmpl
111	NM_001033289	chr1	+	40738556	40825730	40738718	40824844	12	0	Slc9a2	cmpl	cmpl
113	NR_027826	chr1	-	42705044	42751670	42751670	42751670	4	0	Pantr1	unk	unk
114	NM_001013025	chr1	-	43104113	43155467	43106503	43132783	13	0	Tgfbrap1	cmpl	cmpl
114	NM_010879	chr1	+	43502595	43627363	43590412	43626187	5	0	Nck2	cmpl	cmpl
115	NM_023645	chr1	-	44163390	44175618	44163931	44175344	10	0	Kdelc1	cmpl	cmpl
115	NM_028450	chr1	+	44608515	44853681	44746032	44851866	11	0	Gulp1	cmpl	cmpl
116	NM_007737	chr1	-	45431175	45560127	45432928	45559759	54	0	Col5a2	cmpl	cmpl
116	NM_028599	chr1	+	45852345	45880458	45852366	45880360	21	0	Wdr75	cmpl	cmpl
117	NM_001310335	chr1	+	46482362	46864322	46482457	46864210	65	0	Dnah7c	cmpl	cmpl
121	NM_019790	chr1	+	50984366	51244114	50984791	51242325	10	0	Tmeff2	cmpl	cmpl
122	NM_001161817	chr1	-	51806601	51972822	51808016	51940061	31	0	Myo1b	cmpl	cmpl
122	NM_001290982	chr1	-	51806601	51972822	51808016	51940061	29	0	Myo1b	cmpl	cmpl
122	NM_010863	chr1	-	51806601	51972822	51808016	51940061	30	0	Myo1b	cmpl	cmpl
123	NM_001142647	chr1	+	52687548	52708763	52687601	52706688	9	0	Tmem194b	cmpl	cmpl
123	NR_024590	chr1	+	52687548	52708763	52708763	52708763	9	0	Tmem194b	unk	unk
123	NM_146108	chr1	+	52901881	52977830	52901953	52977222	14	0	Hibch	cmpl	cmpl
123	NM_153556	chr1	-	53246030	53353872	53246177	53338916	13	0	Pms1	cmpl	cmpl
124	NM_001001883	chr1	-	53863717	54251878	53870065	54097336	29	0	Hecw2	cmpl	cmpl
124	NM_172655	chr1	-	53987658	54251878	53987809	54097336	7	0	Hecw2	cmpl	cmpl
124	NM_030025	chr1	+	54307526	54425571	54307672	54425243	28	0	Ccdc150	cmpl	cmpl
125	NM_001081433	chr1	-	54702183	54983231	54705120	54983010	28	0	Ankrd44	cmpl	cmpl
125	NM_031179	chr1	-	55042012	55084322	55044177	55084210	25	0	Sf3b1	cmpl	cmpl
127	NM_139146	chr1	-	56850824	57028178	56853626	57026665	11	0	Satb2	cmpl	cmpl
128	NM_144882	chr1	+	57831704	58005241	57888943	58003307	14	0	Spats2l	cmpl	cmpl
128	NM_001164566	chr1	+	57902414	58005241	57912329	58003307	12	0	Spats2l	cmpl	cmpl
128	NM_001177867	chr1	+	58042183	58082741	58042207	58081643	6	0	Sgol2a	cmpl	cmpl
128	NM_199007	chr1	+	58052817	58083121	58054941	58081643	9	0	Sgol2a	cmpl	cmpl
128	NM_023617	chr1	+	58169979	58257296	58170102	58257067	35	0	Aox3	cmpl	cmpl
128	NM_025824	chr1	+	58449979	58463392	58451055	58461910	12	0	Bzw1	cmpl	cmpl
128	NM_001310599	chr1	-	58579649	58642998	58586501	58614871	12	0	Fam126b	cmpl	cmpl
128	NM_001310598	chr1	-	58579649	58643177	58586501	58614871	13	0	Fam126b	cmpl	cmpl
128	NM_172513	chr1	-	58579649	58643177	58586501	58614871	12	0	Fam126b	cmpl	cmpl
129	NM_172406	chr1	-	58957293	59030326	58960347	59003181	16	0	Trak2	cmpl	cmpl
129	NM_175200	chr1	-	59107349	59151744	59107766	59151704	13	0	Als2cr11	cmpl	cmpl
129	NM_001159948	chr1	-	59219599	59293937	59221020	59277238	34	0	Als2	cmpl	cmpl
129	NM_028717	chr1	-	59219599	59294075	59221020	59277238	34	0	Als2	cmpl	cmpl
129	NM_001033373	chr1	+	59313750	59409213	59313816	59401201	14	0	Cdk15	cmpl	cmpl
129	NM_001013771	chr1	+	59573107	59691353	59573275	59691106	20	0	Gm973	cmpl	cmpl
130	NM_007561	chr1	+	59821122	59934925	59821496	59927329	13	0	Bmpr2	cmpl	cmpl
130	NM_001037725	chr1	+	59969849	60042192	59970007	60038571	8	0	Fam117b	cmpl	cmpl
130	NM_001285463	chr1	+	60155090	60210797	60181982	60207531	18	0	Carf	cmpl	cmpl
130	NM_139150	chr1	+	60155090	60210797	60164969	60207531	16	0	Carf	cmpl	cmpl
130	NM_173444	chr1	+	60237442	60391549	60238547	60387836	55	0	Nbeal1	cmpl	cmpl
130	NM_001313721	chr1	+	60400143	60444904	60411374	60444133	12	0	Cyp20a1	cmpl	cmpl
130	NM_030013	chr1	+	60400143	60444904	60400229	60444133	13	0	Cyp20a1	cmpl	cmpl
130	NM_001045513	chr1	-	60540028	60623609	60545143	60590250	14	0	Raph1	cmpl	cmpl
132	NM_001077406	chr1	+	62749890	62843665	62750778	62842563	16	0	Nrp2	cmpl	cmpl
132	NM_001077407	chr1	+	62749890	62843665	62750778	62842563	16	0	Nrp2	cmpl	cmpl
132	NM_001077403	chr1	+	62749890	62865266	62750778	62862211	17	0	Nrp2	cmpl	cmpl
132	NM_001077404	chr1	+	62749890	62865266	62750778	62862211	17	0	Nrp2	cmpl	cmpl
132	NM_001077405	chr1	+	62749890	62865266	62750778	62862211	16	0	Nrp2	cmpl	cmpl
132	NM_010939	chr1	+	62749890	62865266	62750778	62862211	16	0	Nrp2	cmpl	cmpl
133	NR_045915	chr1	+	63161044	63204869	63204869	63204869	4	0	Ino80dos	unk	unk
133	NR_045914	chr1	+	63161313	63204869	63204869	63204869	4	0	Ino80dos	unk	unk
133	NM_001285936	chr1	+	63246931	63361149	63327391	63356519	7	0	Zdbf2	cmpl	cmpl
133	NM_001285937	chr1	+	63246931	63361149	63327391	63356519	6	0	Zdbf2	cmpl	cmpl
133	NM_011780	chr1	+	63492464	63642675	63492784	63639230	26	0	Adam23	cmpl	cmpl
133	NM_001081658	chr1	-	63669424	63733501	63669588	63731693	15	0	Dytn	cmpl	cmpl
134	NM_033563	chr1	-	64082246	64167963	64082286	64167575	4	0	Klf7	cmpl	cmpl
134	NM_001037726	chr1	+	64579377	64651122	64605082	64643952	7	0	Creb1	cmpl	cmpl
134	NM_009952	chr1	+	64579377	64651122	64597430	64643952	9	0	Creb1	cmpl	cmpl
134	NM_133828	chr1	+	64579377	64651122	64597430	64643952	8	0	Creb1	cmpl	cmpl
134	NM_001097644	chr1	+	64737918	64772216	64737964	64770213	10	0	Ccnyl1	cmpl	cmpl
134	NM_001039493	chr1	-	64835694	65003398	64841610	64984883	8	0	Plekhm3	cmpl	cmpl
135	NM_001310624	chr1	+	65233258	65325270	65236901	65320332	42	0	Pikfyve	cmpl	cmpl
135	NM_011086	chr1	+	65233258	65325270	65236901	65320332	42	0	Pikfyve	cmpl	cmpl
135	NM_139270	chr1	+	65357830	65435818	65358169	65435384	13	0	Pth2r	cmpl	cmpl
136	NM_001039934	chr1	+	66221902	66489157	66427085	66485581	15	0	Map2	cmpl	cmpl
136	NM_008632	chr1	+	66221902	66489157	66427085	66485581	14	0	Map2	cmpl	cmpl
136	NM_001310634	chr1	+	66368297	66489157	66427085	66485581	15	0	Map2	cmpl	cmpl
136	NM_175510	chr1	+	66515020	66745722	66515020	66742170	65	0	Unc80	cmpl	cmpl
136	NM_001122738	chr1	-	66765816	66864169	66767349	66848713	15	0	Kansl1l	cmpl	cmpl
136	NM_177645	chr1	-	66765816	66864169	66767349	66848713	14	0	Kansl1l	cmpl	cmpl
136	NM_001113387	chr1	-	66970869	66981940	66971610	66981852	7	0	Myl1	cmpl	cmpl
136	NM_021285	chr1	-	66970869	66991630	66971610	66991479	7	0	Myl1	cmpl	cmpl
137	NM_001080809	chr1	+	67169600	67277841	67169738	67276920	38	0	Cps1	cmpl	cmpl
139	NM_011770	chr1	-	69577783	69732534	69585341	69730731	8	0	Ikzf2	cmpl	cmpl
140	NM_001310658	chr1	+	70772288	70931955	70775352	70928670	3	0	Vwc2l	cmpl	cmpl
140	NM_177164	chr1	+	70772288	70931971	70775352	70928789	4	0	Vwc2l	cmpl	cmpl
141	NM_001276408	chr1	-	71632046	71699808	71632785	71699556	45	0	Fn1	cmpl	cmpl
141	NM_001276409	chr1	-	71632046	71699808	71632785	71699556	45	0	Fn1	cmpl	cmpl
141	NM_001276410	chr1	-	71632046	71699808	71632785	71699556	44	0	Fn1	cmpl	cmpl
141	NM_001276411	chr1	-	71632046	71699808	71632785	71699556	44	0	Fn1	cmpl	cmpl
141	NM_001276412	chr1	-	71632046	71699808	71632785	71699556	45	0	Fn1	cmpl	cmpl
141	NM_001276413	chr1	-	71632046	71699808	71632785	71699556	44	0	Fn1	cmpl	cmpl
141	NM_010233	chr1	-	71632046	71699808	71632785	71699556	46	0	Fn1	cmpl	cmpl
141	NM_001005423	chr1	-	72205806	72258881	72207458	72258685	5	0	Mreg	cmpl	cmpl
142	NM_001045533	chr1	-	72473685	72583138	72475215	72581711	4	0	March4	cmpl	cmpl
142	NM_176980	chr1	-	72689553	72747138	72689580	72745595	24	0	Ankar	cmpl	cmpl
142	NM_008342	chr1	+	72871053	72899045	72871153	72898736	4	0	Igfbp2	cmpl	cmpl
142	NM_001310659	chr1	+	72871960	72899045	72895715	72898736	4	0	Igfbp2	cmpl	cmpl
143	NR_045311	chr1	-	73664954	73911040	73911040	73911040	9	0	6030407O03Rik	unk	unk
143	NM_027884	chr1	-	73956804	74171021	73961103	74171021	35	0	Tns1	cmpl	cmpl
