gene	length
ACOT11	62200
ACOT12	64043
ACOT13	38034
ACOT2	8040
ACOT4	4062
ACOT6	3046
ACOT7	121553
ACOT8	15690
ACOT9	39632
ACOX1	37928
ACOX2	32068
ACOX3	74445
ACOXL	385651
ACP1	7614
ACP2	9328
ACP5	3083
ACP6	23468
ACP7	27185
ACPP	41481
ACPT	4811
ACR	7077
ACRBP	9340
ACRC	35561
ACRV1	8566
ACSBG1	63864
ACSBG2	57472
ACSF2	48689
ACSF3	62039
ACSL1	53008
ACSL3	82389
ACSL4	92075
ACSL5	54224
ACSL6	61690
ACSM1	68021
ACSM2A	36210
ACSM2B	39614
ACSM3	22328
ACSM4	24043
ACSM5	31427
ACSM6	34731
ACSS1	51954
ACSS2	53005
ACSS3	177775
ACTA1	2852
ACTA2	17751
ACTA2-AS1	7292
ACTB	3455
ACTBL2	2795
ACTC1	7632
ACTG1	2897
ACTG1P17	13884
ACTG1P20	2653
ACTG1P4	1984
ACTG2	26689
ACTL10	2029
ACTL6A	25527
ACTL6B	13360
ACTL7A	1529
ACTL7B	1408
ACTL8	71752
ACTL9	1435
ACTN1	105245
ACTN1-AS1	7783
ACTN2	78175
ACTN3	16936
ACTN4	82918
ACTR10	35522
ACTR1A	23528
ACTR1B	8161
ACTR2	43563
ACTR3	71620
ACTR3B	95632
ACTR3BP2	1339
ACTR3BP5	1646
ACTR3C	55770
ACTR5	23994
ACTR6	24339
ACTR8	15137
ACTRT1	1443
ACTRT2	1423
ACTRT3	2974
ACVR1	138667
ACVR1B	45414
ACVR1C	102122
ACVR2A	86312
ACVR2B	38845
ACVR2B-AS1	3795
ACVRL1	15945
ACY1	5920
ACY3	8106
ACYP1	10826
ACYP2	334197
ADA	32241
ADAD1	50828
ADAD2	6051
ADAL	19068
ADAM10	154776
ADAM11	22669
ADAM12	376175
ADAM15	7413
ADAM17	67336
ADAM18	27009
ADAM19	98521
ADAM1A	2841
ADAM2	94555
ADAM20	12656
ADAM20P1	14879
ADAM21	7750
ADAM21P1	2050
ADAM22	247972
ADAM23	177488
ADAM28	42061
ADAM29	59824
ADAM30	2993
ADAM32	177390
ADAM33	14727
ADAM3A	71946
ADAM5	88195
ADAM6	2542
ADAM7	68570
ADAM8	14489
ADAM9	108276
ADAMDEC1	21730
ADAMTS1	9124
ADAMTS10	11958
ADAMTS12	368659
ADAMTS13	45068
ADAMTS14	89935
ADAMTS15	27673
ADAMTS16	179974
ADAMTS17	370569
ADAMTS18	152988
ADAMTS19	278420
ADAMTS19-AS1	1132
ADAMTS2	234581
ADAMTS20	197714
ADAMTS3	287832
ADAMTS4	9326
ADAMTS5	49210
ADAMTS6	333186
ADAMTS7	52262
ADAMTS7P1	41296
ADAMTS8	24072
ADAMTS9	172036
ADAMTS9-AS1	28740
ADAMTS9-AS2	326599
ADAMTSL1	436870
ADAMTSL2	43357
ADAMTSL3	385757
ADAMTSL4	9381
ADAMTSL4-AS1	13659
ADAMTSL5	8173
ADAP1	22991
ADAP2	37459
ADAR	24244
ADARB1	151987
ADARB2	556419
ADARB2-AS1	30356
ADAT1	26446
ADAT2	19847
ADAT3	8235
ADCK1	133873
ADCK2	21957
ADCK5	20751
ADCY1	148591
ADCY10	104841
ADCY10P1	39802
ADCY2	433853
ADCY3	100849
ADCY4	16724
ADCY5	134048
ADCY6	22907
ADCY7	43991
ADCY8	260290
ADCY9	153538
ADCYAP1	7231
ADCYAP1R1	59019
ADD1	86220
ADD2	105633
ADD3	139217
ADD3-AS1	62824
ADGB	216463
ADGRA1	43673
ADGRA1-AS1	1450
ADGRA2	47105
ADGRA3	128682
ADGRB1	80993
ADGRB2	36960
ADGRB3	753773
ADGRD1	187558
ADGRE1	52906
ADGRE2	44232
ADGRE3	55803
ADGRE4P	38348
ADGRE5	27583
ADGRF1	44661
ADGRF2	41209
ADGRF3	10931
ADGRF4	23470
ADGRF5	69474
ADGRG1	45348
ADGRG2	133332
ADGRG3	21135
ADGRG4	115927
ADGRG5	34553
ADGRG6	144349
ADGRG7	85892
ADGRL1	58450
ADGRL2	292969
ADGRL3	877081
ADGRL3-AS1	90012
ADGRL4	117048
ADGRV1	605418
ADH1A	14664
ADH1B	15057
ADH1C	16555
ADH4	20643
ADH5	17811
ADH6	16610
ADH7	22875
ADHFE1	36328
ADI1	19830
ADIG	7270
ADIPOQ	15791
ADIPOQ-AS1	4238
ADIPOR1	17161
ADIPOR2	97600
ADIRF	2480
ADK	558120
ADM	2424
ADM2	4715
ADM5	2307
ADNP	42074
ADNP-AS1	14152
ADNP2	31315
ADO	3725
ADORA1	39699
ADORA2A	18765
ADORA2A-AS1	65868
ADORA2B	30981
ADORA3	4694
ADPGK	32420
ADPGK-AS1	15366
ADPRH	10514
ADPRHL1	27204
ADPRHL2	5082
ADPRM	13950
ADRA1A	117507
ADRA1B	56279
ADRA1D	28383
ADRA2A	3874
ADRA2B	3363
ADRA2C	1959
ADRB1	2863
ADRB2	2043
ADRB3	3672
ADRM1	5968
ADSL	20250
ADSS	43644
ADSSL1	23130
ADTRP	65394
AEBP1	10206
AEBP2	82567
AEN	10987
AES	9465
AFAP1	181215
AFAP1-AS1	24839
AFAP1L1	40539
AFAP1L2	109956
AFDN	138124
AFDN-AS1	2908
AFF1	206054
AFF2	500056
AFF3	558331
AFF4	88285
AFG3L1P	24042
AFG3L2	48334
AFM	22258
AFMID	10245
AFP	19568
AFTPH	68701
AGA	11730
AGAP1	637713
AGAP1-IT1	1817
AGAP11	39464
AGAP12P	21501
AGAP2	13955
AGAP2-AS1	2118
AGAP3	58607
AGAP4	21883
AGAP5	23523
AGAP6	22183
AGAP7P	22185
AGAP9	21786
AGBL1	949246
AGBL1-AS1	20136
AGBL2	55787
AGBL3	149273
AGBL4	1491101
AGBL4-IT1	97886
AGBL5	7914
AGBL5-AS1	583
AGER	3356
AGFG1	89052
AGFG2	29011
AGGF1	34850
AGK	103133
AGL	73941
AGMAT	13413
AGMO	361699
AGO1	54492
AGO2	104384
AGO3	125382
AGO4	49664
AGPAT1	7935
AGPAT2	14318
AGPAT3	122361
AGPAT4	144052
AGPAT4-IT1	1852
AGPAT5	53145
AGPS	151095
AGR2	12476
AGR3	22585
AGRN	35998
AGRP	1244
AGT	12066
AGTPBP1	195492
AGTR1	45134
AGTR2	4269
AGTRAP	14688
AGXT	10376
AGXT2	50036
AHCTF1	92882
AHCTF1P1	8837
AHCY	31539
AHCYL1	38979
AHCYL2	205199
AHDC1	69251
AHI1	213795
AHNAK	113320
AHNAK2	41105
AHR	47501
AHRR	134116
AHSA1	11597
AHSA2	10135
AHSG	8259
AHSP	954
AICDA	10682
AIDA	44511
AIF1	1818
AIF1L	26678
AIFM1	8679
AIFM2	20669
AIFM3	16233
AIG1	280982
AIM1	58596
AIM1L	32273
AIM2	14374
AIMP1	33616
AIMP2	14585
AIP	8081
AIPL1	11397
AIRE	12383
AIRN	4375
AJAP1	122751
AJUBA	6051
AK1	7070
AK2	28973
AK3	16672
AK4	84598
AK5	277994
AK6	17858
AK7	97318
AK8	153235
AK9	59517
AKAIN1	53585
AKAP1	36159
AKAP10	73406
AKAP11	51116
AKAP12	118562
AKAP13	368744
AKAP14	7686
AKAP17A	10923
AKAP2	123915
AKAP3	33541
AKAP4	10255
AKAP5	9006
AKAP6	503791
AKAP7	147851
AKAP8	26282
AKAP8L	39075
AKAP9	169800
AKIP1	8927
AKIRIN1	14823
AKIRIN2	27409
AKNA	51838
AKNAD1	41208
AKR1A1	19270
AKR1B1	16783
AKR1B10	13824
AKR1B15	30745
AKR1C1	14706
AKR1C2	16240
AKR1C3	58922
AKR1C4	22114
AKR1C6P	44608
AKR1C8P	30497
AKR1D1	41874
AKR1E2	21884
AKR7A2	9440
AKR7A2P1	1325
AKR7A3	6225
AKR7L	8094
AKT1	24253
AKT1S1	7218
AKT2	55080
AKT3	355051
AKTIP	12266
ALAD	14810
ALAS1	16246
ALAS2	22011
ALB	17159
ALCAM	158675
ALDH16A1	17834
ALDH18A1	50595
ALDH1A1	52657
ALDH1A2	112501
ALDH1A3	36935
ALDH1B1	6003
ALDH1L1	77243
ALDH1L1-AS1	4431
ALDH1L1-AS2	30105
ALDH1L2	64781
ALDH2	43100
ALDH3A1	7476
ALDH3A2	28842
ALDH3B1	20734
ALDH3B2	12471
ALDH4A1	19463
ALDH5A1	42240
ALDH6A1	26830
ALDH7A1	53551
ALDH8A1	32734
ALDH9A1	36453
ALDOA	17332
ALDOB	15222
ALDOC	3820
ALG1	15572
ALG10	6022
ALG10B	12973
ALG11	17259
ALG12	15254
ALG13	7683
ALG14	90230
ALG1L	7771
ALG1L2	16561
ALG1L9P	19498
ALG2	5541
ALG3	6644
ALG5	49598
ALG6	70974
ALG8	38713
ALG9	89087
ALK	728839
ALKBH1	35609
ALKBH2	5302
ALKBH3	39470
ALKBH3-AS1	11657
ALKBH4	8656
ALKBH5	26402
ALKBH6	5129
ALKBH7	2819
ALKBH8	63010
ALLC	44476
ALMS1	224162
ALMS1-IT1	2376
ALMS1P1	40650
ALOX12	14673
ALOX12-AS1	27213
ALOX12B	15069
ALOX12P2	46775
ALOX15	10748
ALOX15B	10095
ALOX15P1	3665
ALOX5	71955
ALOX5AP	50952
ALOXE3	22644
ALPI	4635
ALPK1	145267
ALPK2	147709
ALPK3	56804
ALPL	69056
ALPP	4357
ALPPL2	3874
ALS2	80911
ALS2CL	24663
ALS2CR11	131763
ALS2CR12	69129
ALX1	21527
ALX3	10327
ALX4	49440
ALYREF	3753
AMACR	21131
AMBN	15031
AMBP	18346
AMBRA1	194954
AMD1	81093
AMDHD1	25301
AMDHD2	9371
AMELX	7350
AMELY	8111
AMER1	20629
AMER2	10490
AMER3	12632
AMFR	63545
AMH	2961
AMHR2	7681
AMIGO1	2892
AMIGO2	4246
AMIGO3	2973
AMMECR1	123968
AMMECR1L	23229
AMN	8188
AMN1	58039
AMOT	65940
AMOTL1	108412
AMOTL2	19242
AMPD1	22521
AMPD2	12244
AMPD3	57260
AMPH	247872
AMT	5902
AMTN	14173
AMY1A	9034
AMY1B	8849
AMY1C	8871
AMY2A	8450
AMY2B	24892
AMZ1	37009
AMZ2	9162
AMZ2P1	9037
ANAPC1	116529
ANAPC10	102809
ANAPC11	9745
ANAPC13	8287
ANAPC15	2647
ANAPC16	19862
ANAPC1P1	33219
ANAPC2	13823
ANAPC4	41274
ANAPC5	44219
ANAPC7	30832
ANG	10011
ANGEL1	25699
ANGEL2	23329
ANGPT1	87035
ANGPT2	63611
ANGPT4	46437
ANGPTL1	21547
ANGPTL2	35418
ANGPTL3	8820
ANGPTL4	10250
ANGPTL5	25850
ANGPTL6	10414
ANGPTL7	6694
ANGPTL8	2326
ANHX	17526
ANK1	144398
ANK2	565659
ANK3	114720
ANKAR	70667
ANKDD1A	46942
ANKDD1B	60372
ANKEF1	21765
ANKFN1	329173
ANKFY1	100479
ANKH	166980
ANKHD1	138044
ANKHD1-EIF4EBP3	147766
ANKIB1	155152
ANKK1	12629
ANKLE1	6003
ANKLE2	36223
ANKMY1	78601
ANKMY2	46043
ANKRA2	13488
ANKRD1	9177
ANKRD10	36569
ANKRD11	222942
ANKRD12	149234
ANKRD13A	40002
ANKRD13B	21254
ANKRD13C	95734
ANKRD13D	13195
ANKRD16	28173
ANKRD17	149150
ANKRD18A	49001
ANKRD18B	48592
ANKRD18CP	82851
ANKRD18DP	23140
ANKRD19P	28848
ANKRD2	11445
ANKRD20A1	43081
ANKRD20A11P	36671
ANKRD20A12P	16186
ANKRD20A19P	42033
ANKRD20A2	43121
ANKRD20A3	43540
ANKRD20A4	43130
ANKRD20A5P	47955
ANKRD20A8P	96149
ANKRD20A9P	37568
ANKRD22	32075
ANKRD23	6109
ANKRD24	41462
ANKRD26	96384
ANKRD26P1	99762
ANKRD26P3	82175
ANKRD27	78197
ANKRD28	89316
ANKRD29	63961
ANKRD30A	106712
ANKRD30B	104500
ANKRD30BL	14363
ANKRD30BP2	80086
ANKRD30BP3	31381
ANKRD31	168583
ANKRD33	3714
ANKRD33B	93495
ANKRD34A	5141
ANKRD34B	13732
ANKRD34C	15437
ANKRD34C-AS1	92240
ANKRD35	19319
ANKRD36	151026
ANKRD36B	85169
ANKRD36BP1	1851
ANKRD36BP2	40692
ANKRD36C	142774
ANKRD37	3561
ANKRD39	10034
ANKRD40	14721
ANKRD42	21463
ANKRD44	324137
ANKRD44-IT1	51663
ANKRD45	61528
ANKRD46	50036
ANKRD49	5593
ANKRD50	48685
ANKRD52	20554
ANKRD53	7056
ANKRD54	13493
ANKRD55	133681
ANKRD6	200658
ANKRD60	12529
ANKRD61	5178
ANKRD62	35902
ANKRD62P1-PARP4P3	21833
ANKRD63	4216
ANKRD65	3026
ANKRD66	12302
ANKRD7	18074
ANKRD9	2932
ANKS1A	202154
ANKS1B	1249865
ANKS3	37654
ANKS4B	18736
ANKS6	64535
ANKUB1	31386
ANKZF1	6914
ANLN	63991
ANO1	111246
ANO1-AS2	2916
ANO10	255744
ANO2	382610
ANO3	474168
ANO4	334047
ANO5	90193
ANO6	216366
ANO7	7658
ANO8	11608
ANO9	24083
ANOS1	203315
ANP32A	42388
ANP32A-IT1	3282
ANP32AP1	739
ANP32B	32737
ANP32C	706
ANP32D	397
ANP32E	16311
ANPEP	29948
ANTXR1	133222
ANTXR2	171708
ANTXRL	43212
ANTXRLP1	50585
ANXA1	18665
ANXA10	95207
ANXA11	49369
ANXA13	56634
ANXA2	50837
ANXA2P1	1344
ANXA2P2	1311
ANXA2P3	1351
ANXA2R	1267
ANXA3	58865
ANXA4	182674
ANXA5	28997
ANXA6	40951
ANXA7	38986
ANXA8	16161
ANXA8L1	16192
ANXA9	13617
AOAH	211607
AOAH-IT1	2288
AOC1	8816
AOC2	6117
AOC3	6948
AOC4P	2074
AOX1	85488
AOX3P-AOX2P	99194
AP1AR	41373
AP1B1	60905
AP1B1P1	11494
AP1G1	80073
AP1G2	7963
AP1M1	37493
AP1M2	14646
AP1S1	6873
AP1S2	29210
AP1S3	82274
AP2A1	40191
AP2A2	86438
AP2B1	139156
AP2M1	9247
AP2S1	12134
AP3B1	292431
AP3B2	50629
AP3D1	50571
AP3M1	30536
AP3M2	18239
AP3S1	72477
AP3S2	63788
AP4B1	10730
AP4B1-AS1	88627
AP4E1	97230
AP4M1	5675
AP4S1	71346
AP5B1	6695
AP5M1	21193
AP5S1	4785
AP5Z1	18766
APAF1	90135
APBA1	244828
APBA2	196678
APBA3	10904
APBB1	9569
APBB1IP	129468
APBB2	404593
APBB3	6338
APC	138736
APC2	23097
APCDD1	34075
APCDD1L	55836
APCDD1L-AS1	104515
APCS	1047
APEH	9501
APELA	20541
APEX1	2643
APEX2	7552
APH1A	3812
APH1B	31578
API5	32577
APIP	34117
APITD1	12715
APITD1-CORT	21903
APLF	112605
APLN	9699
APLNR	3877
APLP1	11354
APLP2	74992
APMAP	29847
APOA1	1837
APOA1-AS	19614
APOA2	1337
APOA4	2595
APOA5	3052
APOB	42646
APOBEC1	16505
APOBEC2	11692
APOBEC3A	5663
APOBEC3A_B	35258
APOBEC3B	10382
APOBEC3B-AS1	6663
APOBEC3C	4562
APOBEC3D	12140
APOBEC3F	3757
APOBEC3G	10740
APOBEC3H	5383
APOBEC4	7039
APOBR	4323
APOC1	5104
APOC1P1	4585
APOC2	3585
APOC3	3165
APOC4	3260
APOC4-APOC2	7329
APOD	15505
APOE	3648
APOF	2230
APOH	17411
APOL1	14462
APOL2	13436
APOL3	20608
APOL4	15705
APOL5	11612
APOL6	20034
APOLD1	65550
APOM	5802
APOO	74594
APOOL	89427
APOOP5	1052
APOPT1	11777
APP	259849
APPBP2	83093
APPL1	45735
APPL2	60110
APRT	2467
APTR	38607
APTX	28972
AQP1	13718
AQP10	4211
AQP11	20723
AQP12A	6640
AQP12B	6484
AQP2	8142
AQP3	6481
AQP4	10874
AQP4-AS1	70640
AQP5	4188
AQP6	4304
AQP7	17734
AQP7P1	19279
AQP7P3	34987
AQP8	11970
AQP9	47744
AQR	113445
AR	186589
ARAF	4876
ARAP1	37291
ARAP2	178361
ARAP3	28834
ARC	3430
ARCN1	30647
AREG	9913
AREL1	51854
ARF1	16554
ARF3	21262
ARF4	26127
ARF4-AS1	3128
ARF5	3355
ARF6	4038
ARFGAP1	17007
ARFGAP2	12829
ARFGAP3	60878
ARFGEF1	146030
ARFGEF2	114957
ARFGEF3	182749
ARFIP1	131976
ARFIP2	6798
ARFRP1	9212
ARG1	11130
ARG2	31859
ARGFX	22693
ARGFXP2	1205
ARGLU1	24854
ARHGAP1	23592
ARHGAP10	340476
ARHGAP11A	24807
ARHGAP11B	12136
ARHGAP12	103530
ARHGAP15	639024
ARHGAP17	95996
ARHGAP18	133132
ARHGAP19	48519
ARHGAP19-SLIT1	139633
ARHGAP20	135016
ARHGAP21	140061
ARHGAP22	47626
ARHGAP23	83910
ARHGAP24	527541
ARHGAP25	92046
ARHGAP26	458282
ARHGAP26-AS1	9307
ARHGAP26-IT1	1668
ARHGAP27	31746
ARHGAP28	81282
ARHGAP29	68846
ARHGAP30	23030
ARHGAP31	125105
ARHGAP31-AS1	8469
ARHGAP32	227140
ARHGAP33	13309
ARHGAP35	86402
ARHGAP36	31643
ARHGAP39	156636
ARHGAP4	18886
ARHGAP40	48720
ARHGAP42	303251
ARHGAP44	202134
ARHGAP45	21910
ARHGAP5	82441
ARHGAP5-AS1	1282
ARHGAP6	528160
ARHGAP8	110228
ARHGAP9	5945
ARHGDIA	3257
ARHGDIB	6883
ARHGDIG	2399
ARHGEF1	24339
ARHGEF10	134667
ARHGEF10L	158036
ARHGEF11	110532
ARHGEF12	153029
ARHGEF15	12280
ARHGEF16	26532
ARHGEF17	60764
ARHGEF18	77374
ARHGEF19	14507
ARHGEF2	31338
ARHGEF25	7067
ARHGEF26	136826
ARHGEF26-AS1	96811
ARHGEF28	315837
ARHGEF3	189055
ARHGEF3-AS1	20814
ARHGEF33	56088
ARHGEF34P	27009
ARHGEF35	9617
ARHGEF37	53394
ARHGEF38	128295
ARHGEF38-IT1	8646
ARHGEF39	5939
ARHGEF4	130604
ARHGEF40	19989
ARHGEF5	25238
ARHGEF6	101841
ARHGEF7	180578
ARHGEF7-AS1	4262
ARHGEF7-AS2	1868
ARHGEF9	120185
ARHGEF9-IT1	1308
ARID1A	86081
ARID1B	432851
ARID2	178201
ARID3A	46768
ARID3B	56956
ARID3C	6558
ARID4A	75231
ARID4B	160594
ARID5A	15921
ARID5B	195696
ARIH1	112231
ARIH2	66720
ARIH2OS	1599
ARL1	14702
ARL10	4490
ARL11	5575
ARL13A	21125
ARL13B	75144
ARL14	1289
ARL14EP	15126
ARL14EPL	7666
ARL15	425791
ARL16	2732
ARL17A	62665
ARL17B	62223
ARL2	8074
ARL2-SNX15	26461
ARL2BP	8509
ARL3	40708
ARL4A	4108
ARL4C	4009
ARL4D	2153
ARL5A	27531
ARL5B	18629
ARL5C	9269
ARL6	36723
ARL6IP1	9705
ARL6IP4	2855
ARL6IP5	21151
ARL6IP6	43362
ARL8A	11341
ARL8B	58673
ARL9	18685
ARMC1	31763
ARMC10	24884
ARMC12	11883
ARMC2	126058
ARMC2-AS1	15965
ARMC3	86465
ARMC4	169755
ARMC5	8896
ARMC6	24602
ARMC7	4879
ARMC8	59641
ARMC9	146656
ARMCX1	4163
ARMCX2	4610
ARMCX3	4713
ARMCX4	117726
ARMCX5	4991
ARMCX5-GPRASP2	118387
ARMCX6	2885
ARMS2	2691
ARMT1	17843
ARNT	67065
ARNT2	193587
ARNTL	109540
ARNTL2	92961
ARNTL2-AS1	56847
ARPC1A	40391
ARPC1B	20108
ARPC2	37256
ARPC3	15523
ARPC4	14612
ARPC4-TTLL3	43810
ARPC5	9750
ARPC5L	15617
ARPIN	16157
ARPP19	22089
ARPP21	153480
ARR3	13507
ARRB1	91711
ARRB2	11008
ARRDC1	9722
ARRDC1-AS1	3199
ARRDC2	12972
ARRDC3	14610
ARRDC3-AS1	40370
ARRDC4	13137
ARRDC5	12432
ARSA	5421
ARSB	209322
ARSD	25407
ARSE	33680
ARSF	72497
ARSG	161679
ARSH	26774
ARSI	6618
ARSJ	79440
ARSK	49983
ART1	19287
ART3	101624
ART4	14170
ART5	3812
ARTN	3922
ARV1	21658
ARVCF	46909
ARX	12254
AS-PTPRE	4695
AS3MT	32447
ASAH1	28073
ASAH2	61372
ASAH2B	17500
ASAP1	391557
ASAP1-IT1	1180
ASAP1-IT2	2032
ASAP2	198920
ASAP3	55696
ASB1	25267
ASB10	11695
ASB11	32852
ASB12	6441
ASB13	27740
ASB14	10603
ASB15	36015
ASB16	8379
ASB16-AS1	10745
ASB17	13560
ASB18	69475
ASB2	23270
ASB3	116870
ASB4	54332
ASB5	55549
ASB6	7567
ASB7	49151
ASB8	9809
ASB9	26186
ASB9P1	1626
ASCC1	120079
ASCC2	49698
ASCC3	373179
ASCL1	2844
ASCL2	2456
ASCL3	5463
ASCL4	2261
ASCL5	1421
ASF1A	15096
ASF1B	17121
ASGR1	6134
ASGR2	12990
ASH1L	227274
ASH1L-AS1	1965
ASH2L	34589
ASIC1	25987
ASIC2	279902
ASIC3	4466
ASIC4	24604
ASIC5	36546
ASIP	8979
ASL	17555
ASMT	47628
ASMTL	49840
ASMTL-AS1	13057
ASNA1	10867
ASNS	20050
ASNSD1	9434
ASPA	25298
ASPDH	2287
ASPG	27025
ASPH	189295
ASPHD1	5232
ASPHD2	15700
ASPM	62569
ASPN	26357
ASPRV1	2175
ASPSCR1	39858
ASRGL1	56115
ASS1	56569
ASTE1	12983
ASTL	14588
ASTN1	307601
ASTN2	989815
ASTN2-AS1	58012
ASUN	33144
ASXL1	14207
ASXL2	139061
ASXL3	172619
ASZ1	64303
ATAD1	66721
ATAD2	76616
ATAD2B	178452
ATAD3A	22546
ATAD3B	24451
ATAD3C	20471
ATAD5	63897
ATAT1	17831
ATCAY	47464
ATE1	187644
ATE1-AS1	23655
ATF1	57156
ATF2	95958
ATF3	55445
ATF4	2129
ATF5	5236
ATF6	197828
ATF6B	12974
ATF7	118561
ATF7IP	116460
ATF7IP2	97585
ATG10	283374
ATG101	7523
ATG12	13656
ATG13	58744
ATG14	45469
ATG16L1	44105
ATG16L2	15231
ATG2A	22720
ATG2B	84201
ATG3	29458
ATG4A	63006
ATG4B	36246
ATG4C	81166
ATG4D	9531
ATG5	131791
ATG7	285131
ATG9A	10310
ATG9B	12291
ATIC	37819
ATL1	99986
ATL2	82575
ATL3	47650
ATM	146269
ATMIN	11495
ATN1	17860
ATOH1	1066
ATOH7	1520
ATOH8	37599
ATOX1	15829
ATP10A	184491
ATP10B	289094
ATP10D	108095
ATP11A	196841
ATP11A-AS1	9284
ATP11AUN	37455
ATP11B	128132
ATP11C	105944
ATP12A	31376
ATP13A1	18495
ATP13A2	26016
ATP13A3	65567
ATP13A4	156157
ATP13A4-AS1	2373
ATP13A5	103685
ATP13A5-AS1	7279
ATP1A1	31603
ATP1A1-AS1	25759
ATP1A2	27856
ATP1A3	26887
ATP1A4	35417
ATP1B1	26015
ATP1B2	11146
ATP1B3	49958
ATP1B4	21166
ATP23	15767
ATP2A1	26023
ATP2A1-AS1	966
ATP2A2	69867
ATP2A3	40597
ATP2B1	68020
ATP2B2	181563
ATP2B2-IT2	793
ATP2B3	46809
ATP2B4	117296
ATP2C1	152679
ATP2C2	95666
ATP4A	13467
ATP4B	9393
ATP5A1	14211
ATP5B	7895
ATP5C1	19697
ATP5D	3077
ATP5E	3691
ATP5EP2	369
ATP5F1	12784
ATP5G1	3086
ATP5G2	11167
ATP5G3	5407
ATP5H	8121
ATP5I	1904
ATP5J	11176
ATP5J2	8042
ATP5J2-PTCD1	49464
ATP5L	8460
ATP5L2	800
ATP5O	12403
ATP5S	10698
ATP5SL	8260
ATP6AP1	7887
ATP6AP1L	39186
ATP6AP2	25674
ATP6V0A1	63737
ATP6V0A2	49438
ATP6V0A4	67745
ATP6V0B	3654
ATP6V0C	6499
ATP6V0CP3	620
ATP6V0D1	43174
ATP6V0D2	55317
ATP6V0E1	51139
ATP6V0E2	7746
ATP6V0E2-AS1	6170
ATP6V1A	65041
ATP6V1B1	29565
ATP6V1B1-AS1	6600
ATP6V1B2	24505
ATP6V1C1	52039
ATP6V1C2	63463
ATP6V1D	22141
ATP6V1E1	36687
ATP6V1E2	30724
ATP6V1F	3048
ATP6V1G1	11160
ATP6V1G2	2399
ATP6V1G2-DDX39B	16631
ATP6V1G3	17725
ATP6V1H	127501
ATP7A	139741
ATP7B	78826
ATP8A1	248732
ATP8A2	653842
ATP8B1	156670
ATP8B2	12288
ATP8B3	30164
ATP8B4	255080
