name	chrom	h3k27me3_promoter_percentile	h3k27me3_body_percentile	h3k36me3_promoter_percentile	h3k36me3_body_percentile
AANAT	chr17	0.221697783371792	0.376861757919027	0.556569470666387	0.150968463743794
AAR2	chr20	0.413083001188728	0.129781134186421	0.755506607929515	0.868016222641773
AARD	chr8	0.847807845605202	0.795433885742256	0.231906859660164	0.12139011257954
AARS	chr16	0.866303055730368	0.251625760436333	0.766449898608489	0.903852877421159
AARS2	chr6	0.542934060555206	0.186000978952521	0.796063212362772	0.77693867561709
AARSD1	chr17	0.0155233899727292	0.0308020418152577	0.761799874134676	0.807810642612405
AASDH	chr4	0.172435494021397	0.378050485980001	0.686944968883295	0.629816096776449
AASDHPPT	chr11	0.469932172575344	0.340081113208867	0.85626879239214	0.784420669883225
AASS	chr7	0.676526117054751	0.501748129501433	0.1019509125236	0.408537864485001
AATBC	chr21	0.411684497587581	0.283127054052164	0.470211873295574	0.544507377106496
AATF	chr17	0.831025802391441	0.287672190755891	0.799874134675897	0.830116775050696
AATK	chr17	0.867351933431229	0.593175302426404	0.0335291238374939	0.0526186979931473
AATK-AS1	chr17	0.86493951471925	0.744703167610657	0.00776169498636459	0.0655198937137263
ABALON	chr20	0.109083280889448	0.10272008950423	0.762464163345221	0.479546884833228
ABAT	chr16	0.584959093769666	0.519544087826026	0.510838402908887	0.431857912034123
ABCA1	chr9	0.870358716173694	0.756100971960003	0.19680441927138	0.169114047968674
ABCA10	chr17	0.156702328508496	0.299944059855954	0.828788196629606	0.521956506538004
ABCA11P	chr4	0.381092231312496	0.437591776798825	0.869065100342633	0.770820222362073
ABCA12	chr2	0.32501223690651	0.40881756520523	0.495419900706244	0.50471994965387
ABCA13	chr7	0.700510453814419	0.658240682469757	0.340920215369555	0.222886511432767
ABCA17P	chr16	0.613873155723376	0.55674428361653	0.400846094678694	0.162820781763513
ABCA2	chr9	0.650164324173135	0.646807915530383	0.00485980001398504	0.0616740088105727
ABCA3	chr16	0.622683728410601	0.533249423117265	0.423676665967415	0.536815607300189
ABCA4	chr1	0.844836025452766	0.806551989371373	0.372736172295644	0.140374798965107
ABCA5	chr17	0.232920774770995	0.150863575973708	0.290783861268443	0.654779386056919
ABCA6	chr17	0.360953779455982	0.348262359275575	0.584259841969093	0.590343332634082
ABCA7	chr19	0.00108384029088875	0.126075099643382	0.781169149010559	0.599153905321306
ABCA8	chr17	0.648660932801902	0.577442136913503	0.425669533599049	0.207258233689952
ABCA9	chr17	0.39095168170058	0.459128732256486	0.4897559611216	0.489860848891686
ABCA9-AS1	chr17	0.556604433256416	0.51443954968184	0.725753443815118	0.563072512411719
ABCB1	chr7	0.686140829312635	0.635200335640864	0.382595622683728	0.278581917348437
ABCB10	chr1	0.0511852318019719	0.153555695405916	0.519998601496399	0.75879309139221
ABCB11	chr2	0.81029298650444	0.789140619537095	0.374764002517306	0.23306062513111
ABCB4	chr7	0.579330116775051	0.452590727921124	0.235857632333403	0.50237745612195
ABCB5	chr7	0.668799384658415	0.649674847912733	0.394762604013705	0.246556184882176
ABCB6	chr2	0.306272288651143	0.323578770715335	0.937661701978883	0.8215859030837
ABCB7	chrX	0.404482204041675	0.53415845045801	0.491643940983148	0.58618278442067
ABCB8	chr7	0.417383399762254	0.0606251311097126	0.474931822949444	0.554052164184323
ABCB9	chr12	0.543388574225579	0.467904342353682	0.214984966086288	0.345535277253339
ABCC1	chr16	0.2601216698133	0.146248514089924	0.620026571568422	0.841269841269841
ABCC10	chr6	0.0905531081742535	0.0860429340605552	0.65397524648626	0.762918677015593
ABCC11	chr16	0.522515907978463	0.663485070974058	0.339276973638207	0.206209355989092
ABCC12	chr16	0.660827914131879	0.591147472204741	0.144290609048318	0.156877141458639
ABCC13	chr21	0.520278302216628	0.623872456471575	0.00804139570659394	0.200055940144046
ABCC2	chr10	0.499335710789455	0.55464652821481	0.314278721767709	0.336514929025942
ABCC3	chr17	0.76326830291588	0.66393958464443	0.0992937556814209	0.151457940004196
ABCC4	chr13	0.219984616460387	0.207468009230124	0.762918677015593	0.72411020208377
ABCC5	chr3	0.533319348297322	0.177959583245927	0.421264247255437	0.560240542619397
ABCC5-AS1	chr3	0.0453115166771554	0.0798895182155094	0.56412139011258	0.548982588630166
ABCC6	chr16	0.832704006712817	0.635410111181036	0.261729948954619	0.17946297461716
ABCC6P1	chr16	0.894412978113419	0.671106915600308	0.493776658974897	0.273652192154395
ABCC6P2	chr16	0.789175582127124	0.79347598070065	0.0179008460946787	0.0453464792671841
ABCC8	chr11	0.901894972379554	0.82553667575694	0.109922383050136	0.156352702608209
ABCC9	chr12	0.619781833438221	0.545311516677155	0.31214600377596	0.308439969232921
ABCD1	chrX	0.257849101461436	0.472344591287323	0.715544367526746	0.474582197049157
ABCD2	chr12	0.144395496818404	0.222746661072652	0.317879868540661	0.666247115586323
ABCD3	chr1	0.552618697993147	0.248479127333753	0.239703517236557	0.57513460597161
ABCD4	chr14	0.234179428012027	0.35602405426194	0.566603734004615	0.775505209425914
ABCE1	chr4	0.0402069785329697	0.351618767918327	0.798545556254807	0.860079714705265
ABCF1	chr6	0.486714215789106	0.295224110202084	0.795608698692399	0.902314523459898
ABCF1	chr6_cox_hap2	0.945773022865534	0.944059855954129	0.945703097685477	0.941332773931893
ABCF1	chr6_dbb_hap3	0.945807985455563	0.944094818544158	0.945738060275505	0.941367736521922
ABCF1	chr6_mann_hap4	0.945842948045591	0.944129781134186	0.945773022865534	0.94140269911195
ABCF1	chr6_mcf_hap5	0.94587791063562	0.944164743724215	0.945807985455563	0.941437661701979
ABCF1	chr6_qbl_hap6	0.945912873225649	0.944199706314244	0.945842948045591	0.941472624292008
ABCF1	chr6_ssto_hap7	0.945947835815677	0.944234668904272	0.94587791063562	0.941507586882036
ABCF2	chr7	0.244178728760227	0.355779316131739	0.769946157611356	0.807880567792462
ABCF3	chr3	0.143940983148032	0.302985805188448	0.900251730648206	0.756415635270261
ABCG1	chr21	0.493217257534438	0.588175652052304	0.0770225858331585	0.305922662750857
ABCG2	chr4	0.608873505349276	0.678239283966156	0.366338018320397	0.212362771834137
ABCG4	chr11	0.894517865883505	0.88332983707433	0.166072302636179	0.32396335920565
ABCG5	chr2	0.807950492972519	0.742710299979022	0.344241661422278	0.292741766310048
ABCG8	chr2	0.808335081462835	0.78928046989721	0.331445353471785	0.302041815257674
ABHD1	chr2	0.897979162296343	0.697398783301867	0.587126774351444	0.675232501223691
ABHD10	chr3	0.61771904062653	0.0990490175512202	0.655618488217607	0.645094748618978
ABHD11	chr7	0.231627158939934	0.406265296133138	0.628382630585274	0.739179078386127
ABHD11-AS1	chr7	0.387962380253129	0.13715824068247	0.688553248024614	0.551534857702259
ABHD12	chr20	0.208971400601357	0.184008111320887	0.634675896790434	0.655688413397664
ABHD12B	chr14	0.853192084469617	0.776763862666946	0.0771973987833019	0.0892245297531641
ABHD13	chr13	0.450318159569261	0.409516817005804	0.715264666806517	0.646423327040067
ABHD14A	chr3	0.3367072232711	0.340990140549612	0.659167191105517	0.468848332284456
ABHD14A-ACY1	chr3	0.3367072232711	0.335990490175512	0.659167191105517	0.489651073351514
ABHD14B	chr3	0.31819453185092	0.121355149989511	0.671806167400881	0.567407873575274
ABHD15	chr17	0.278791692888609	0.408118313404657	0.603489266484861	0.553667575694007
ABHD16A	chr6	0.244633242430599	0.0776169498636459	0.685196839381861	0.725543668274946
ABHD16A	chr6_cox_hap2	0.945982798405706	0.944269631494301	0.945912873225649	0.941542549472065
ABHD16A	chr6_dbb_hap3	0.946017760995735	0.94430459408433	0.945947835815677	0.941577512062094
ABHD16A	chr6_mann_hap4	0.946052723585763	0.944339556674358	0.945982798405706	0.941612474652122
ABHD16A	chr6_mcf_hap5	0.946087686175792	0.944374519264387	0.946017760995735	0.941647437242151
ABHD16A	chr6_qbl_hap6	0.946122648765821	0.944409481854416	0.946052723585763	0.94168239983218
ABHD16A	chr6_ssto_hap7	0.946157611355849	0.944444444444444	0.946087686175792	0.941717362422208
ABHD16B	chr20	0.171071953010279	0.0771274736032445	0.639605621984477	0.825956226837284
ABHD17A	chr19	0.294559820991539	0.433221453045242	0.652297042164884	0.623313055031117
ABHD17B	chr9	0.25959723096287	0.281553737500874	0.660967764491994	0.638556744283617
ABHD17C	chr15	0.590518145584225	0.347633032655059	0.566009369974128	0.517446332424306
ABHD18	chr4	0.290399272778127	0.188028809174184	0.836759667156143	0.704006712817286
ABHD2	chr15	0.0413257814138871	0.0718131599188868	0.329697223970352	0.640934200405566
ABHD3	chr18	0.074330466400951	0.110062233410251	0.724424865394028	0.666701629256695
ABHD4	chr14	0.544367526746381	0.357981959303545	0.657541430669184	0.764352143206769
ABHD5	chr3	0.270400671281729	0.191629955947137	0.277952590727921	0.568456751276134
ABHD6	chr3	0.665373050835606	0.348856723306062	0.457765191245367	0.560275505209426
ABHD8	chr19	0.11324382910286	0.0615691210404867	0.684532550171317	0.600167820432138
ABI1	chr10	0.438291028599399	0.25302426403748	0.447346339416824	0.697014194811552
ABI2	chr2	0.0566393958464443	0.162471155863226	0.585483532620096	0.663520033564086
ABI3	chr17	0.101181735542969	0.23096286972939	0.767114187819034	0.789175582127124
ABI3BP	chr3	0.662296342913083	0.623802531291518	0.0605901685196839	0.343332634081533
ABL1	chr9	0.153206069505629	0.149465072372561	0.561289420320257	0.58065869519614
ABL2	chr1	0.509894412978113	0.184322774631145	0.508006433116565	0.559471365638767
ABLIM1	chr10	0.925564645828963	0.699846164603874	0.325816376477169	0.442521501992868
ABLIM2	chr4	0.732466261100622	0.740227956086987	0.116949863645899	0.160233550101392
ABLIM3	chr5	0.780854485700301	0.832354380812531	0.0800293685756241	0.269631494301098
ABO	chr9	0.886896021257255	0.83997622543878	0.382875323403958	0.361827844206699
ABR	chr17	0.631494301097825	0.139675547164534	0.837598769316831	0.718411299909097
ABRA	chr8	0.698692399132928	0.655198937137263	0.222501922942452	0.350534927627439
ABRACL	chr6	0.323928396615621	0.12058597300888	0.622089364380113	0.69075589119642
ABT1	chr6	0.465387035871617	0.327739318928746	0.731277533039648	0.746241521571918
ABTB1	chr3	0.398713376686945	0.463673868960213	0.338263058527376	0.504370323753584
ABTB2	chr11	0.675896790434235	0.474162645968813	0.236067407873575	0.509474861897769
ACAA1	chr3	0.196769456681351	0.208411999160898	0.881127193902524	0.897175022725684
ACAA2	chr18	0.252045311516677	0.174882875323404	0.55545066778547	0.651388014824138
ACACA	chr17	0.367142157891057	0.21124396895322	0.828333682959234	0.694217187609258
ACACB	chr12	0.62638976295364	0.58251171246766	0.36074400391581	0.391965596811412
ACAD10	chr12	0.183343822110342	0.118278442066988	0.850534927627439	0.734074540241941
ACAD11	chr3	0.0991888679113349	0.300258723166212	0.649045521292217	0.622788616180687
ACAD8	chr11	0.299104957695266	0.0829312635480036	0.820676875742955	0.629291657926019
ACAD9	chr3	0.379344101811062	0.114887070834207	0.799699321725753	0.87098804279421
ACADL	chr2	0.795713586462485	0.800223760576183	0.0608349066498846	0.194007412069086
ACADM	chr1	0.369204950702748	0.186385567442836	0.641703377386197	0.826935179358087
ACADS	chr12	0.0221313194881477	0.109782532690022	0.868680511852318	0.577651912453675
ACADSB	chr10	0.275924760506258	0.217956786238725	0.74802461366338	0.546325431787987
ACADVL	chr17	0.222606810712538	0.0431088735053493	0.413992028529473	0.624641633452206
ACAN	chr15	0.859590238444864	0.780574784980071	0.0738409901405496	0.16631704076638
ACAP1	chr17	0.143801132787917	0.288266554786379	0.802880917418362	0.897244947905741
ACAP2	chr3	0.0151388014824138	0.263303265505909	0.494650723725614	0.697608558842039
ACAP3	chr1	0.274141668414796	0.101741136983428	0.742325711488707	0.541955108034403
ACAT1	chr11	0.0118173554296902	0.148800783162017	0.588839941262849	0.789769946157611
ACAT2	chr6	0.203307461016712	0.128417593175302	0.907034473113768	0.819872736172296
ACBD3	chr1	0.178169358786099	0.0857282707502972	0.820082511712468	0.767638626669464
ACBD4	chr17	0.474826935179358	0.0328997972169778	0.0851339067198098	0.432592126424726
ACBD5	chr10	0.0387735123417943	0.0808684707363121	0.488287532340396	0.753164114397595
ACBD6	chr1	0.460212572547374	0.34578001538354	0.64082931263548	0.620306272288651
ACBD7	chr10	0.710859380462905	0.617089714006014	0.450632822879519	0.174917837913433
ACCS	chr11	0.380532829872037	0.388049786728201	0.626459688133697	0.699461576113559
ACCSL	chr11	0.820327249842668	0.769002167680582	0.294699671351654	0.282252989301447
ACD	chr16	0.135619886721208	0.446332424305993	0.858716173694147	0.828368645549262
ACE	chr17	0.899167890357318	0.812810292986504	0.281413887140759	0.122683728410601
ACE2	chrX	0.805083560590169	0.850150339137123	0.43587860988742	0.248164464023495
ACER1	chr19	0.635864624851409	0.669044122788616	0.413589958744144	0.284525557653311
ACER2	chr9	0.66236626809314	0.38175652052304	0.516886930983847	0.517726033144535
ACER3	chr11	0.200160827914132	0.240577581987274	0.485840151038389	0.506118453255017
ACHE	chr7	0.815152786518425	0.711873295573736	0.287077826725404	0.42668344870988
ACIN1	chr14	0.253373889937767	0.318019718900776	0.902279560869869	0.904062652961331
ACKR1	chr1	0.838612684427662	0.819662960632124	0.494930424445843	0.436962450178309
ACKR2	chr3	0.706419131529264	0.64425564645829	0.241136983427732	0.14687784071044
ACKR3	chr2	0.586672260681071	0.488357457520453	0.539297951192224	0.600517446332424
ACKR4	chr3	0.291588000839102	0.457730228655339	0.821131389413328	0.713586462485141
ACLY	chr17	0.0560799944059856	0.222327109992308	0.796447800853087	0.902734074540242
ACMSD	chr2	0.645444374519264	0.564610866372981	0.0288441367736522	0.333857772183763
ACO1	chr9	0.755681420879659	0.357807146353402	0.541640444724145	0.579260191594993
ACO2	chr22	0.218760925809384	0.109502831969792	0.906544996853367	0.763582966226138
ACOD1	chr13	0.603629116844976	0.729004964687784	0.150793650793651	0.420110481784491
ACOT1	chr14	0.436403048737851	0.503740997133068	0.459513320746801	0.498916159709111
ACOT11	chr1	0.694916439409831	0.585833158520383	0.436438011327879	0.209775540172016
ACOT12	chr5	0.818474232571149	0.725613593455003	0.300258723166212	0.308509894412978
ACOT13	chr6	0.0433885742255786	0.0999230823019369	0.790049646877841	0.579924480805538
ACOT2	chr14	0.421893573875953	0.432941752325012	0.537794559820992	0.517656107964478
ACOT4	chr14	0.540486679253199	0.525907279211244	0.38070764282218	0.209321026501643
ACOT6	chr14	0.779106356198867	0.876267393888539	0.43563387175722	0.549576952660653
ACOT7	chr1	0.0799244808055381	0.0642962030627229	0.625445773022866	0.611915250681771
ACOT8	chr20	0.057618348367247	0.0479337109293056	0.689532200545416	0.664883574575205
ACOT9	chrX	0.540346828893084	0.48765820571988	0.548493112369764	0.603174603174603
ACOX1	chr17	0.161212502622194	0.181176141528564	0.627858191734844	0.703796937277113
ACOX2	chr3	0.671596391860709	0.680197189007762	0.159779036431019	0.186315642262779
ACOX3	chr4	0.356478567932312	0.18208516886931	0.765575833857772	0.639151108314104
ACOXL	chr2	0.825571638346969	0.803125655548563	0.178588909866443	0.358191734843717
ACP1	chr2	0.178518984686386	0.195930354520663	0.777288301517376	0.809838472834068
ACP2	chr11	0.219215439479757	0.131354450737711	0.831829941962101	0.829452485840151
ACP5	chr19	0.00454513670372701	0.122788616180687	0.52181665617789	0.564086427522551
ACP6	chr1	0.536640794350045	0.411544647227467	0.316691140479687	0.56464582896301
ACP7	chr19	0.873190685966016	0.801587301587302	0.120970561499196	0.307356128942032
ACPP	chr3	0.794385008041396	0.76669463673869	0.419236417033774	0.334102510313964
ACPT	chr19	0.380148241381722	0.0824068246975736	0.288616180686665	0.195021327179917
ACR	chr22	0.71596391860709	0.76721907558912	0.0143696245017831	0.0678274246556185
ACRBP	chr12	0.280365009439899	0.473393468988183	0.85679323124257	0.47108593804629
ACRC	chrX	0.351618767918327	0.456226837284106	0.861058667226068	0.639081183134047
ACRV1	chr11	0.24959793021467	0.124257044961891	0.845395426893224	0.626704426263898
ACSBG1	chr15	0.699181875393329	0.537095308020418	0.395077267323963	0.449199356688343
ACSBG2	chr19	0.581672610306972	0.59380462904692	0.192294245157681	0.33473183693448
ACSF2	chr17	0.287322564855604	0.436647786868051	0.47136563876652	0.484546535207328
ACSF3	chr16	0.485490525138102	0.229844066848472	0.480071323683659	0.755716383469687
ACSL1	chr4	0.491678903573177	0.132333403258513	0.515698202922872	0.782008251171247
ACSL3	chr2	0.405531081742535	0.862981609677645	0.428326690441228	0.611320886651283
ACSL4	chrX	0.509999300748199	0.577057548423187	0.492063492063492	0.637997342843158
ACSL5	chr10	0.305398223900427	0.208691699881127	0.510943290678973	0.796832389343403
ACSL6	chr5	0.91434165442976	0.766974337458919	0.39832878819663	0.285049996503741
ACSM1	chr16	0.671106915600308	0.64687784071044	0.349381162156493	0.322075379344102
ACSM2A	chr16	0.801587301587302	0.649569960142647	0.168589609118243	0.240962170477589
ACSM2B	chr16	0.744423466890427	0.629431508286134	0.354520662890707	0.158135794699671
ACSM3	chr16	0.357247744912943	0.328543458499406	0.261904761904762	0.501503391371233
ACSM4	chr12	0.805747849800713	0.758408502901895	0.297321865603804	0.281343961960702
ACSM5	chr16	0.515593315152787	0.754212992098455	0.200895042304734	0.310922313124956
ACSM6	chr10	0.358296622613803	0.363436123348018	0.535661841829243	0.564471016012866
ACSS1	chr20	0.58880497867282	0.195335990490175	0.496643591357248	0.65554856303755
ACSS2	chr20	0.666212152996294	0.498601496398853	0.365254178029508	0.512411719460178
ACSS3	chr12	0.82738969302846	0.589364380113279	0.0397175022725684	0.199916089783931
ACTA1	chr1	0.91934130480386	0.898363750786658	0.294245157681281	0.0404517166631704
ACTA2	chr10	0.11639046220544	0.356618418292427	0.636738689602126	0.57541430669184
ACTA2-AS1	chr10	0.166212152996294	0.204985665338088	0.891441157960982	0.768967205090553
ACTB	chr7	0.165023424935319	0.489511222991399	0.92538983287882	0.917593175302426
ACTBL2	chr5	0.694601776099573	0.693203272498427	0.231697084119992	0.109887420460108
ACTC1	chr15	0.885427592476051	0.876931683099084	0.15264666806517	0.10957275714985
ACTG1	chr17	0.363925599608419	0.524473813020069	0.913572477449129	0.910740507656807
ACTG1P17	chr15	0.0848542059995804	0.35259772043913	0.687574295503811	0.565240192993497
ACTG1P20	chr1	0.185616390462205	0.351933431228585	0.811656527515558	0.915320606950563
ACTG1P4	chr1	0.445003845884903	0.301132787916929	0.662715893993427	0.515103838892385
ACTG2	chr2	0.432452276064611	0.496783441717362	0.103104677994546	0.296587651213202
ACTL10	chr20	0.0581777498077058	0.0334941612474652	0.497587581288022	0.0513950073421439
ACTL6A	chr3	0.272358576323334	0.12558562338298	0.396825396825397	0.79190266414936
ACTL6B	chr7	0.7296342913083	0.739668554646528	0.0389832878819663	0.167435843647297
ACTL7A	chr9	0.425669533599049	0.0984196909307041	0.511118103629117	0.297251940423747
ACTL7B	chr9	0.647961681001329	0.102090762883714	0.209635689811901	0.0157681281029299
ACTL8	chr1	0.371582406824698	0.755296832389343	0.128802181665618	0.201349555975107
ACTL9	chr19	0.130795049297252	0.0214320676875743	0.166614222781624	0.327879169288861
ACTN1	chr14	0.806831690091602	0.662611006223341	0.23778057478498	0.500978952520803
ACTN1-AS1	chr14	0.819348297321866	0.891860709041326	0.249318229494441	0.430739109153206
ACTN2	chr1	0.8418292427103	0.739948255366758	0.346269491643941	0.137228165862527
ACTN3	chr11	0.56331725054192	0.688308509894413	0.64240262918677	0.113628417593175
ACTN4	chr19	0.406370183903224	0.132438291028599	0.680581777498077	0.73725613593455
ACTR10	chr14	0.554087126774351	0.156632403328439	0.642472554366827	0.677120481085239
ACTR1A	chr10	0.244563317250542	0.0433885742255786	0.683203971750227	0.695056289769946
ACTR1B	chr2	0.0509754562617999	0.298195930354521	0.690301377526047	0.770540521641843
ACTR2	chr2	0.0451716663170408	0.130725124117195	0.73201174743025	0.857282707502972
ACTR3	chr2	0.082791413187889	0.367386896021257	0.725683518635061	0.888399412628488
ACTR3B	chr7	0.498706384168939	0.396196070204881	0.397559611215999	0.554261939724495
ACTR3BP2	chr2	0.354835326200965	0.537130270610447	0.356513530522341	0.489511222991399
ACTR3BP5	chr10	0.338857422557863	0.452101251660723	0.320711838332984	0.361023704636039
ACTR3C	chr7	0.00272708202223621	0.30319558072862	0.82001258653241	0.543073910915321
ACTR5	chr20	0.54020697853297	0.278022515907978	0.707398084050066	0.772428501503391
ACTR6	chr12	0.236312146003776	0.4080483882246	0.687399482553668	0.818823858471436
ACTR8	chr3	0.338892385147892	0.152471855115027	0.929550381092231	0.857772183763373
ACTRT1	chrX	0.393294175232501	0.559226627508566	0.091671911055171	0.115761135584924
ACTRT2	chr1	0.659009859450388	0.54020697853297	0.327984057058947	0.0579679742675337
ACTRT3	chr3	0.431403398363751	0.444794070344731	0.418886791133487	0.0796098174952801
ACVR1	chr2	0.848472134815747	0.704601076847773	0.00115376547094609	0.359485350674778
ACVR1B	chr12	0.877281308999371	0.842039018250472	0.0910425844346549	0.275540172015943
ACVR1C	chr2	0.893399063002587	0.749318229494441	0.205684917138662	0.19732885812181
ACVR2A	chr2	0.858016921893574	0.630305573036851	0.404831829941962	0.4440248933641
ACVR2B	chr3	0.792741766310048	0.471994965387036	0.403887840011188	0.487343542409622
ACVR2B-AS1	chr3	0.786623313055031	0.861862806796728	0.418711978183344	0.130830011887281
ACVRL1	chr12	0.881092231312496	0.804034682889308	0.164044472414516	0.0975106635899587
ACY1	chr3	0.275225508705685	0.0914970981050276	0.585238794489896	0.5407314173834
ACY3	chr11	0.257254737430949	0.29742675337389	0.0196839381861408	0.132613103978743
ACYP1	chr14	0.437976365289141	0.284595482833368	0.575309418921754	0.550870568491714
ACYP2	chr2	0.0699251800573387	0.501293615831061	0.621145374449339	0.420460107684777
ADA	chr20	0.0732466261100622	0.0970911125096147	0.593769666456891	0.756450597860289
ADAD1	chr4	0.719530102790015	0.728760226557583	0.386021956506538	0.293895531780994
ADAD2	chr16	0.561639046220544	0.601706174393399	0.162715893993427	0.0726522620795749
ADAL	chr15	0.228935039507727	0.0620585973008881	0.740717432347388	0.676700930004895
ADAM10	chr15	0.0958324592685826	0.197713446612125	0.283686455492623	0.704601076847773
ADAM11	chr17	0.835955527585484	0.773547304384309	0.173274596182085	0.104538144185721
ADAM12	chr10	0.575763932592126	0.592021536955458	0.201069855254877	0.197678484022096
ADAM15	chr1	0.208726662471156	0.395147192504021	0.542724285015034	0.579120341234879
ADAM17	chr2	0.215754143066918	0.209495839451787	0.66789035731767	0.767953289979722
ADAM18	chr8	0.500209775540172	0.559541290818824	0.120096496748479	0.194392000559401
ADAM19	chr5	0.348996573666177	0.38728060974757	0.365079365079365	0.722606810712538
ADAM1A	chr12	0.146248514089924	0.456436612824278	0.871057967974267	0.654080134256346
ADAM2	chr8	0.621669813299769	0.640969162995595	0.103174603174603	0.252674638137193
ADAM20	chr14	0.64450038458849	0.578840640514649	0.522096356898119	0.462939654569611
ADAM20P1	chr14	0.714460527235858	0.59432906789735	0.237990350325152	0.340570589469268
ADAM21	chr14	0.678449059506328	0.851094329067897	0.29242710299979	0.335291238374939
ADAM21P1	chr14	0.812880218166562	0.899552478847633	0.407069435703797	0.525802391441158
ADAM22	chr7	0.0690860778966506	0.315572337598769	0.532445283546605	0.573456401650234
ADAM23	chr2	0.89542689322425	0.708062373260611	0.231242570449619	0.442626389762954
ADAM28	chr8	0.76169498636459	0.836095377945598	0.370148940633522	0.331375428291728
ADAM29	chr4	0.483567582686525	0.490000699251801	0.379344101811062	0.327669393748689
ADAM30	chr1	0.877071533459199	0.894238165163275	0.444059855954129	0.511048178449059
ADAM32	chr8	0.264177330256625	0.620236347108594	0.78480525837354	0.203831899867142
ADAM33	chr20	0.879763652891406	0.88308509894413	0.121320187399483	0.189077686875044
ADAM3A	chr8	0.472064890567093	0.511362841759318	0.157226767358926	0.162156492552968
ADAM5	chr8	0.636004475211524	0.58775610097196	0.0938745542269771	0.215928956017062
ADAM6	chr14	0.731557233759877	0.834522061394308	0.416299559471366	0.405216418432277
ADAM7	chr8	0.763827704356339	0.78298720369205	0.131179637787567	0.357702258583316
ADAM8	chr10	0.177155443675267	0.282742465561849	0.878190336340116	0.808929445493322
ADAM9	chr8	0.197923222152297	0.299839172085868	0.782882315921963	0.712852248094539
ADAMDEC1	chr8	0.760226557583386	0.757604363331236	0.205580029368576	0.308125305922663
ADAMTS1	chr21	0.805328298720369	0.653415845045801	0.183169009160199	0.0756240822320118
ADAMTS10	chr19	0.612894203202573	0.526152017341445	0.0695405915670233	0.215019928676316
ADAMTS12	chr5	0.351513880148241	0.3978043493462	0.480316061813859	0.545766030347528
ADAMTS13	chr9	0.21229284665408	0.642122928466541	0.918677015593315	0.414411579609818
ADAMTS14	chr10	0.85626879239214	0.70652401929935	0.183833298370743	0.151178239283966
ADAMTS15	chr11	0.887245647157541	0.844836025452766	0.246661072652262	0.166247115586323
ADAMTS16	chr5	0.667226068107125	0.566428921054472	0.0644360534228376	0.167820432137613
ADAMTS17	chr15	0.868016222641773	0.648835745752045	0.211174043773163	0.210894343052933
ADAMTS18	chr16	0.913502552269072	0.759702118732956	0.536675756940074	0.272183763373191
ADAMTS19	chr5	0.860709041325781	0.560904831829942	0.0305922662750857	0.18051185231802
ADAMTS19-AS1	chr5	0.865009439899308	0.918047688972799	0.0152786518425285	0.123872456471575
ADAMTS2	chr5	0.827005104538144	0.397384798265856	0.109328019019649	0.254212992098455
ADAMTS20	chr12	0.734004615061884	0.598454653520733	0.323683658485421	0.258373540311866
