chrom	start	end	size	num_data	min	max	mean	median	sum	name	norm_sum	percentile
chr1	146649430	146651529	2099	2024	0.76	16.16	7.51	6.6	15209.4	PDIA3P1	9.901953125	0.854838709677419
chr1	145727666	145764207	36541	32716	0.04	16.64	3.26	2.56	106539.44	PDZK1	3.06323864289822	0.419354838709677
chr1	147466094	147487189	21095	17720	0.04	32.72	3.83	2	67871.08	PDZK1P1	4.20801537603075	0.516129032258065
chr1	145516165	145523733	7568	6993	0.08	7	2.14	2	14977.88	PEX11B	1.80766519908856	0.0645161290322581
chr1	144610815	144612720	1905	1570	0.08	3.88	1.74	1.64	2729.4	PFN1P2	1.00864745011086	0.0161290322580645
chr1	145575988	145586547	10559	9222	0.04	6.72	2.3	2	21227	PIAS3	1.67064908734881	0.0483870967741935
chr1	145590667	145611045	20378	17253	0.08	7.56	2.69	2.36	46402.44	POLR3C	2.25932360187358	0.112903225806452
chr1	145456236	145470388	14152	11952	0.04	7	2.25	2	26886.52	POLR3GL	2.23886418519444	0.0967741935483871
chr1	148201752	148202537	785	785	2.32	10.84	5.69	4.92	4465.96	PPIAL4D	13.1351764705882	0.935483870967742
chr1	148201752	148202537	785	785	2.32	10.84	5.69	4.92	4465.96	PPIAL4E	13.1351764705882	0.935483870967742
chr1	148201752	148202537	785	785	2.32	10.84	5.69	4.92	4465.96	PPIAL4F	13.1351764705882	0.935483870967742
chr1	143767144	143767882	738	738	3.96	12.96	8.88	9.68	6550.44	PPIAL4G	10.9356260434057	0.887096774193548
chr1	146626685	146644169	17484	16465	0.04	9.88	2.99	2.64	49229	PRKAB2	2.5036362711692	0.274193548387097
chr1	145507557	145513536	5979	5654	0.44	9.08	3.57	3.36	20212	RBM8A	3.57612988152699	0.483870967741935
chr1	145610990	145689006	78016	64441	0.04	16.88	2.48	2	159729.12	RNF115	2.37851418360509	0.17741935483871
chr1	146556163	146556304	141	141	9	12.44	10.35	10	1459.16	RNVU1-8	6.31233777470151	0.725806451612903
chr1	145096407	145116998	20591	20498	0.32	60.04	23.11	21.8	473780.36	SEC22B	7.58411642821652	0.82258064516129
chr1	145438438	145442645	4207	4207	1	13.36	4.49	3.88	18890	TXNIP	2.34221946683199	0.145161290322581
