gene	chrom	status
1700001G17Rik	chr1	Uncertain
1700001J03Rik	chr5	Uncertain
1700001K23Rik	chr19	Uncertain
1700001L05Rik	chr15	BAE
1700001O22Rik	chr2	Uncertain
1700001P01Rik	NA	Uncertain
1700003E16Rik	chr6	Uncertain
1700003F12Rik	chr2	Uncertain
1700003M02Rik	NA	Uncertain
1700003M07Rik	chr4	Uncertain
1700007I08Rik	NA	Uncertain
1700007J10Rik	chr11	Uncertain
1700007K09Rik	NA	Uncertain
1700007K13Rik	chr2	Uncertain
1700007L15Rik	chr16	Uncertain
1700007P06Rik	chr1	Uncertain
1700008F21Rik	chr8	Uncertain
1700008J07Rik	NA	Uncertain
1700008O03Rik	chr7	Uncertain
1700009N14Rik	chr4	Uncertain
1700009P17Rik	chr1	Uncertain
1700010I14Rik	chr17	Uncertain
1700011A15Rik	chr15	Uncertain
1700011H14Rik	chr14	Uncertain
1700011I03Rik	NA	Uncertain
1700011J10Rik	chr2	Uncertain
1700011L22Rik	chr8	Uncertain
1700012A16Rik	NA	Uncertain
1700012B15Rik	chr12	Uncertain
1700012D01Rik	chr10	Uncertain
1700012D14Rik	chr7	Uncertain
1700012D14Rik1	NA	Uncertain
1700013G23Rik	chr11	Uncertain
1700015E13Rik	chr1	Uncertain
1700015F17Rik	chr5	Uncertain
1700016K19Rik	chr11	Uncertain
1700017B05Rik	chr9	Uncertain
1700017G19Rik	chr3	Uncertain
1700018A04Rik	chr13	Uncertain
1700018A14Rik	NA	Uncertain
1700018L02Rik	chr19	Uncertain
1700019A02Rik	NA	Uncertain
1700019D03Rik	NA	Uncertain
1700019E19Rik	NA	Uncertain
1700019G17Rik	chr6	Uncertain
1700019L03Rik	NA	Uncertain
1700019N12Rik	NA	Uncertain
1700020A23Rik	chr2	Uncertain
1700020D05Rik	NA	Uncertain
1700020I14Rik	chr2	Uncertain
1700020L24Rik	chr11	Uncertain
1700020O03Rik	NA	Uncertain
1700021C14Rik	NA	Uncertain
1700021F05Rik	chr10	Uncertain
1700021K19Rik	chr16	Uncertain
1700021N21Rik	chr4	Uncertain
1700022I11Rik	chr4	Uncertain
1700024F13Rik	chr13	Uncertain
1700024P16Rik	chr4	Uncertain
1700025E21Rik	chr6	Uncertain
1700025G04Rik	chr1	Uncertain
1700025K23Rik	NA	Uncertain
1700026D08Rik	chr7	Uncertain
1700026D11Rik	chr2	Uncertain
1700026J04Rik	NA	Uncertain
1700026L06Rik	chr2	Uncertain
1700027F09Rik	chr5	Uncertain
1700027I24Rik	chr9	Uncertain
1700027J07Rik	chr10	Uncertain
1700028B04Rik	chr7	Uncertain
1700028I16Rik	chr10	Uncertain
1700028J19Rik	chr7	Uncertain
1700028K03Rik	chr5	Uncertain
1700029F09Rik	NA	Uncertain
1700029G01Rik	NA	Uncertain
1700029H14Rik	chr8	Uncertain
1700029J03Rik	chr16	Uncertain
1700029J07Rik	chr8	Uncertain
1700029N11Rik	chr13	Uncertain
1700029P11Rik	chr15	Uncertain
1700030C10Rik	chr12	Uncertain
1700030J22Rik	chr8	Uncertain
1700030K09Rik	chr8	BAE
1700030O20Rik	chr10	Uncertain
1700034F02Rik	chr11	Uncertain
1700034H14Rik	NA	Uncertain
1700034H15Rik	chr1	Uncertain
1700034J05Rik	chr6	Uncertain
1700034O15Rik	chr6	Uncertain
1700037C18Rik	chr16	Uncertain
1700037H04Rik	chr2	Uncertain
1700040L02Rik	chr10	Uncertain
1700042G15Rik	chr4	Uncertain
1700042O10Rik	chr11	Uncertain
1700048M11Rik	chr16	Uncertain
1700048O20Rik	chr9	Uncertain
1700049G17Rik	chr7	Uncertain
1700052K11Rik	chr11	Uncertain
1700052N19Rik	chr10	Uncertain
1700054A03Rik	chr19	Uncertain
1700054M17Rik	chr2	Uncertain
1700054N08Rik	NA	Uncertain
1700056E22Rik	chr1	Uncertain
1700058G18Rik	NA	Uncertain
1700061G19Rik	chr17	BAE
1700061I17Rik	chr3	Uncertain
1700063O14Rik	chr5	Uncertain
1700065D16Rik	NA	Uncertain
1700065J11Rik	chr6	Uncertain
1700066B19Rik	chr18	Uncertain
1700066M21Rik	chr1	Uncertain
1700067K01Rik	chr8	Uncertain
1700071K01Rik	chr11	Uncertain
1700071M16Rik	chr17	Uncertain
1700072O05Rik	chr6	Uncertain
1700073E17Rik	NA	Uncertain
1700081L11Rik	NA	Uncertain
1700084C01Rik	chr1	Uncertain
1700084E18Rik	chr2	Uncertain
1700084J12Rik	chr15	Uncertain
1700086L19Rik	NA	Uncertain
1700086O06Rik	chr18	Uncertain
1700088E04Rik	chr15	Uncertain
1700092C10Rik	chr14	Uncertain
1700092M07Rik	chr19	Uncertain
1700094D03Rik	chr3	Uncertain
1700094J05Rik	chr10	Uncertain
1700095A21Rik	chr4	Uncertain
1700096J18Rik	chr11	Uncertain
1700096K18Rik	chr5	Uncertain
1700101E01Rik	NA	Uncertain
1700101I11Rik	chr6	Uncertain
1700102P08Rik	chr9	Uncertain
1700105P06Rik	chr19	Uncertain
1700106N22Rik	NA	Uncertain
1700108M19Rik	NA	Uncertain
1700109F18Rik	NA	Uncertain
1700109H08Rik	NA	Uncertain
1700110C19Rik	chr17	Uncertain
1700112E06Rik	chr14	Uncertain
1700112H15Rik	chr1	Uncertain
1700112J05Rik	chr5	Uncertain
1700113A16Rik	chr3	Uncertain
1700113I22Rik	NA	Uncertain
1700120C14Rik	chr15	Uncertain
1700120G07Rik	chr7	Uncertain
1700123I01Rik	chr19	Uncertain
1700123M08Rik	chr4	Uncertain
1700123O20Rik	chr14	Uncertain
1700125G02Rik	chr4	Uncertain
1700125H03Rik	chr8	Uncertain
1700125H20Rik	chr11	Uncertain
1700128F08Rik	chr9	Uncertain
1810006K21Rik	NA	Uncertain
1810008A18Rik	NA	Uncertain
1810009A15Rik	chr19	Uncertain
1810010D01Rik	NA	Uncertain
1810010H24Rik	chr11	Uncertain
1810011H11Rik	chr14	Uncertain
1810011O10Rik	chr8	Uncertain
1810012K16Rik	chr8	Uncertain
1810012P15Rik	NA	Uncertain
1810013D10Rik	chr5	Uncertain
1810013L24Rik	chr16	Uncertain
1810014B01Rik	chr10	Uncertain
1810014F10Rik	NA	Uncertain
1810019J16Rik	chr4	Uncertain
1810020D17Rik	NA	Uncertain
1810020O05Rik	chr6	Uncertain
1810024B03Rik	chr2	Uncertain
1810026B05Rik	chr7	Uncertain
1810026J23Rik	chr9	Uncertain
1810027O10Rik	NA	Uncertain
1810029B16Rik	NA	Uncertain
1810030N24Rik	NA	Uncertain
1810030O07Rik	NA	Uncertain
1810031K17Rik	NA	Uncertain
1810032O08Rik	chr11	Uncertain
1810033B17Rik	NA	Uncertain
1810034E14Rik	chr13	Uncertain
1810037I17Rik	chr3	Uncertain
1810041L15Rik	NA	Uncertain
1810043G02Rik	chr10	Uncertain
1810043H04Rik	chr11	Uncertain
1810044D09Rik	chr6	Uncertain
1810046K07Rik	chr9	Uncertain
1810048J11Rik	NA	Uncertain
1810049H13Rik	NA	Uncertain
1810055G02Rik	chr19	Uncertain
1810058I24Rik	chr6	Uncertain
1810062G17Rik	chr3	Uncertain
1810062O18Rik	NA	Uncertain
1810063B05Rik	NA	Uncertain
1810063B07Rik	NA	Uncertain
1810064F22Rik	chr9	Uncertain
1810074P20Rik	NA	Uncertain
2-Sep	NA	Uncertain
2010001M06Rik	chr5	Uncertain
2010001M09Rik	NA	Uncertain
2010002M12Rik	chr19	Uncertain
2010002N04Rik	NA	Uncertain
2010003O02Rik	chr4	Uncertain
2010009K17Rik	chr2	Uncertain
2010011I20Rik	NA	Uncertain
2010012O05Rik	chr19	Uncertain
2010015L04Rik	chr4	Uncertain
2010016I18Rik	chr3	Uncertain
2010106C02Rik	chr17	Uncertain
2010106G01Rik	NA	BAE
2010107E04Rik	chr12	Uncertain
2010107G12Rik	chr6	Uncertain
2010107G23Rik	chr10	Uncertain
2010107H07Rik	NA	Uncertain
2010109A12Rik	chr5	Uncertain
2010109K11Rik	NA	Uncertain
2010111I01Rik	chr13	Uncertain
2010204K13Rik	NA	Uncertain
2010305A19Rik	NA	Uncertain
2010310C07Rik	chr6	Uncertain
2010320M18Rik	chr8	Uncertain
2010321M09Rik	NA	Uncertain
2200002D01Rik	chr7	Uncertain
2210009G21Rik	NA	BAE
2210010C17Rik	NA	Uncertain
2210012G02Rik	NA	Uncertain
2210013O21Rik	NA	Uncertain
2210015D19Rik	chr11	Uncertain
2210016F16Rik	chr13	Uncertain
2210016L21Rik	chr5	Uncertain
2210018M11Rik	chr7	Uncertain
2210020M01Rik	NA	Uncertain
2210021J22Rik	NA	Uncertain
2210039B01Rik	chr12	Uncertain
2210404J11Rik	chr17	Uncertain
2210404O07Rik	chr10	Uncertain
2210404O09Rik	chr17	Uncertain
2210408F21Rik	chr6	Uncertain
2210408I21Rik	chr13	Uncertain
2210411K11Rik	NA	Uncertain
2210414B05Rik	chr4	Uncertain
2210416O15Rik	chr11	Uncertain
2210417K05Rik	chr10	Uncertain
2300009A05Rik	chr9	Uncertain
2300009A05Rik1	NA	Uncertain
2310001A20Rik	NA	Uncertain
2310001K24Rik	chr2	Uncertain
2310002D06Rik	chr12	Uncertain
2310002L13Rik	NA	Uncertain
2310003C23Rik	NA	Uncertain
2310003H01Rik	chr11	Uncertain
2310003L22Rik	NA	Uncertain
2310004I24Rik	NA	Uncertain
2310004N24Rik	NA	Uncertain
2310005E17Rik	chr13	Uncertain
2310005G13Rik	chr16	Uncertain
2310007L24Rik	chr11	Uncertain
2310008H04Rik	chr16	Uncertain
2310008H09Rik	chr7	Uncertain
2310008N11Rik	chr8	Uncertain
2310009A05Rik	chr9	Uncertain
2310009B15Rik	chr1	Uncertain
2310010J17Rik	chr7	Uncertain
2310011J03Rik	chr10	Uncertain
2310014H01Rik	NA	Uncertain
2310014L17Rik	chr7	Uncertain
2310015A10Rik	chr12	Uncertain
2310015B20Rik	chr10	Uncertain
2310015D24Rik	chr16	Uncertain
2310016C08Rik	NA	Uncertain
2310016M24Rik	NA	Uncertain
2310020H05Rik	chr13	Uncertain
2310021P13Rik	NA	Uncertain
2310022A10Rik	chr7	Uncertain
2310022B05Rik	chr8	Uncertain
2310028H24Rik	NA	Uncertain
2310028O11Rik	NA	Uncertain
2310030G06Rik	chr9	Uncertain
2310030N02Rik	NA	Uncertain
2310033P09Rik	chr11	Uncertain
2310034G01Rik	chr19	Uncertain
2310034O05Rik	chr5	Uncertain
2310035C23Rik	chr1	Uncertain
2310035K24Rik	NA	Uncertain
2310037I24Rik	NA	Uncertain
2310039H08Rik	chr17	Uncertain
2310040G24Rik	chr6	Uncertain
2310042D19Rik	chr4	Uncertain
2310044G17Rik	chr12	Uncertain
2310044H10Rik	NA	Uncertain
2310045N01Rik	chr8	Uncertain
2310046A06Rik	NA	Uncertain
2310046K01Rik	NA	Uncertain
2310046O06Rik	NA	Uncertain
2310047B19Rik	NA	Uncertain
2310047M10Rik	chr11	Uncertain
2310050C09Rik	chr3	Uncertain
2310057J16Rik	NA	Uncertain
2310057M21Rik	chr7	Uncertain
2310061C15Rik	NA	Uncertain
2310061J03Rik	chr16	Uncertain
2310067B10Rik	chr11	Uncertain
2310068J16Rik	chr15	Uncertain
2310069B03Rik	chr6	Uncertain
2310079F23Rik	NA	Uncertain
2400003C14Rik	NA	Uncertain
2410001C21Rik	NA	Uncertain
2410002F23Rik	chr7	Uncertain
2410002I01Rik	NA	Uncertain
2410002O22Rik	NA	Uncertain
2410003K15Rik	NA	Uncertain
2410004B18Rik	chr3	Uncertain
2410004N09Rik	chr18	Uncertain
2410004P03Rik	chr12	Uncertain
2410006H16Rik	chr11	Uncertain
2410012E07Rik	chr14	Uncertain
2410015M20Rik	chr17	Uncertain
2410016O06Rik	chr12	Uncertain
2410017P09Rik	NA	Uncertain
2410018M08Rik	chr5	Uncertain
2410021H03Rik	chr17	Uncertain
2410022L05Rik	NA	Uncertain
2410042D21Rik	NA	Uncertain
2410066E13Rik	chr6	Uncertain
2410075B13Rik	NA	Uncertain
2410076I21Rik	chr9	Uncertain
2410088K16Rik	chr1	Uncertain
2410089E03Rik	chr15	Uncertain
2410091C18Rik	NA	Uncertain
2410127L17Rik	chr19	Uncertain
2410131K14Rik	chr5	Uncertain
2410137F16Rik	chr5	Uncertain
2500003M10Rik	NA	Uncertain
2500004C02Rik	chr2	Uncertain
2510002D24Rik	chr16	Uncertain
2510003E04Rik	chr10	Uncertain
2510006D16Rik	NA	Uncertain
2510009E07Rik	chr16	Uncertain
2510039O18Rik	chr4	Uncertain
2510049J12Rik	chr6	Uncertain
2610001J05Rik	chr6	Uncertain
2610002D18Rik	NA	Uncertain
2610002I17Rik	NA	Uncertain
2610002J02Rik	chr4	Uncertain
2610002M06Rik	NA	Uncertain
2610005L07Rik	chr8	Uncertain
2610008E11Rik	chr10	Uncertain
2610015P09Rik	chr16	Uncertain
2610017I09Rik	NA	Uncertain
2610019E17Rik	chr17	Uncertain
2610019F03Rik	chr8	Uncertain
2610020C07Rik	chr16	Uncertain
2610020H08Rik	chr7	Uncertain
2610021K21Rik	NA	BAE
2610024G14Rik	NA	Uncertain
2610027K06Rik	chr11	Uncertain
2610027L16Rik	NA	Uncertain
2610028E06Rik	chr4	Uncertain
2610028H24Rik	NA	Uncertain
2610029G23Rik	NA	Uncertain
2610029I01Rik	NA	Uncertain
2610034B18Rik	chr7	Uncertain
2610035D17Rik	chr11	Uncertain
2610039C10Rik	NA	Uncertain
2610044O15Rik	NA	Uncertain
2610044O15Rik8	chr17	Uncertain
2610100L16Rik	NA	Uncertain
2610101N10Rik	NA	Uncertain
2610109H07Rik	NA	Uncertain
2610203C20Rik	chr9	Uncertain
2610203C22Rik	chr1	Uncertain
2610204G22Rik	chr4	Uncertain
2610301B20Rik	chr4	Uncertain
2610301G19Rik	chr14	Uncertain
2610306M01Rik	chr6	Uncertain
2610307P16Rik	chr13	Uncertain
2610318N02Rik	chr16	Uncertain
2610507B11Rik	chr11	BAE
2610507I01Rik	chr11	Uncertain
2610524H06Rik	chr5	Uncertain
2610528A11Rik	chr14	Uncertain
2610528E23Rik	NA	rMAE
2700007P21Rik	NA	Uncertain
2700023E23Rik	NA	Uncertain
2700029M09Rik	chr8	Uncertain
2700038G22Rik	chr5	Uncertain
2700046A07Rik	chr18	Uncertain
2700049A03Rik	chr12	Uncertain
2700050L05Rik	chr7	Uncertain
2700054A10Rik	chr17	Uncertain
2700060E02Rik	chr14	Uncertain
2700062C07Rik	chr18	Uncertain
2700069I18Rik	chr3	Uncertain
2700070H01Rik	chr14	Uncertain
2700078E11Rik	NA	rMAE
2700078K21Rik	NA	Uncertain
2700081L22Rik	chr4	Uncertain
2700081O15Rik	chr19	Uncertain
2700086A05Rik	chr6	Uncertain
2700089E24Rik	chr6	Uncertain
2700097O09Rik	chr12	Uncertain
2700099C18Rik	chr17	Uncertain
2810001G20Rik	chr11	Uncertain
2810002D19Rik	chr2	Uncertain
2810002N01Rik	NA	Uncertain
2810004N23Rik	chr8	Uncertain
2810006K23Rik	chr5	Uncertain
2810007J24Rik	chr7	Uncertain
2810008D09Rik	chr11	Uncertain
2810008M24Rik	NA	Uncertain
2810013P06Rik	chr8	Uncertain
2810021B07Rik	NA	Uncertain
2810021J22Rik	chr11	Uncertain
2810029C07Rik	chr12	Uncertain
2810030E01Rik	NA	Uncertain
2810032G03Rik	chr12	Uncertain
2810046L04Rik	NA	Uncertain
2810055F11Rik	NA	Uncertain
2810055G20Rik	chr16	Uncertain
2810403A07Rik	chr3	BAE
2810403D21Rik	NA	Uncertain
2810404M03Rik	chr8	Uncertain
2810405F15Rik	NA	Uncertain
2810407C02Rik	chr3	Uncertain
2810408A11Rik	chr11	Uncertain
2810408I11Rik	chr1	Uncertain
2810408M09Rik	chr2	Uncertain
2810410L24Rik	chr11	Uncertain
2810417H13Rik	chr9	Uncertain
2810422J05Rik	NA	Uncertain
2810422O20Rik	NA	Uncertain
2810428I15Rik	chr8	Uncertain
2810429I04Rik	chr13	Uncertain
2810432L12Rik	NA	Uncertain
2810433D01Rik	chr11	Uncertain
2810442I21Rik	chr11	Uncertain
2810442N19Rik	chr1	Uncertain
2810453I06Rik	NA	Uncertain
2810454H06Rik	chr6	Uncertain
2810459M11Rik	NA	Uncertain
2810468N07Rik	chr17	Uncertain
2810474O19Rik	chr6	BAE
2900002K06Rik	NA	Uncertain
2900005J15Rik	chr5	Uncertain
2900006K08Rik	NA	Uncertain
2900009J06Rik	chr1	Uncertain
2900011O08Rik	NA	Uncertain
2900026A02Rik	chr5	rMAE
2900041M22Rik	chr11	Uncertain
2900053A13Rik	NA	Uncertain
2900057B20Rik	chr18	Uncertain
2900060B14Rik	chr1	Uncertain
2900064A13Rik	NA	Uncertain
2900073G15Rik	NA	Uncertain
2900076A07Rik	chr7	Uncertain
2900079G21Rik	chr9	Uncertain
2900092D14Rik	chr1	Uncertain
2900092E17Rik	NA	Uncertain
3-Mar	NA	Uncertain
3-Sep	NA	Uncertain
3000002C10Rik	chr9	Uncertain
3010026O09Rik	chr11	Uncertain
3110001D03Rik	chr4	Uncertain
3110001I22Rik	chr16	Uncertain
3110002H16Rik	chr18	Uncertain
3110003A17Rik	NA	Uncertain
3110009E18Rik	chr1	Uncertain
3110021A11Rik	chr6	Uncertain
3110021N24Rik	chr4	Uncertain
3110035E14Rik	chr1	Uncertain
3110039I08Rik	chr9	Uncertain
3110039M20Rik	chr12	Uncertain
3110040N11Rik	chr7	Uncertain
3110043O21Rik	chr4	Uncertain
3110045C21Rik	chr1	Uncertain
3110052M02Rik	chr17	Uncertain
3110056K07Rik	chr12	Uncertain
3110056O03Rik	NA	Uncertain
3110057O12Rik	chr3	Uncertain
3110062M04Rik	chr6	Uncertain
3110070M22Rik	chr13	Uncertain
3110082D06Rik	NA	Uncertain
3110082I17Rik	chr5	Uncertain
3110099E03Rik	chr2	Uncertain
3200001D21Rik	chr12	Uncertain
3230401D17Rik	chr2	Uncertain
3300002I08Rik	chr2	Uncertain
3300005D01Rik	chr17	Uncertain
3632451O06Rik	chr14	Uncertain
3830406C13Rik	chr14	Uncertain
3830408C21Rik	chr13	Uncertain
3830431G21Rik	NA	Uncertain
3930402G23Rik	chr8	Uncertain
4-Mar	NA	Uncertain
4-Sep	NA	Uncertain
4430402I18Rik	chr19	Uncertain
4632411B12Rik	NA	Uncertain
4632415K11Rik	chr8	Uncertain
4632415L05Rik	chr3	Uncertain
4632427E13Rik	NA	Uncertain
4632428N05Rik	chr10	Uncertain
4632434I11Rik	chr7	Uncertain
4732415M23Rik	chr8	Uncertain
4732416N19Rik	NA	Uncertain
4732418C07Rik	NA	Uncertain
4732456N10Rik	chr15	Uncertain
4732471D19Rik	NA	Uncertain
4732471J01Rik	chr7	Uncertain
4732490B19Rik	chr11	Uncertain
4732491K20Rik	chr17	Uncertain
4831426I19Rik	NA	BAE
4831440E17Rik	chr5	Uncertain
4833403I15Rik	chr18	Uncertain
4833412C05Rik	chr7	Uncertain
4833417C18Rik	chr11	Uncertain
4833418N02Rik	chr17	Uncertain
4833419F23Rik	chr18	Uncertain
4833420G17Rik	chr13	Uncertain
4833422C13Rik	NA	Uncertain
4833424O15Rik	NA	Uncertain
4833427G06Rik	chr9	Uncertain
4833439L19Rik	chr13	Uncertain
4833442J19Rik	NA	Uncertain
4921501E09Rik	chr17	Uncertain
4921507L20Rik	chr2	Uncertain
4921507P07Rik	chr6	Uncertain
4921508A21Rik	chr11	Uncertain
4921508D12Rik	chr2	Uncertain
4921511C10Rik	chr3	Uncertain
4921511I17Rik	chr12	Uncertain
4921513D23Rik	NA	Uncertain
4921513I03Rik	chr10	Uncertain
4921515J06Rik	NA	Uncertain
4921517L17Rik	NA	Uncertain
4921524J17Rik	chr8	Uncertain
4921524L21Rik	chr18	Uncertain
4921525B02Rik	chr14	Uncertain
4921530D09Rik	NA	Uncertain
4921530L18Rik	chr2	Uncertain
4921531C22Rik	chr2	Uncertain
4921536K21Rik	chr11	Uncertain
4921539E11Rik	chr4	Uncertain
4922501C03Rik	chr9	Uncertain
4922501L14Rik	NA	Uncertain
4922502H24Rik	chr13	Uncertain
4930402H24Rik	chr2	Uncertain
4930403N07Rik	NA	Uncertain
4930404I05Rik	chr16	Uncertain
4930404N11Rik	chr10	Uncertain
4930405A21Rik	chr2	Uncertain
4930405P13Rik	chr11	Uncertain
4930412B13Rik	chr2	Uncertain
4930412C18Rik	chr4	Uncertain
4930412O13Rik	chr2	Uncertain
4930413E15Rik	chr5	Uncertain
4930413G21Rik	chr7	Uncertain
4930414L22Rik	chr6	Uncertain
4930414N06Rik	chr19	Uncertain
4930415F15Rik	chr11	Uncertain
4930415O20Rik	chr15	Uncertain
4930417G10Rik	NA	Uncertain
4930417O13Rik	chr6	Uncertain
4930417O22Rik	chr11	Uncertain
4930420K17Rik	NA	Uncertain
4930422G04Rik	chr3	rMAE
4930426L09Rik	chr2	Uncertain
4930427A07Rik	chr12	Uncertain
4930428E23Rik	NA	Uncertain
4930428G15Rik	chr9	Uncertain
4930429B21Rik	chr3	Uncertain
4930429F11Rik	chr17	Uncertain
4930429F24Rik	chr9	Uncertain
4930430F08Rik	chr10	Uncertain
4930431F12Rik	chr5	Uncertain
4930431P03Rik	chr14	Uncertain
4930432J09Rik	chr14	Uncertain
4930432K21Rik	chr8	Uncertain
4930433I11Rik	chr7	Uncertain
4930441O14Rik	chr13	Uncertain
4930443G12Rik	NA	Uncertain
4930444A02Rik	chr8	Uncertain
4930447A16Rik	chr15	Uncertain
4930447K03Rik	chr13	Uncertain
4930447N08Rik	chr3	Uncertain
4930451C15Rik	chr16	Uncertain
4930451G09Rik	chr16	Uncertain
4930452B06Rik	chr14	Uncertain
4930453L07Rik	chr8	Uncertain
4930453N24Rik	chr16	Uncertain
4930455C21Rik	NA	Uncertain
4930455F23Rik	chr1	Uncertain
4930455H04Rik	chr3	Uncertain
4930456L15Rik	chr4	Uncertain
4930461G14Rik	chr9	Uncertain
4930465K10Rik	chr18	Uncertain
4930467K11Rik	chr10	Uncertain
4930470H14Rik	chr17	Uncertain
4930471M23Rik	NA	Uncertain
4930473A02Rik	chr2	Uncertain
4930473A06Rik	NA	Uncertain
4930478L05Rik	chr16	Uncertain
4930479D17Rik	chr6	Uncertain
4930481A15Rik	chr19	Uncertain
4930483J18Rik	chr15	Uncertain
4930483K19Rik	chr10	Uncertain
4930486L24Rik	chr13	Uncertain
4930487D11Rik	chr5	Uncertain
4930487H11Rik	chr1	Uncertain
4930500J02Rik	chr2	Uncertain
4930503B20Rik	NA	Uncertain
4930503L19Rik	chr18	Uncertain
4930505A04Rik	chr11	Uncertain
4930506C21Rik	chr17	Uncertain
4930506M07Rik	chr19	Uncertain
4930507D05Rik	chr10	Uncertain
4930509E16Rik	chr9	Uncertain
4930509K18Rik	chr4	Uncertain
4930511E03Rik	chr6	Uncertain
4930511M06Rik	chr18	Uncertain
4930512B01Rik	chr12	Uncertain
