gene	chrom	start	end	status
Aqr	chr2	113926896	114001075	BAE
Arap1	chr7	108496582	108561100	BAE
Arfgef1	chr1	10127587	10222751	BAE
Arhgap11a	chr2	113671649	113688818	BAE
Arhgap15	chr2	43604343	44251473	BAE
Arhgap17	chr7	130422662	130513429	BAE
Arhgap18	chr10	26492317	26638454	rMAE
Arhgap21	chr2	20769545	20889348	rMAE
Arhgap25	chr6	87408538	87483253	BAE
Arhgap30	chr1	173319090	173340370	BAE
Arhgdib	chr6	136872229	136890238	BAE
Arhgef1	chr7	25688004	25711610	BAE
Arhgef11	chr3	87422672	87541955	BAE
Arhgef18	chr8	3393007	3456600	BAE
Arhgef3	chr14	27957178	28217097	rMAE
Arid1b	chr17	4995073	5347656	BAE
Arid2	chr15	96117952	96235894	BAE
Arid3b	chr9	57638315	57682041	BAE
Arid4b	chr13	14156050	14291870	BAE
Arih1	chr9	59236360	59334181	rMAE
Arl15	chr13	114584715	114947669	BAE
Arntl	chr7	120350978	120457640	BAE
Arsk	chr13	76197869	76236108	BAE
Asb3	chr11	30854397	31002704	BAE
Aspm	chr1	141351349	141390665	BAE
Aste1	chr9	105297721	105308086	BAE
Asxl1	chr2	153171874	153229743	BAE
Atad1	chr19	32747052	32786788	BAE
Atf6	chr1	172634587	172797902	BAE
Atf7ip	chr6	136467371	136555900	BAE
Atg10	chr13	91074953	91363592	BAE
Atg16l1	chr1	89652585	89689003	BAE
Atg2b	chr12	106851748	106923451	BAE
Atm	chr9	53245226	53344776	BAE
Atmin	chr8	119467292	119484345	BAE
Atp11b	chr3	35653059	35755198	BAE
Atp13a1	chr8	72315061	72331647	BAE
Atp13a3	chr16	30312509	30388616	BAE
Atp1b3	chr9	96233094	96264718	BAE
Atp2a2	chr5	122903521	122952234	rMAE
Atp2b1	chr10	98377785	98488777	rMAE
Atp5l	chr9	44721330	44728825	BAE
Atp6v1c1	chr15	38591658	38622199	BAE
Atp6v1h	chr1	5073166	5152630	BAE
Atp8a1	chr5	68009377	68238670	BAE
Atp9b	chr18	80930879	81130797	BAE
Atpaf1	chr4	115457418	115484919	rMAE
Atrn	chr2	130732231	130856062	BAE
Atxn10	chr15	85166810	85294266	BAE
Atxn2	chr5	122161617	122264959	BAE
AU019823	chr9	50413344	50425569	BAE
Aurkb	chr11	68859144	68865164	BAE
Aven	chr2	112333120	112471410	BAE
AW146154	chr7	48734243	48755260	BAE
AW549877	chr15	3932034	3945752	BAE
Axin1	chr17	26275630	26332756	BAE
B130006D01Rik	chr11	95584899	95588087	BAE
B230219D22Rik	chr13	55794484	55804861	BAE
B2m	chr2	121973422	121978818	BAE
B4galnt1	chr10	126602211	126609396	rMAE
Baz1a	chr12	55993975	56087323	BAE
Bbx	chr16	50191956	50432502	BAE
BC017158	chr7	135414892	135441645	BAE
BC018507	chr13	70727566	70776512	BAE
BC031353	chr9	NA	NA	BAE
BC035044	chr6	128798061	128841142	BAE
BC055324	chr1	165884138	165924912	rMAE
BC059842	chr4	NA	NA	BAE
BC067068	chr10	NA	NA	rMAE
Bcap29	chr12	32280218	32319523	BAE
Bcas3	chr11	85166665	85639560	BAE
Bcl2l13	chr6	120786247	120842860	BAE
Bdp1	chr13	100787948	100874025	BAE
Bfar	chr16	13671950	13703705	BAE
Bfsp2	chr9	103327253	103382658	rMAE
Birc6	chr17	74927634	75102696	rMAE
Blk	chr14	63991673	64036024	BAE
Blnk	chr19	41003416	41069025	BAE
Bms1	chr6	118333398	118369435	BAE
Bod1l	chr5	42178778	42235554	rMAE
Bptf	chr11	106894394	106993236	rMAE
Braf	chr6	39553236	39675462	BAE
Brca1	chr11	101350077	101413269	BAE
Bre	chr5	32000422	32387112	BAE
Bri3bp	chr5	125921937	125941255	BAE
Brpf3	chr17	28938070	28975734	BAE
Bst2	chr8	74058160	74061336	BAE
Btbd9	chr17	30352468	30713232	BAE
Btrc	chr19	45438223	45607833	BAE
C130036L24Rik	chr1	88256148	88264539	BAE
C1galt1	chr6	7795223	7822042	BAE
C2cd3	chr7	107520742	107618668	BAE
C330018D20Rik	chr18	57115484	57135033	BAE
C80913	chr7	NA	NA	BAE
Cab39	chr1	87690021	87748152	rMAE
Cad	chr5	31357152	31380852	rMAE
Calm1	chr12	101437750	101448016	BAE
Calr	chr8	87365986	87370830	BAE
Cant1	chr11	118267602	118280432	BAE
Canx	chr11	50107458	50139175	BAE
Capza1	chr3	104625702	104667423	BAE
Capza2	chr6	17587097	17616536	BAE
Car2	chr3	14886425	14900770	rMAE
Carkd	chr8	11497505	11513286	BAE
Casc3	chr11	98671121	98695121	BAE
Cat	chr2	103294060	103325310	BAE
Cbara1	chr10	NA	NA	BAE
Cbfa2t2	chr2	154262219	154365092	BAE
Cbfa2t3	chr8	125149035	125202075	rMAE
Cbx5	chr15	103021976	103045783	BAE
Ccar1	chr10	62206675	62255116	rMAE
Ccdc77	chr6	120274339	120314387	BAE
Ccdc88a	chr11	29273774	29410811	BAE
Ccdc88c	chr12	102150909	102267193	BAE
Ccdc9	chr7	16859390	16872144	BAE
Ccnb2	chr9	70255495	70269361	rMAE
Ccnd2	chr6	127075726	127101066	BAE
Ccnd3	chr17	47641999	47736637	BAE
Ccnk	chr12	109417947	109441569	BAE
Ccny	chr18	9314041	9450148	BAE
Ccz1	chr5	144748777	144775722	rMAE
Cd2ap	chr17	42929899	43013373	BAE
Cd2bp2	chr7	134335173	134339514	BAE
Cd74	chr18	60963502	60972306	BAE
Cd84	chr1	173769827	173820849	BAE
Cdc42ep3	chr17	79733364	79754431	BAE
Cdca4	chr12	114058445	114067600	BAE
Cdk12	chr11	98064618	98114854	BAE
Cdk13	chr13	17807795	17896931	BAE
Cdk19	chr10	40069113	40203624	rMAE
Cdk6	chr5	3344311	3522225	rMAE
Cdkal1	chr13	29283614	29947542	BAE
Cds2	chr2	132088992	132137777	BAE
Cdv3	chr9	103255431	103268110	BAE
Cdyl2	chr8	119092623	119256891	rMAE
Cebpz	chr17	79318342	79336410	BAE
Cecr2	chr6	120616438	120721209	BAE
Cenpa	chr5	30969258	30977210	BAE
Cenpf	chr1	191464492	191511965	BAE
Cep120	chr18	53841376	53904201	BAE
Cep135	chr5	77020738	77075491	BAE
Cep192	chr18	67959760	68044824	BAE
Cep350	chr1	157692093	157820385	BAE
Cerk	chr15	85969530	86016571	BAE
Chaf1b	chr16	93884145	93906351	BAE
Chchd3	chr6	32742226	33010152	BAE
Chd1	chr17	15841930	15909576	BAE
Chd4	chr6	125046180	125080519	BAE
Chd6	chr2	160772713	160934792	BAE
Chd8	chr14	52817825	52857247	BAE
Chd9	chr8	93352733	93578407	BAE
Cherp	chr8	74984381	74999132	BAE
Chmp4b	chr2	154482761	154520519	BAE
Churc1	chr12	77866559	77884165	rMAE
Ciita	chr16	10480164	10527733	rMAE
Ckap5	chr2	91386478	91460822	BAE
Clasp1	chr1	120285634	120506039	BAE
Clasp2	chr9	113650590	113828815	BAE
Clcn3	chr8	63389185	63462108	BAE
Clcn7	chr17	25270335	25299048	BAE
Clec16a	chr16	10545431	10744971	BAE
Cltc	chr11	86508154	86570994	BAE
Cnn3	chr3	121129458	121161123	rMAE
Cnot1	chr8	98243350	98331362	BAE
Cnot10	chr9	114494991	114549318	BAE
Cnot8	chr11	57917654	57932096	rMAE
Cog1	chr11	113510842	113523715	BAE
Cog3	chr14	76102157	76154300	BAE
Cog5	chr12	32339733	32622495	BAE
Cog7	chr7	129066352	129125207	BAE
Col4a3bp	chr13	97312689	97410122	BAE
Copa	chr1	174012659	174052463	BAE
Cops2	chr2	125656037	125684818	BAE
Cops5	chr1	10014680	10028240	BAE
Copz1	chr15	103103348	103130295	BAE
Cpne1	chr2	155897576	155937701	BAE
Cpsf6	chr10	116781723	116814029	rMAE
Crcp	chr5	130505175	130536653	BAE
Creb1	chr1	64579377	64651122	rMAE
Crk	chr11	75492760	75521930	BAE
Crnkl1	chr2	145743217	145760436	rMAE
Crtc3	chr7	87731517	87833763	rMAE
Cryzl1	chr16	91689566	91729047	BAE
Cse1l	chr2	166731595	166771889	BAE
Csnk1g1	chr9	65756816	65892821	BAE
Csrp1	chr1	137625773	137648806	BAE
Cstf3	chr2	104430640	104505582	BAE
Ctage5	chr12	60230732	60291207	BAE
Ctbp1	chr5	33590371	33617653	BAE
Ctdp1	chr18	80604697	80666406	BAE
Ctdspl2	chr2	121781736	121841062	BAE
Ctnnb1	chr9	120842517	120869625	BAE
Ctse	chr1	133534890	133572084	BAE
Cuedc2	chr19	46404301	46413150	BAE
Cugbp1	chr2	NA	NA	BAE
Cul1	chr6	47404322	47476138	rMAE
Cux1	chr5	136724004	137043360	BAE
Cxxc1	chr18	74375865	74381145	BAE
Cxxc5	chr18	35989471	36021342	rMAE
Cyb5b	chr8	109674560	109711370	BAE
Cyfip2	chr11	46007350	46125860	BAE
Cyp4f13	chr17	33061632	33084306	BAE
Cyth1	chr11	118025479	118109906	rMAE
D10Wsu102e	chr10	82822965	82831580	BAE
D16Ertd472e	chr16	78540580	78576933	rMAE
D19Bwg1357e	chr19	NA	NA	BAE
Daglb	chr5	144225360	144265310	BAE
Dars	chr1	130260283	130313993	BAE
Dbr1	chr9	99476217	99484762	BAE
Dbt	chr3	116215996	116252899	BAE
Dcaf15	chr8	86620970	86628661	BAE
Dcaf8	chr1	174078145	174126524	BAE
Dck	chr5	89194037	89212302	BAE
Dcp1a	chr14	31292750	31340242	BAE
Dcp1b	chr6	119125270	119171632	BAE
Dcp2	chr18	44540153	44584623	rMAE
Dcps	chr9	34931998	34983572	BAE
Dctn4	chr18	60685874	60718416	BAE
Dctn5	chr7	129276554	129292558	rMAE
Ddb1	chr19	10680114	10704311	BAE
Ddx1	chr12	13226112	13255980	BAE
Ddx21	chr10	62042994	62065046	rMAE
Ddx24	chr12	104646185	104663990	BAE
Ddx46	chr13	55736359	55782628	BAE
Dennd1b	chr1	140860285	141072619	BAE
Dennd2d	chr3	106285348	106305948	BAE
Dennd4a	chr9	64658817	64767474	BAE
Dennd5b	chr6	148936590	149050202	BAE
Depdc5	chr5	33206369	33336882	BAE
Dgkd	chr1	89749861	89841064	BAE
Dgkq	chr5	109076062	109089788	BAE
Dhx33	chr11	70797592	70817934	BAE
Dhx34	chr7	16782569	16807381	BAE
Dicer1	chr12	105925951	105990162	BAE
Dip2b	chr15	99869094	100049904	BAE
Dis3l2	chr1	88600378	88946672	rMAE
Dlgap4	chr2	156439432	156590099	BAE
Dlgap5	chr14	48007453	48038082	BAE
Dmxl1	chr18	49992650	50125127	BAE
Dnajb4	chr3	151846834	151873047	BAE
Dnajc1	chr2	18127959	18314457	BAE
Dnajc10	chr2	80155622	80194212	rMAE
Dnajc2	chr5	21263094	21290983	BAE
Dnajc5	chr2	181255189	181287585	BAE
Dnmt1	chr9	20711649	20757067	BAE
Dock10	chr1	80497647	80755128	BAE
Dock2	chr11	34126863	34597325	BAE
Dpp4	chr2	62168129	62250288	BAE
Dpp7	chr2	25207809	25211852	BAE
Dpp8	chr9	64880264	64930458	BAE
Dusp16	chr6	134665485	134742646	BAE
Dym	chr18	75178425	75446620	BAE
Dync1h1	chr12	111839604	111905154	BAE
Dync1i2	chr2	71049762	71101359	rMAE
Dync1li2	chr8	106941573	106966947	BAE
Dyrk2	chr10	118296404	118305959	BAE
Ebf1	chr11	44431601	44821598	BAE
Edem3	chr1	153602503	153669458	BAE
Eea1	chr10	95403296	95508152	BAE
Egln1	chr8	127432486	127473154	BAE
Ehd4	chr2	119915222	119980311	BAE
Ehmt1	chr2	24646288	24775129	BAE
Eif2ak2	chr17	79251889	79281912	BAE
Eif2s2	chr2	154697145	154718642	BAE
Eif3a	chr19	60837018	60866596	BAE
Eif3c	chr7	133690424	133709880	BAE
Eif3l	chr15	78905652	78924830	BAE
Eif3m	chr2	104839813	104857184	BAE
Eif4a3	chr11	119149676	119161357	rMAE
Eif4g1	chr16	20672821	20692956	BAE
Eif4g3	chr4	137549370	137762994	BAE
Elk4	chr1	133904181	133922261	BAE
Ell2	chr13	75844931	75909806	BAE
Elmo1	chr13	20182375	20700222	BAE
Elovl1	chr4	118100697	118105557	BAE
Elp3	chr14	66149282	66211949	BAE
Eml4	chr17	83750270	83879699	BAE
Ep400	chr5	111093391	111199736	BAE
Eps15l1	chr8	74864895	74945373	BAE
Erbb2ip	chr13	104608865	104710594	BAE
Ercc4	chr16	13109828	13152102	BAE
Ergic1	chr17	26698456	26793878	BAE
Esco2	chr14	66437863	66452806	rMAE
Esf1	chr2	139945616	139996294	BAE
Etv6	chr6	133985717	134220165	BAE
Evl	chr12	109792929	109926725	BAE
Exoc2	chr13	30905786	31065916	BAE
Exoc4	chr6	33199149	33922930	BAE
Exoc5	chr14	49631818	49686342	BAE
Exosc1	chr19	41997469	42007804	BAE
Exosc7	chr9	123022348	123045247	rMAE
Ezh2	chr6	47480272	47545029	BAE
Fam107b	chr2	3630729	3699406	BAE
Fam111a	chr19	12648014	12664186	BAE
Fam120a	chr13	48974585	49063197	BAE
Fam125a	chr8	NA	NA	BAE
Fam126a	chr5	23421093	23536130	BAE
Fam129c	chr8	74121544	74132048	BAE
Fam13b	chr18	34602004	34666477	BAE
Fam168b	chr1	34870062	34899895	BAE
Fam172a	chr13	77847950	78305501	BAE
Fam175b	chr7	140050907	140076797	BAE
Fam178a	chr19	45005608	45058277	BAE
Fam35a	chr14	35050220	35123689	BAE
Fam65a	chr8	108129128	108146118	BAE
Fam83d	chr2	158593834	158612373	BAE
Fam98b	chr2	117075474	117097276	BAE
Fam98c	chr7	29937528	29941229	BAE
Fars2	chr13	36209511	36629464	BAE
Fbxl14	chr6	119429685	119433904	BAE
Fbxl17	chr17	63395300	63849929	BAE
Fbxo28	chr1	184243232	184271737	BAE
Fbxo34	chr14	48092235	48151637	BAE
Fbxo5	chr10	4541075	4547383	BAE
Fbxo8	chr8	59029930	59072736	BAE
Fbxw11	chr11	32542554	32646814	BAE
Fbxw8	chr5	118514989	118605467	rMAE
Fdxacb1	chr9	50576342	50580775	BAE
Fgd3	chr13	49358478	49404577	BAE
Fgd6	chr10	93498745	93608084	BAE
Fip1l1	chr5	74931506	74993149	BAE
Fis1	chr5	137429144	137442104	BAE
Fnbp1	chr2	30881725	30997528	BAE
Foxk1	chr5	142877450	142937969	BAE
Foxk2	chr11	121121300	121171210	BAE
Foxm1	chr6	128313011	128325904	BAE
Foxn3	chr12	100433303	100688284	BAE
Foxo1	chr3	52072258	52154031	BAE
Fto	chr8	93837423	94192332	BAE
Fubp1	chr3	151873421	151899794	BAE
G3bp1	chr11	55283253	55314389	BAE
G3bp2	chr5	92481170	92512770	BAE
Gabpb2	chr3	94985689	95021864	BAE
Gak	chr5	108998125	109058796	BAE
Galnt1	chr18	24363844	24445317	rMAE
Galnt2	chr8	126755293	126869622	BAE
Gart	chr16	91621641	91647217	rMAE
Gas5	chr1	162965296	162968668	rMAE
Gatad2a	chr8	72430967	72520283	BAE
Gbf1	chr19	46227047	46361000	BAE
Gbp7	chr3	142193305	142213047	rMAE
Gcap14	chr14	NA	NA	BAE
Gclc	chr9	77602341	77642296	BAE
Gcn1l1	chr5	116015271	116072663	BAE
Gfm1	chr3	67234036	67278990	BAE
Gfm2	chr13	97907891	97951151	BAE
Gga3	chr11	115445568	115465230	BAE
Ggcx	chr6	72364301	72381100	BAE
Ghitm	chr14	37933631	37948508	BAE
Gimap4	chr6	48634576	48642061	rMAE
Gins4	chr8	24337081	24348140	BAE
Git2	chr5	115177416	115223501	BAE
Glrx3	chr7	144629330	144660277	BAE
Gm17296	chr8	128950551	128998965	BAE
Gmcl1	chr6	86641761	86683372	BAE
Gmds	chr13	31911454	32430413	BAE
Gmip	chr8	72332585	72345769	BAE
Gna13	chr11	109224107	109262683	BAE
Gnaq	chr19	16207320	16461943	BAE
Gnpat	chr8	127386932	127413957	BAE
Gnptab	chr10	87842156	87910074	BAE
Golga5	chr12	103707343	103736117	BAE
Golga7	chr8	24351797	24367552	rMAE
Gon4l	chr3	88639152	88714021	BAE
Gpatch8	chr11	102337229	102417472	BAE
Gramd4	chr15	85888124	85968066	BAE
Grap2	chr15	80403026	80483284	rMAE
Grk6	chr13	55546694	55562288	BAE
Gsk3b	chr16	38089086	38246165	BAE
Gstcd	chr3	132645514	132754704	BAE
Gtf2b	chr3	142428210	142446569	BAE
Gtf2f1	chr17	57142824	57150711	BAE
Gtf2f2	chr14	76296743	76410672	BAE
Gtpbp1	chr15	79521325	79551909	BAE
Gtse1	chr15	85690136	85707003	BAE
Gyg	chr3	20021969	20055015	rMAE
Gypc	chr18	32687973	32719688	rMAE
H13	chr2	152495196	152534404	BAE
H2afv	chr11	6327228	6344446	BAE
Hbs1l	chr10	21015784	21088695	BAE
Hdac2	chr10	36694349	36721694	BAE
Heatr1	chr13	12487641	12531160	BAE
Heatr5b	chr8	79152245	79234721	rMAE
Heatr6	chr11	83567138	83597256	BAE
Heca	chr10	17620271	17667873	BAE
Hectd1	chr12	52844708	52930523	BAE
Heg1	chr16	33684551	33768281	BAE
Helz	chr11	107409273	107548257	BAE
Herc2	chr7	63305524	63487168	rMAE
Herpud2	chr9	24912573	24956280	BAE
Hibadh	chr6	52496223	52590294	BAE
Hinfp	chr9	44103755	44113754	BAE
Hip1r	chr5	124423636	124453224	BAE
Hipk1	chr3	103543737	103595198	BAE
Hipk3	chr2	104266638	104334646	BAE
Hk2	chr6	82675020	82724448	rMAE
Hmbox1	chr14	65441054	65568684	BAE
Hmgcr	chr13	97418918	97440891	BAE
Hmmr	chr11	40514889	40546939	BAE
Hnrnpa2b1	chr6	51410433	51419893	BAE
Hnrnpu	chr1	180258430	180267915	rMAE
Hook3	chr8	27131892	27229696	BAE
Hps4	chr5	112772114	112807444	BAE
Hsd17b12	chr2	93872853	93998066	BAE
Hsd17b7	chr1	171879667	171899336	BAE
Hsp90ab1	chr17	45704726	45710210	BAE
Hspa14	chr2	3406125	3430086	BAE
Hspbap1	chr16	35770471	35828548	BAE
Htt	chr5	35104388	35255170	rMAE
Iars	chr13	49777498	49829636	BAE
Iffo1	chr6	125095241	125111800	BAE
Ifnar2	chr16	91373027	91405832	rMAE
Ifngr1	chr10	19311763	19330031	BAE
Ifrd2	chr9	107490048	107495369	BAE
Il5ra	chr6	106660372	106699031	BAE
Impdh1	chr6	29150439	29162271	rMAE
Incenp	chr19	9946786	9974023	BAE
Ing5	chr1	95700541	95718677	BAE
Ino80	chr2	119198778	119303365	BAE
Ino80d	chr1	63094374	63160841	BAE
Inpp5f	chr7	135754878	135839950	BAE
Inpp5k	chr11	75444521	75462367	BAE
Ints1	chr5	140227235	140251632	BAE
Ints4	chr7	104629465	104689908	BAE
Ints6	chr14	63295164	63379949	BAE
Ints7	chr1	193399514	193447569	BAE
Ints9	chr14	65568881	65658672	BAE
Ipo7	chr7	117161938	117198628	BAE
Ipo9	chr1	137278891	137327068	BAE
Ippk	chr13	49516591	49558429	BAE
Iqgap1	chr7	87856468	87948217	rMAE
Ireb2	chr9	54711561	54760341	BAE
Irf2	chr8	47825098	47932812	BAE
Irf4	chr13	30841126	30858796	BAE
Irs2	chr8	10986963	11008430	BAE
Itch	chr2	154959216	155052591	BAE
Itga4	chr2	79095582	79173271	BAE
Itgal	chr7	134439773	134478651	BAE
Itgb1	chr8	131209553	131257479	BAE
Itpkb	chr1	182260606	182353790	BAE
Itpr1	chr6	108163089	108501110	BAE
Itpr2	chr6	146056820	146450745	BAE
Jmjd1c	chr10	66648497	66719074	rMAE
Kcmf1	chr6	72791107	72849973	BAE
Kcnq5	chr1	21388479	21952731	BAE
Kctd5	chr17	24184686	24210452	BAE
Kdm1b	chr13	47138867	47180648	BAE
Kdm2b	chr5	123320680	123439108	BAE
Kdm3a	chr6	71538963	71582911	BAE
Kidins220	chr12	25659796	25744562	BAE
Kif1c	chr11	70514049	70545472	rMAE
Kif20b	chr19	34996847	35050221	BAE
Klhl12	chr1	136352107	136387450	BAE
Klhl14	chr18	21708877	21810869	rMAE
Klhl24	chr16	20097626	20127817	BAE
Klhl28	chr12	66043426	66066523	BAE
Kpna4	chr3	68876142	68931014	BAE
Kpnb1	chr11	97021023	97049206	BAE
Krit1	chr5	3803164	3844515	BAE
Kynu	chr2	43410844	43538568	BAE
Lace1	chr10	42032390	42198371	BAE
Larp1	chr11	57822565	57875534	BAE
Lax1	chr1	135575605	135586685	BAE
Lbh	chr17	73267644	73291286	BAE
Ldha	chr7	54102451	54110997	rMAE
Leo1	chr9	75289330	75314239	BAE
Leprotl1	chr8	35198625	35209793	BAE
Letm1	chr5	34084000	34125353	BAE
Lgals3bp	chr11	118254065	118263245	rMAE
Lgmn	chr12	103632307	103677907	rMAE
Lig3	chr11	82594636	82617776	BAE
Limd1	chr9	123387818	123430670	BAE
Lman1	chr18	66140392	66162289	BAE
Lmbrd2	chr15	9070325	9127206	BAE
Lmf1	chr17	25716118	25799771	BAE
Lmtk2	chr5	144861304	144949073	BAE
Lnpep	chr17	17664686	17761453	rMAE
Lnx2	chr5	147828230	147888148	BAE
Lonp1	chr17	56753721	56766326	BAE
Lpgat1	chr1	193542273	193608134	BAE
Lpp	chr16	24393435	24992664	BAE
Lrch3	chr16	32914185	33016115	BAE
Lrmp	chr6	145064155	145123448	BAE
Lrp6	chr6	134396495	134516931	BAE
Lrpprc	chr17	85104586	85190126	BAE
Lrrc59	chr11	94491137	94506530	BAE
Lrrc8c	chr5	105948489	106037973	BAE
Lrrc8d	chr5	106128987	106244234	BAE
Lrrcc1	chr3	14533787	14572658	BAE
Lrrk2	chr15	91503654	91646555	BAE
Lsg1	chr16	30561454	30587675	BAE
Lsm11	chr11	45741770	45758437	rMAE
Lsm12	chr11	102024802	102046570	BAE
Lsm14b	chr2	179759691	179770166	BAE
Luc7l	chr17	26389854	26422451	BAE
Luc7l2	chr6	38501333	38559470	BAE
Luc7l3	chr11	94152452	94183225	BAE
Ly6e	chr15	74785480	74790335	rMAE
Ly86	chr13	37437213	37510905	BAE
Lyrm4	chr13	36070665	36209226	BAE
Lztr1	chr16	17509063	17526423	BAE
Mad1l1	chr5	140484642	140797506	BAE
Malat1	chr19	5795689	5802671	BAE
Malt1	chr18	65590650	65638446	BAE
Maml3	chr3	51491534	51908928	BAE
Man1a	chr10	53625838	53795602	rMAE
Man2a1	chr17	64950988	65104450	BAE
Map2k3	chr11	60745558	60766305	BAE
Map2k4	chr11	65501745	65601861	BAE
Map3k10	chr7	28441393	28459600	BAE
Map4k4	chr1	39957757	40083155	BAE
Mapk14	chr17	28828286	28885350	BAE
Mapk8ip3	chr17	25034450	25073922	BAE
Mapkap1	chr2	34262290	34480478	BAE
Mapkapk2	chr1	132950277	132994420	BAE
Mare	chr11	NA	NA	BAE
Mars	chr10	126733276	126748842	BAE
Mbnl1	chr3	60276751	60433672	BAE
Mbnl2	chr14	120674890	120830920	BAE
Mbtd1	chr11	93747532	93808298	BAE
Mcm2	chr6	88833467	88848774	BAE
Mcm3	chr1	20793094	20810294	BAE
Mcm3ap	chr10	75931715	75978602	rMAE
Mcm5	chr8	77633426	77652338	BAE
Mcm6	chr1	130228151	130256282	BAE
Mcm8	chr2	132641876	132669924	BAE
Med13	chr11	86079216	86171027	rMAE
Med13l	chr5	119010727	119215446	BAE
Med20	chr17	47748544	47761367	BAE
Med23	chr10	24589791	24633335	BAE
Med26	chr8	75018457	75072209	BAE
